swift_code,id,bank,city,branch
ABNAAEAAIPC,1,ABN AMRO BANK N.V. UNITED ARAB EMIRATES BRANCH,DUBAI,(INTERNATIONAL PRIVATE CLIENTS DEPARTMENT)
ABNAAEAA,2,ABN AMRO BANK N.V. UNITED ARAB EMIRATES BRANCH,DUBAI,None
ABPPAEA1,3,ABRAAJ CAPITAL LIMITED,DUBAI,None
ADCBAEAACMD,4,ABU DHABI COMMERCIAL BANK,ABU DHABI,(CASH MANAGEMENT DEPARTMENT)
ADCBAEAAFIN,5,ABU DHABI COMMERCIAL BANK,ABU DHABI,(FINANCE  DEPARTEMENT)
ADCBAEAAREM,6,ABU DHABI COMMERCIAL BANK,ABU DHABI,(RBS)
ADCBAEAATRY,7,ABU DHABI COMMERCIAL BANK,ABU DHABI,(TREASURY SETTLEMENTS)
ADCBAEAA,8,ABU DHABI COMMERCIAL BANK,ABU DHABI,None
ADCBAEAA060,9,ABU DHABI COMMERCIAL BANK,DUBAI,(DUBAI TRADE FINANCE)
ADFDAEAA,10,ABU DHABI FUND FOR DEVELOPMENT,ABU DHABI,None
ADINAEAA,11,ABU DHABI INVESTMENT AUTHORITY,ABU DHABI,None
ADCNAEAA,12,ABU DHABI INVESTMENT COUNCIL,ABU DHABI,None
ADCNAEAD,13,ABU DHABI INVESTMENT COUNCIL,ABU DHABI,None
ABDIAEAD,14,ABU DHABI ISLAMIC BANK,ABU DHABI,None
ADPFAEAA,15,ABU DHABI RETIRMENT PENSION AND BENEFITS FUND,ABU DHABI,None
ADPFAEAB,16,ABU DHABI RETIRMENT PENSION AND BENEFITS FUND,ABU DHABI,None
ADSEAEA1,17,ABU DHABI SECURITIES MARKET,ABU DHABI,None
ADSLAEAD,18,ADS SECURITIES LLC,ABU DHABI,None
ABOCAEAD,19,AGRICULTURAL BANK OF CHINA (DIFC BRANCH),DUBAI,None
ABOCAEAA,20,AGRICULTURAL BANK OF CHINA(DUBAI BRANCH),DUBAI,None
AUBBAEAD,21,AHLI UNITED BANK LIMITED,DUBAI,None
AJMNAEAJ,22,AJMAN BANK PJSC,AJMAN,None
AHXBAEAD,23,AL AHALIA MONEY EXCHANGE BUREAU,ABU DHABI,None
ABKKAEAA,24,AL AHLI BANK OF KUWAIT K.S.C.P, ABUDHABI BRANCH,ABU DHABI,None
ABKKAEAD,25,AL AHLI BANK OF KUWAIT K.S.C.P, DUBAI BRANCH,DUBAI,None
ALANAEAA,26,AL ANSARI EXCHANGE LLC,ABU DHABI,None
DMTIAEAA,27,AL DAHAB EXCHANGE,DUBAI,None
ALDHAEA1,28,AL DHABI INVESTMENT PJSC,ABU DHABI,None
FEXEAEAA,29,AL FARDAN EXCHANGE,ABU DHABI,None
ALFEAEA1,30,AL FARDAN EXCHANGE AND FINANCE CO.,ABU DHABI,None
FSCLAEA1,31,AL FUTTAIM HC SECURITIES COMPANY LLC,DUBAI,None
ALGHAEAD,32,AL GHURAIR INTERNATIONAL EXCHANGE,DUBAI,None
HLALAEAA,33,AL HILAL BANK,ABU DHABI,None
JAEXAEAD,34,AL JARWAN EXCHANGE,DUBAI,None
LICOAEAD,35,AL KHALIJI FRANCE S.A.,DUBAI,None
AMCXAEAA,36,AL MAL CAPITAL PSC,DUBAI,None
AMSUAEA1,37,AL MAL SECURITIES EMIRATES LLC,DUBAI,None
NAHDAEA1,38,AL NAHDI EXCHANGE,DUBAI,None
RDEXAEA1,39,AL RASHEED EXCHANGE,DUBAI,None
