swift_code,id,bank,city,branch
ANCBAGAG,1,ANTIGUA COMMERCIAL BANK,ST. JOHN'S,None
AOBAAGA1,2,ANTIGUA COMMERCIAL BANK,ST. JOHN'S,None
BOIBAGAG,3,BOI BANK CORPORATION,ST. JOHN'S,None
BRSFAGAG,4,BRS BANQUE S.A.,ST. JOHN'S,None
NOSCAGAG,5,BANK OF NOVA SCOTIA,THE,ST. JOHN'S,None
CUNBAGAG,6,CARIBBEAN UNION BANK LTD,ST. JOHN'S,None
DANLAGAG,7,D BANK LTD.,ST. JOHN'S,None
ECABAGAG,8,EASTERN CARIBBEAN AMALGAMATED BANK LTD. (ECAB),COOLIDGE,None
FCIBAGAG,9,FIRSTCARIBBEAN INTERNATIONAL BANK (BARBADOS) LIMITED,ST. JOHN'S,None
GABCAGA1,10,GLOBAL ALLIANCE BUILDING SOCIETY GLOBAL ALLIANCE GROUP,ST. JOHN'S,None
GBCLAGAG,11,GLOBAL BANK OF COMMERCE, LTD.,ST. JOHN'S,None
GVABAGAG,12,GOVERNMENT OF ANTIGUA AND BARBUDA,ST. JOHN'S,None
MBALAGAG,13,MEINL BANK (ANTIGUA) LIMITED,ST. JOHN'S,None
NOITAGAG,14,NORTH INTERNATIONAL BANK, LTD.,ST. JOHN'S,None
ROYCAGAG,15,ROYAL BANK OF CANADA,ST. JOHN'S,None
TBTLAGAG,16,TRIUM BANK AND TRUST LTD.,ST. JOHN'S,None
VTIBAGA1,17,V.T.I. BANK LTD,ST. JOHN'S,None
