swift_code,id,bank,city,branch
AKIVALTR,1,AK-INVEST JOINT STOCK COMPANY,TIRANA,None
CRBAALTR,2,ALPHA BANK ALBANIA,TIRANA,None
EMPOALTR,3,AMERICAN BANK OF INVESTMENTS S.A.,TIRANA,None
STANALT1ELX,4,BANK OF ALBANIA,ELBASAN,(DEGA ELBASAN)
STANALT1GJX,5,BANK OF ALBANIA,GJIROKASTRA,(DEGA GJIROKASTRA)
STANALT1KOX,6,BANK OF ALBANIA,KORCE,(DEGA KORCA)
STANALT1LUX,7,BANK OF ALBANIA,LUSHNJE,(DEGA LUSHNJA)
STANALT1SHX,8,BANK OF ALBANIA,SHKODER,(DEGA SHKODRA)
STANALT1SPX,9,BANK OF ALBANIA,TIRANA,(SPORTELI I BONOVE TE THESARIT BSH)
STANALTR,10,BANK OF ALBANIA,TIRANA,None
STANALTS,11,BANK OF ALBANIA,TIRANA,None
NCBAALTX,12,BANKA KOMBETARE TREGTARE SH.A.,TIRANA,None
ETHNALTX,13,BANKA NBG ALBANIA SH.A.,TIRANA,None
PUPPALTR,14,BANKA SOCIETE GENERALE ALBANIA,TIRANA,None
BATSALT1,15,BRITISH AMERICAN TOBACCO - ALBANIA SH.P.K.,TIRANA,None
CDISALTR,16,CREDINS BANK S.A.,TIRANA,None
CBOAALTR,17,CREDIT BANK OF ALBANIA,TIRANA,None
FINVALTR,18,FIRST INVESTMENT BANK-ALBANIA SH.A,TIRANA,None
ICOAALTR,19,INTERNATIONAL COMMERCIAL BANK,TIRANA,None
USALALTRDUR,20,INTESA SANPAOLO BANK ALBANIA SH.A.,DURRES,(DURRES MAIN BRANCH)
USALALTRDR2,21,INTESA SANPAOLO BANK ALBANIA SH.A.,DURRES,(DURRES TRAIN STATION BRANCH)
USALALTRELB,22,INTESA SANPAOLO BANK ALBANIA SH.A.,ELBASAN,(ELBASAN BRANCH)
USALALTRFIE,23,INTESA SANPAOLO BANK ALBANIA SH.A.,FIER,(FIER BRANCH)
USALALTRGJR,24,INTESA SANPAOLO BANK ALBANIA SH.A.,GJIROKASTRA,(GJIROKASTRA BRANCH)
USALALTRKJ1,25,INTESA SANPAOLO BANK ALBANIA SH.A.,KAVAJE,(KAVAJA BRANCH)
USALALTRKOR,26,INTESA SANPAOLO BANK ALBANIA SH.A.,KORCE,(KORCE BRANCH)
USALALTRLZH,27,INTESA SANPAOLO BANK ALBANIA SH.A.,LEZHE,(LEZHA BRANCH)
USALALTRLUS,28,INTESA SANPAOLO BANK ALBANIA SH.A.,LUSHNJE,(LUSHNJA  BRANCH)
USALALTRSH1,29,INTESA SANPAOLO BANK ALBANIA SH.A.,SHKODER,(SHKODRA BRANCH)
USALALTR020,30,INTESA SANPAOLO BANK ALBANIA SH.A.,TIRANA,(LAPRAKA BRANCH)
USALALTR010,31,INTESA SANPAOLO BANK ALBANIA SH.A.,TIRANA,(RR. BARRIKADAVE BRANCH)
USALALTR,32,INTESA SANPAOLO BANK ALBANIA SH.A.,TIRANA,None
USALALTRVLR,33,INTESA SANPAOLO BANK ALBANIA SH.A.,VLORE,(VLORA MAIN BRANCH)
USALALTRVL2,34,INTESA SANPAOLO BANK ALBANIA SH.A.,VLORE,(VLORA RR. SADIK ZOTAJ BRANCH)
MIFBALTR,35,MINISTRY OF FINANCE OF ALBANIA,TIRANA,None
SHQHALT1,36,POSTA SHQIPTARE SH.A.,TIRANA,None
FEFAALTRDUR,37,PROCREDIT BANK SH. A. ALBANIA (FORMERLY FEFAD BANK),DURRES,(DURRES BRANCH)
FEFAALTRFIE,38,PROCREDIT BANK SH. A. ALBANIA (FORMERLY FEFAD BANK),FIER,(FIER BRANCH)
FEFAALTR,39,PROCREDIT BANK SH. A. ALBANIA (FORMERLY FEFAD BANK),TIRANA,(HEAD OFFICE)
FEFAALTRTIR,40,PROCREDIT BANK SH. A. ALBANIA (FORMERLY FEFAD BANK),TIRANA,(TIRANA BRANCH)
SGSBALTX,41,RAIFFEISEN BANK SH.A.,TIRANA,None
TIRBALTR,42,TIRANA BANK,TIRANA,None
UNALALTR,43,UNION BANK SH.A.,TIRANA,None
AAISALTR,44,UNITED BANK OF ALBANIA SH.A,TIRANA,None
ITSVALTR,45,VENETO BANKA SH.A,TIRANA,None
