swift_code,id,bank,city,branch
ACIAARB1,1,ABACO CIA. FINANCIERA S.A.,BUENOS AIRES,None
AEIBARB1,2,AMERICAN EXPRESS BANK LTD.,BUENOS AIRES,None
BAZVARBA,3,BALANZ CAPITAL VALORES SA,BUENOS AIRES,None
BICAARBS,4,BANCO BICA  S.A.,SANTA FE,None
BBDEARBA,5,BANCO BRADESCO ARGENTINA S/A,BUENOS AIRES,None
BCRAARBA,6,BANCO CENTRAL DE LA REPUBLICA ARGENTINA,BUENOS AIRES,None
CMFBARBA,7,BANCO CMF S.A.,BUENOS AIRES,None
CLLUARB1,8,BANCO COLUMBIA S.A.,BUENOS AIRES,None
CLLUARBA,9,BANCO COLUMBIA S.A.,BUENOS AIRES,None
QUILARBA,10,BANCO COMAFI S.A.,BUENOS AIRES,None
CESTARB1,11,BANCO COOPERATIVO DEL ESTE ARGENTINO LTDO.,BUENOS AIRES,None
BCOOARBA,12,BANCO CREDICOOP COOPERATIVO LIMITADO,BUENOS AIRES,None
MCFAARBA,13,BANCO DE COMERCIO S.A. (FORMERLY METROPOLIS COMPANIA FINANCIERA S.A.),BUENOS AIRES,None
BCORARBC,14,BANCO DE CORRIENTES S.A.,CORRIENTES,None
BFSAARBF,15,BANCO DE FORMOSA S.A.,FORMOSA,None
GABAARBA,16,BANCO DE GALICIA Y BUENOS AIRES,BUENOS AIRES,None
BICXARBA,17,BANCO DE INVERSION Y COMERCIO EXTERIOR S.A.,BUENOS AIRES,None
BACIARBA,18,BANCO DE LA CIUDAD DE BUENOS AIRES,BUENOS AIRES,None
NACNARBABAH,19,BANCO DE LA NACION ARGENTINA,BAHIA BLANCA,(BAHIA BLANCA BRANCH)
NACNARBACCL,20,BANCO DE LA NACION ARGENTINA,BUENOS AIRES,(CASA CENTRAL)
NACNARBA,21,BANCO DE LA NACION ARGENTINA,BUENOS AIRES,None
NACNARBACON,22,BANCO DE LA NACION ARGENTINA,CONCORDIA,(CONCORDIA BRANCH)
NACNARBACOR,23,BANCO DE LA NACION ARGENTINA,CORDOBA,(CORDOBA BRANCH)
NACNARBACTS,24,BANCO DE LA NACION ARGENTINA,CORRIENTES,(CORRIENTES BRANCH)
NACNARBAMPL,25,BANCO DE LA NACION ARGENTINA,MAR DEL PLATA,(MAR DEL PLATA BRANCH)
NACNARBAMEN,26,BANCO DE LA NACION ARGENTINA,MENDOZA,(MENDOZA BRANCH)
NACNARBANEU,27,BANCO DE LA NACION ARGENTINA,NEUQUEN,(NEUQUEN BRANCH)
NACNARBAPER,28,BANCO DE LA NACION ARGENTINA,PERGAMINO,(PERGAMINO BRANCH)
NACNARBAPOS,29,BANCO DE LA NACION ARGENTINA,POSADAS,(POSADAS BRANCH)
NACNARBARAF,30,BANCO DE LA NACION ARGENTINA,RAFAELA,(RAFAELA BRANCH)
NACNARBAREC,31,BANCO DE LA NACION ARGENTINA,RECONQUISTA,(RECONQUISTA BRANCH)
NACNARBARCU,32,BANCO DE LA NACION ARGENTINA,RIO CUARTO,(RIO CUARTO BRANCH)
NACNARBAROS,33,BANCO DE LA NACION ARGENTINA,ROSARIO,(ROSARIO BRANCH)
NACNARBASAL,34,BANCO DE LA NACION ARGENTINA,SALTA,(SALTA BRANCH)
NACNARBASJU,35,BANCO DE LA NACION ARGENTINA,SAN JUAN,(SAN JUAN BRANCH)
