swift_code,id,bank,city,branch
GEINATW1,1,3 BANKEN-GENERALI INVESTMENT-GESELLSCHAFT M.B.H.,LINZ,None
WOHAAT21,2,3-BANKEN WOHNBAUBANK AG,LINZ,None
ABADATW1,3,ABBAG - ABBAUMANAGEMENTGESELLSCHAFT DES BUNDES,VIENNA,None
HSEEAT2K,4,ADDIKO BANK AG,VIENNA,None
PSSAATWW,5,ADF SERVICE GMBH,VIENNA,None
AGRXATWW,6,AGRANA BETEILIGUNGS AKTIENGESELLSCH AFT,VIENNA,None
AAIAATW1,7,AIBC ANGLO IRISH BANK (AUSTRIA) KAPITALANLAGEGESELLSCHAFT M.B.H.,VIENNA,None
AATAATW1,8,AIRPLUS AIR TRAVEL CARD VERTRIEBSGESELLSCHAFT M.B.,VIENNA,None
ASPKAT2LENN,9,ALLGEMEINE SPARKASSE OBEROESTERREICH BANKAKTIENGESELLSCHAFT,ENNS,None
ASPKAT2LFRE,10,ALLGEMEINE SPARKASSE OBEROESTERREICH BANKAKTIENGESELLSCHAFT,FREISTADT,None
ASPKAT2LGMU,11,ALLGEMEINE SPARKASSE OBEROESTERREICH BANKAKTIENGESELLSCHAFT,GMUNDEN,(ZWEIGSTELLE GMUNDEN)
ASPKAT2LGRI,12,ALLGEMEINE SPARKASSE OBEROESTERREICH BANKAKTIENGESELLSCHAFT,GRIESKIRCHEN,(ZWEIGSTELLE GRIESKIRCHEN)
ASPKAT2LGRU,13,ALLGEMEINE SPARKASSE OBEROESTERREICH BANKAKTIENGESELLSCHAFT,GRUENBERG-WEYER,None
ASPKAT2L,14,ALLGEMEINE SPARKASSE OBEROESTERREICH BANKAKTIENGESELLSCHAFT,LINZ,None
ASPKAT2LMTH,15,ALLGEMEINE SPARKASSE OBEROESTERREICH BANKAKTIENGESELLSCHAFT,MAUTHAUSEN (GREIN),(ZWEIGSTELLE MAUTHAUSEN-GREIN)
ASPKAT2LOBE,16,ALLGEMEINE SPARKASSE OBEROESTERREICH BANKAKTIENGESELLSCHAFT,OBERNBERG AM INN,None
ASPKAT2LPER,17,ALLGEMEINE SPARKASSE OBEROESTERREICH BANKAKTIENGESELLSCHAFT,PERG,None
ASPKAT2LRAA,18,ALLGEMEINE SPARKASSE OBEROESTERREICH BANKAKTIENGESELLSCHAFT,RAAB,None
ASPKAT2LSRD,19,ALLGEMEINE SPARKASSE OBEROESTERREICH BANKAKTIENGESELLSCHAFT,SCHAERDING,None
ASPKAT2LSWA,20,ALLGEMEINE SPARKASSE OBEROESTERREICH BANKAKTIENGESELLSCHAFT,SCHWANENSTADT,None
ASPKAT2LSTF,21,ALLGEMEINE SPARKASSE OBEROESTERREICH BANKAKTIENGESELLSCHAFT,ST. FLORIAN,(ZWEIGSTELLE ST. FLORIAN)
