swift_code,id,bank,city,branch
CPANAU21,1,1770 CAPITAL PARTNERS,SYDNEY,None
INYTAU31,2,4D INFRASTRUCTURE PTY LTD,MELBOURNE,None
WEAEAU31,3,90 WEST ASSET MANAGEMENT LTD,MELBOURNE,None
ABWHAU21,4,A.B.S. WHITE AND CO. LTD.,SYDNEY,None
MOFCAU51,5,AAA SHARES PTY LTD,ADELAIDE,None
ABEMAU21,6,ABERDEEN ASSET MANAGEMENT LTD,SYDNEY,None
FCSPAU21,7,ABN AMRO CLEARING SYDNEY PTY LTD. (FORMELY KNOWN AS FORTIS CLEARING SYDNEY PTY LTD),SYDNEY,None
ACCAAU31,8,ACORN CAPITAL,MELBOURNE,None
ACBRAU31,9,ACS BROKER SERVICES LIMITED,MELBOURNE,None
AAMNAU21,10,ADVANCE ASSET MANAGEMENT LIMITED,SYDNEY,None
AGAMAU31,11,AGORA ASSET MANAGEMENT PTY LTD,MELBOURNE,None
ABOCAU2S,12,AGRICULTURAL BANK OF CHINA SYDNEY BRANCH,SYDNEY,None
AFMTAUS1,13,AIRLIE FUNDS MANAGEMENT PTY LTD,SYDNEY,None
AIMTAU21,14,ALLERON INVESTMENT MANAGEMENT LTD,SYDNEY,None
AIMPAU31,15,ALPHA INVESTMENT MANAGEMENT PTY LTD,MELBOURNE,None
AEIAAU21,16,AMERICAN EXPRESS INTERNATIONAL INC (AUSTRALIA BRANCH),SYDNEY,None
AMPBAU2SRET,17,AMP BANK LIMITED,SYDNEY,(RET BRANCH)
AMPBAU2STRY,18,AMP BANK LIMITED,SYDNEY,(TRY BRANCH)
AMPBAU2S,19,AMP BANK LIMITED,SYDNEY,None
AMCIAU21BSW,20,AMP CAPITAL INVESTORS LIMTED,SYDNEY,(BASKET SWAPS TRANS)
AMCIAU21COL,21,AMP CAPITAL INVESTORS LIMTED,SYDNEY,(COLLATERAL MGMT)
AMCIAU21UNC,22,AMP CAPITAL INVESTORS LIMTED,SYDNEY,(UT NO CASH)
AMCIAU21UDP,23,AMP CAPITAL INVESTORS LIMTED,SYDNEY,(UT PAY DIRECTION)
AMCIAU21UST,24,AMP CAPITAL INVESTORS LIMTED,SYDNEY,(UT STANDARD)
AMCIAU2X,25,AMP CAPITAL INVESTORS LIMTED,SYDNEY,None
AMLIAU21,26,AMP LIFE LIMITED,SYDNEY,None
AMLIAU21CMT,27,AMP LIFE LIMITED,SYDNEY,None
ANWEAU21,28,ANDREW WEST AND CO LIMITED,SYDNEY,None
ANZSAU31,29,ANZ SECURITIES LIMITED,MELBOURNE,None
AOAPAU21,30,AOT AUSTRALIA PTY LTD,SYDNEY,None
APFNAU31,31,APN FUNDS MANAGEMENT LIMITED,MELBOURNE,None
APSPAUS1APP,32,APP SECURITIES PTY LTD,SYDNEY,(NON-PERSHING CONFIRMATION)
APSPAUS1,33,APP SECURITIES PTY LTD,SYDNEY,None
ARABAU2S,34,ARAB BANK AUSTRALIA LIMITED,SYDNEY,None
AREEAU61,35,ARGONAUT SECURITIES PTY LIMITED,PERTH,None
AIMGAU21,36,ARNHEM INVESTMENT MANAGEMENT,SYDNEY,None
ASEYAU2S,37,ASSETSECURE PTY LTD,SYDNEY,None
ASTEAU21,38,ASTERON,SYDNEY,None
AXCFAU21,39,ASX CLEAR (FUTURES) PTY LTD,SYDNEY,None
