swift_code,id,bank,city,branch
ACABAZ22,1,ACCESSBANK,BAKU,None
ADJEAZ21,2,ADJEMIBANK,BAKU,None
AZFIAZ22,3,AFB BANK OJSC,BAKU,None
AZEGAZ22,4,AGBANK OPEN JOINT-STOCK COMPANY,BAKU,None
ACJTAZ22,5,AGRARKREDIT CLOSED JOINT-STOCK SOCIETY NON-BANK CREDIT ORGANIZATION,BAKU,None
AMRAAZ22,6,AMRAHBANK OJSC,BAKU,None
ATAZAZ22,7,ATABANK OJSS,BAKU,None
AZBUAZ21,8,AZBUSINESSBANK,BAKU,None
CAPNAZ22,9,AZERBAIJAN INDUSTRY BANK OJSC,BAKU,None
AZPOAZ22,10,AZERPOST LIMITED LIABILITY COMPANY,BAKU,None
AZRSAZ21,11,AZERSHARABBANK,BAKU,None
AZRTAZ22,12,AZER-TURK BANK,BAKU,None
BBTBAZ22,13,BANK BTB,BAKU,None
MELIAZ22,14,BANK MELLI IRAN, BAKU BRANCH,BAKU,None
JBBKAZ22,15,BANK OF BAKU,BAKU,None
AZALAZ22,16,BANK SILK WAY OJSV,BAKU,None
CANSAZ21,17,CAPITAL INVESTMENT BANK,BAKU,None
CAPKAZ21,18,CAPITALBANK,BAKU,None
CDBBAZ22,19,CASPIAN DEVELOPMENT BANK (CDB) OJSC,BAKU,None
NABZAZ2C,20,CENTRAL BANK OF THE REPUBLIC OF AZERBAIJAN,BAKU,None
NABZAZ2CRTS,21,CENTRAL BANK OF THE REPUBLIC OF AZERBAIJAN,BAKU,None
NABZAZ2X,22,CENTRAL BANK OF THE REPUBLIC OF AZERBAIJAN,BAKU,None
AZERAZ22,23,DEMIRBANK OJSC,BAKU,None
TRIDAZ21,24,EGE INTERNATIONAL BAKU BANK,BAKU,None
AVRAAZ22,25,EURASIA BANK,BAKU,None
AZENAZ22,26,EXPRESSBANK,BAKU,None
GARNAZ21,27,GARANTIYABANK,BAKU,None
GUNAAZ22,28,GUNAYBANK JOINT STOCK BANK,BAKU,None
NICBAZ22,29,INVESTMENT COMMERCIAL BANK 'NIKOIL' (FORMERLY CB 'ULPAR'),BAKU,None
RBTAAZ2102G,30,JOINT-STOCK COMMERCIAL BANK RABITABANK (GAZANBANK BRANCH),BAKU,(GAZANBANK BRANCH)
AIIBAZ2X,31,KAPITAL BANK,BAKU,None
MECHAZ21,32,MECH R BANK,BAKU,None
MILIAZ21,33,MILLI IRAN BANK,BAKU,None
MUGAAZ22,34,MUGANBANK OJSC,BAKU,None
NAXBAZ22,35,NAKHCHIVANBANK OJSC,NAKHCHIVAN,None
NBPAAZ22,36,NATIONAL BANK OF PAKISTAN BAKU BRANCH (STATE),BAKU,None
ANDCAZ22,37,NATIONAL DEPOSITORY CENTER OF THE REPUBLIC OF AZERBAIJAN,BAKU,None
NBCBAZ22,38,NBC BANK OPEN JOINT STOCK COMPANY,BAKU,None
VTBAAZ22,39,OJSC VTB BANK (AZERBAIJAN),BAKU,None
PAAAAZ21,40,PARA NON-BANK CREDIT ORGANIZATION OJSC,BAKU,None
PAHAAZ22,41,PASHA BANK,BAKU,(HEAD OFFICE)
RBTAAZ22,42,RABITABANK,BAKU,None
ROBKAZ21,43,ROYAL BANK OJSC,BAKU,None
SOILAZ22,44,STATE OIL FUND OF THE REPUBLIC OF AZERBAIJAN,BAKU,None
CTREAZ22,45,STATE TREASURY AGENCY,BAKU,None
IBAZAZ2X,46,THE INTERNATIONAL BANK OF AZERBAIJAN OJSC,BAKU,None
TURAAZ22,47,TURANBANK OJSC,BAKU,None
ULFAAZ21,48,ULFATBANK,BAKU,None
UBAZAZ22,49,UNIBANK CB,BAKU,None
HAJCAZ22,50,XALQ BANK OPEN JOINT-STOCK COMPANY,BAKU,None
KABAAZ22,51,YAPIKREDI AZERBAIJAN CLOSED JSC,BAKU,None
TCZBAZ22,52,ZIRAAT BANK AZERBAIJAN OJSC,BAKU,None
