swift_code,id,bank,city,branch
HAABBA2B,1,ADDIKO BANK A.D.,BANJA LUKA,None
HAABBA22,2,ADDIKO BANK DD,SARAJEVO,None
IKBZBA2X,3,ASA BANKA D.D. SARAJEVO,SARAJEVO,None
BBIBBA22,4,BOSNA BANK INTERNATIONAL DD,SARAJEVO,None
CBBSBA22PDS,5,CENTRALNA BANKA BOSNE I HERCEGOVINE,SARAJEVO,(DEPARTMENT FOR PUBLIC DEBT SERVICING)
CBBSBA22,6,CENTRALNA BANKA BOSNE I HERCEGOVINE,SARAJEVO,None
DIABBA22,7,DEPOSIT INSURANCE AGENCY OF BOSNIA AND HERZEGOVINA,BANJA LUKA,None
IBBHBA22,8,DEVELOPMENT BANK OF THE FEDERATION OF BOSNIA AND HERZEGOVINA,SARAJEVO,None
EUCMBA21,9,EURO CAPITAL BANK,SARAJEVO,None
FIJDBA21,10,FIMA VRIJEDNOSNICE D.O.O.,RIJEKA (RIKA),None
HBZEBA21,11,HIPPO BANKA DD. ZENICA,ZENICA,None
UPBKBA22,12,INTESA SANPAOLO BANKA D.D. BOSNA I HERCEGOVINA,SARAJEVO,None
KOBBBA22,13,KOMERCIJALNA BANKA AD BANJA LUKA,BANJA LUKA,None
KINBBA22,14,KOMERCIJALNO-INVESTICIONA BANKA DD VELIKA KLADUSA,VELIKA KLADUSA,None
MFBLBA22,15,MF BANKA A.D. BANJA LUKA,BANJA LUKA,None
RAZBBA22,16,NLB BANKA A.D. BANJA LUKA,BANJA LUKA,None
TBTUBA22,17,NLB BANKA D.D., SARAJEVO,SARAJEVO,None
NOBIBA22,18,NOVA BANKA AD BANJALUKA,BANJA LUKA,None
PAVLBA22,19,PAVLOVIC INTERNATIONAL BANK A.D.,BIJELJINA,None
PRIJBA21,20,PRIJEDORSKA BANKA A.D.,PRIJEVOR,None
PBSCBA22,21,PRIVREDNA BANKA SARAJEVO DD,SARAJEVO,None
MEBBBA22,22,PROCREDIT BANK D.D. SARAJEVO, BOSNIA AND HERZEGOVINA,SARAJEVO,None
RZBABA2S,23,RAIFFEISEN BANK D.D. BOSNA I HERCEGOVINA,SARAJEVO,None
SABRBA2B,24,SBERBANK A.D. BANJA LUKA,BANJA LUKA,None
SABRBA22,25,SBERBANK BH D.D., SARAJEVO,SARAJEVO,None
ABSBBA22,26,SPARKASSE BANK DD BIH,SARAJEVO,None
TADOBA21,27,TAS D.O.O.,SARAJEVO,None
UNCRBA22,28,UNICREDIT BANK,MOSTAR,None
BLBABA22,29,UNICREDIT BANK A.D. BANJA LUKA (FORMER NOVA BANJALUCKA BANKA A.D. BANJA LUKA),BANJA LUKA,None
UBKSBA22,30,UNION BANKA D.D. SARAJEVO,SARAJEVO,None
VAKUBA22,31,VAKUFSKA BANKA DD SARAJEVO,SARAJEVO,None
VOADBA21,32,VOLKSWAGEN SARAJEVO D.O.O.,VOGOSCA,None
TZBBBA22,33,ZIRAATBANK BH D.D. SARAJEVO,SARAJEVO,None
