swift_code,id,bank,city,branch
AMIBBBBB,1,AMICORP BANK AND TRUST LTD,BRIDGETOWN,None
NOSCBBBBBOB,2,BANK OF NOVA SCOTIA,THE,BRIDGETOWN,(OFFSHORE BANKING UNIT)
NOSCBBBB,3,BANK OF NOVA SCOTIA,THE,BRIDGETOWN,None
BCSDBBB1,4,BARBADOS CENTRAL SECURITIES DEPOSITORY INC.,BRIDGETOWN,None
CDEVBBBB,5,CARIBBEAN DEVELOPMENT BANK,ST. MICHAEL,None
CBABBBB1ACC,6,CENTRAL BANK OF BARBADOS,BRIDGETOWN,None
CBABBBB1BSE,7,CENTRAL BANK OF BARBADOS,BRIDGETOWN,None
CBABBBBB,8,CENTRAL BANK OF BARBADOS,BRIDGETOWN,None
CBABBBBG,9,CENTRAL BANK OF BARBADOS,BRIDGETOWN,None
COBVBBBB,10,CIBC OFFSHORE BANKING SERVICES CORPORATION,ST. MICHAEL,None
CTMBBBB1,11,CIBC TRUST AND MERCHANT BANK (BARBADOS) LIMITED,BRIDGETOWN,None
CTBLBBBB,12,CIDEL BANK AND TRUST INC.,ST. MICHAEL,None
CITIBBBB,13,CITICORP MERCHANT BANK LIMITED,ST. MICHAEL,None
CNFIBBB1,14,CONSOLIDATED FINANCE CO LIMITED,CHRISTCHURCH,None
CCONBBBB,15,CONTINENTAL BANK CORP,ST. MICHAEL,None
DGRRBBB1,16,DGM BANK AND TRUST INC.,BRIDGETOWN,None
FCTTBBBB,17,FIRST CITIZENS BANK (BARBADOS) LTD. THE MUTUAL BUILDING,BRIDGETOWN,None
FCIBBBBB,18,FIRSTCARIBBEAN INTERNATIONAL BANK LIMITED,ST. MICHAEL,None
FCIBBBB2,19,FIRSTCARIBBEAN INTERNATIONAL WEALTH MANAGEMENT BANK (BARBADOS) LIMITED,CHRISTCHURCH,None
GLEBBBB1,20,GLENHURON BANK LTD,BRIDGETOWN,None
JTBTBBBB,21,J AND T BANK AND TRUST,BRIDGETOWN,None
MFCTBBBB,22,MANUFACTURERS LIFE REINSURANCE LIMITED,ST. MICHAEL,None
MERMBBB1,23,MERCOM BANK LIMITED,BRIDGETOWN,None
OCCIBBBB,24,OCCIDENTAL BANK BARBADOS (LTD),ST. MICHAEL,None
RBTOBBBB,25,RBC BARBADOS TRADING BANK CORPORATION,ST. JAMES,None
ROYCBBBB,26,RBC ROYAL BANK (BARBADOS) LIMITED,BRIDGETOWN,None
BNBABBBB,27,REPUBLIC BANK (BARBADOS) LIMITED,BRIDGETOWN,None
RCCABBB1,28,ROYAL BANK OF CANADA (CARIBBEAN) CORPORATION,ST. MICHAEL,None
TRBOBBB1,29,TRANSCOM BANK (BARBADOS) LTD.,BRIDGETOWN,None
