swift_code,id,bank,city,branch
SHAMBDD1,1,A.F.M. SHAMSUDDIN,DHAKA,None
ABBLBDDH201,2,AB BANK LIMITED,BOGRA,(BOGRA BRANCH)
ABBLBDDH101,3,AB BANK LIMITED,CHITTAGONG,(AGRABAD BRANCH)
ABBLBDDH110,4,AB BANK LIMITED,CHITTAGONG,(CDA AVENUE BRANCH)
ABBLBDDH105,5,AB BANK LIMITED,CHITTAGONG,(EPZ BRANCH)
ABBLBDDH126,6,AB BANK LIMITED,CHITTAGONG,(JUBILEE ROAD BRANCH)
ABBLBDDH102,7,AB BANK LIMITED,CHITTAGONG,(KHATUNGANJ BRANCH)
ABBLBDDHOBU,8,AB BANK LIMITED,CHITTAGONG,(OFFSHORE BANKING UNIT)
ABBLBDDH103,9,AB BANK LIMITED,CHITTAGONG,(STATION ROAD BRANCH)
ABBLBDDH019,10,AB BANK LIMITED,DHAKA,(GULSHAN BRANCH)
ABBLBDDH003,11,AB BANK LIMITED,DHAKA,(IMAMGANJ BRANCH)
ABBLBDDH027,12,AB BANK LIMITED,DHAKA,(ISLAMI BANKING)
ABBLBDDH009,13,AB BANK LIMITED,DHAKA,(KAKRAIL BRANCH)
ABBLBDDH002,14,AB BANK LIMITED,DHAKA,(KARWAN BAZAR BRANCH)
ABBLBDDH011,15,AB BANK LIMITED,DHAKA,(MOHAKHALI BRANCH)
ABBLBDDH004,16,AB BANK LIMITED,DHAKA,(MOTIJHEEL BRANCH)
ABBLBDDH013,17,AB BANK LIMITED,DHAKA,(NAWABPUR ROAD BRANCH)
ABBLBDDH006,18,AB BANK LIMITED,DHAKA,(NEW ELEPHANT ROAD BRANCH)
ABBLBDDH010,19,AB BANK LIMITED,DHAKA,(NORTH SOUTH ROAD BRANCH)
ABBLBDDH005,20,AB BANK LIMITED,DHAKA,(PRINCIPAL BRANCH)
ABBLBDDH020,21,AB BANK LIMITED,DHAKA,(UTTARA BRANCH)
ABBLBDDH,22,AB BANK LIMITED,DHAKA,None
ABBLBDDH214,23,AB BANK LIMITED,JESSORE,(JESSORE BRANCH)
ABBLBDDH301,24,AB BANK LIMITED,KHULNA,(KHULNA BRANCH)
ABBLBDDH008,25,AB BANK LIMITED,NARAYANGANJ,(NARAYANGANJ)
ABBLBDDH111,26,AB BANK LIMITED,SYLHET,(DARGAH GATE BRANCH)
ABBLBDDH112,27,AB BANK LIMITED,SYLHET,(V.I.P. ROAD BRANCH)
ABDHBDD1,28,ABDUL HAQUE AND SONS LTD.,DHAKA,None
ABDYBDD1,29,ABDUL HYE,DHAKA,None
ABLMBDD1,30,ABDUL LATIF MIAH,DHAKA,None
ABDABDD1,31,ABDUS SAMAD,DHAKA,None
ADSPBDD1,32,ADARSHA SECURITIES (PVT.) LTD.,DHAKA,None
AGBKBDDH029,33,AGRANI BANK LIMITED,BOGRA,(THANA ROAD BR.)
AGBKBDDH018,34,AGRANI BANK LIMITED,CHITTAGONG,(AGRABAD JAHAN BLD. CORP. BR.)
AGBKBDDH016,35,AGRANI BANK LIMITED,CHITTAGONG,(ASADGONJ BRANCH)
AGBKBDDH015,36,AGRANI BANK LIMITED,CHITTAGONG,(COMMERCIAL AREA BRANCH,CHITTAGONG)
AGBKBDDH035,37,AGRANI BANK LIMITED,CHITTAGONG,(EPZ BRANCH)
AGBKBDDH017,38,AGRANI BANK LIMITED,CHITTAGONG,(LALDIGHI EAST BRANCH, CHITTAGONG)
AGBKBDDH039,39,AGRANI BANK LIMITED,CHITTAGONG,(NEW MARKET BRANCH,CTG.)
AGBKBDDH041,40,AGRANI BANK LIMITED,CHITTAGONG,(STRAND ROAD BR.)
AGBKBDDH0CH,41,AGRANI BANK LIMITED,CHITTAGONG,None
AGBKBDDH020,42,AGRANI BANK LIMITED,COMILLA,(RAJGONJ BRANCH)
AGBKBDDH004,43,AGRANI BANK LIMITED,DHAKA,(AMIN COURT BRANCH,DHAKA)
AGBKBDDH033,44,AGRANI BANK LIMITED,DHAKA,(B.WAPDA  CORPORATE BRANCH)
AGBKBDDH008,45,AGRANI BANK LIMITED,DHAKA,(BANANI BRANCH)
AGBKBDDH002,46,AGRANI BANK LIMITED,DHAKA,(BANGABANDHU AVENUE CORPORATE BRANCH)
AGBKBDDH006,47,AGRANI BANK LIMITED,DHAKA,(FOREIGN EXCHANGE BRANCH,DHAKA)
AGBKBDDH099,48,AGRANI BANK LIMITED,DHAKA,(FOREIGN REMITTANCE MANAGEMENT DIVISION)
AGBKBDDH036,49,AGRANI BANK LIMITED,DHAKA,(GREEN ROAD BR.)
