swift_code,id,bank,city,branch
AFRIBFBF,1,BANK OF AFRICA - BURKINA FASSO,OUAGADOUGOU,None
ATBFBFBF,2,BANQUE ATLANTIQUE BURKINA FASO,OUAGADOUGOU,None
BCAOBFBFBOB,3,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST,BOBO-DIOULASSO,(BOBO-DIOULASSO BRANCH)
BCAOBFBF,4,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST,OUAGADOUGOU,None
BNCFBFBF,5,BANQUE COMMERCIALE DU BURKINA,OUAGADOUGOU,None
BHBFBFBF,6,BANQUE DE L'HABITAT DU BURKINA FASO,OUAGADOUGOU,None
BDUGBFBF,7,BANQUE DE L'UNION BURKINA FASO,OUAGADOUGOU,None
NDEVBFB1,8,BANQUE NATIONALE DE DEVELOPPEMENT,OUAGADOUGOU,None
BFCBBFB1,9,BANQUE POUR LE FINANCEMENT DU COMMERCE ET DES INVESTISSEMENTS DU BURKINA,OUAGADOUGOU,None
BSAHBFBF,10,BANQUE SAHELO-SAHARIENNE POUR L'INVESTISSEMENT ET LE COMMERCE (BURKINA FASO) S.A.,OUAGADOUGOU,None
BICIBFBX,11,BICIA DU BURKINA,OUAGADOUGOU,None
CCECBFB1,12,CAISSE CENTRALE DE COOPERATION ECONOMIQUE,OUAGADOUGOU,None
CBAOBFBG,13,CBAO GROUPE ATTIJARIWAFA BANK BURKINA FASO,OUAGADOUGOU,None
CORIBFBF,14,CORIS BANK INTERNATIONAL,OUAGADOUGOU,None
DCRCBFB1,15,DEPOSITAIRE CENTRAL-BANQUE DE REGLEMENT (DCBR BURKINA FASO),OUAGADOUGOU,None
ECOCBFBF,16,ECOBANK BURKINA,OUAGADOUGOU,None
FIPXBFB1,17,LA FINANCIERE DE PROXIMITE SA FIPROXI-SA,OUAGADOUGOU,None
ORBKBFBF,18,ORABANK BURKINA-FASO,OUAGADOUGOU,None
SGBBBFBF,19,SOCIETE GENERALE BURKINA FASO,OUAGADOUGOU,None
BIBUBFBF,20,UBA BURKINA,OUAGADOUGOU,None
