swift_code,id,bank,city,branch
ABCIBHBM,1,ABC ISLAMIC BANK (E.C),MANAMA,None
AUBBBHBMISB,2,AHLI UNITED BANK B.S.C.,MANAMA,(ALHILAL ISLAMIC BANKING SERVICES)
AUBBBHBM,3,AHLI UNITED BANK B.S.C.,MANAMA,None
GUSRBHB1,4,AL AHLIA SECURITIES W.L.L,MANAMA,None
ABIBBHBMFCR,5,AL BARAKA ISLAMIC BANK B.S.C CLOSED,MANAMA,(FINANCIAL CONTROL AND RECONCILIATION - HEAD OFFICE)
ABIBBHBMPMT,6,AL BARAKA ISLAMIC BANK B.S.C CLOSED,MANAMA,(PAYMENTS AND TRANSFERS - HEAD OFFICE)
ABIBBHBMTRF,7,AL BARAKA ISLAMIC BANK B.S.C CLOSED,MANAMA,(TRADE FINANCE OPERATIONS - HEAD OFFICE)
ABIBBHBMTBO,8,AL BARAKA ISLAMIC BANK B.S.C CLOSED,MANAMA,(TREASURY BACK OFFICE - HEAD OFFICE)
ABIBBHBM,9,AL BARAKA ISLAMIC BANK B.S.C CLOSED,MANAMA,None
ALSABHBM,10,AL SALAM BANK BAHRAIN,MANAMA,None
SHTWBHBM,11,AL SHAYA TRADING CO W.L.L,MANAMA,None
ABBGBHBM,12,ALBARAKA BANKING GROUP,MANAMA,None
ABLWBHBM,13,ALLIED BANK LIMITED, WHOLESALE BANKING BRANCH,MANAMA,None
ABCMBHB1,14,ALLIED BANKING CORPORATION,MANAMA,None
ALUBBHBM,15,ALUBAF ARAB INTERNATIONAL BANK B.S.C. (C),MANAMA,None
ARABBHBMMAN,16,ARAB BANK PLC,MANAMA,(COMMERCIAL BRANCH)
ARABBHBMCTU,17,ARAB BANK PLC, OFFSHORE BANKING UNIT (OBU),MANAMA,(CENTRAL TRANSFER UNIT)
ARABBHBMINV,18,ARAB BANK PLC, OFFSHORE BANKING UNIT (OBU),MANAMA,(PAYMENTS INVESTIGATIONS)
ARABBHBMTSU,19,ARAB BANK PLC, OFFSHORE BANKING UNIT (OBU),MANAMA,(TRADE SERVICES UNIT)
ARABBHBMTRO,20,ARAB BANK PLC, OFFSHORE BANKING UNIT (OBU),MANAMA,(TREASURY OPERATIONS)
ARABBHBM,21,ARAB BANK PLC, OFFSHORE BANKING UNIT (OBU),MANAMA,None
ABCOBHBM,22,ARAB BANKING CORPORATION (B.S.C.),MANAMA,None
AFSCBHB1,23,ARAB FINANCIAL SERVICES CO. B.S.C,MANAMA,None
TAIQBHBM,24,ARAB INVESTMENT COMPANY, THE,MANAMA,None
APICBHBMBH2,25,ARAB PETROLEUM INVESTMENTS CORPORATION,MANAMA,(APICORP BAHRAIN PROJECT)
APICBHBM,26,ARAB PETROLEUM INVESTMENTS CORPORATION,MANAMA,None
FIIVBHBM,27,ARCAPITA,MANAMA,None
ASCMBHBM,28,ASKARI BANK LIMITED, BAHRAIN BRANCH,MANAMA,None
BHBNBHBM,29,BAHRAIN BOURSE,MANAMA,None
BDBBBHBM,30,BAHRAIN DEVELOPMENT BANK B S C (C),MANAMA,None
BFCCBHBM,31,BAHRAIN FINANCING COMPANY,MANAMA,None
BAHFBHB1,32,BAHRAIN FINANCING COMPANY BSC,MANAMA,None
BIEEBHB1,33,BAHRAIN INDIA INTERNATIONAL EXCHANGE CO .B.S.C,MANAMA,None
BIBBBHBMINV,34,BAHRAIN ISLAMIC BANK B.S.C.,MANAMA,(INVESTMENT AND TREASURY BACK OFFICE)
BIBBBHBMTFD,35,BAHRAIN ISLAMIC BANK B.S.C.,MANAMA,(TRADE FINANCE DEPARTMENT)
BIBBBHBM,36,BAHRAIN ISLAMIC BANK B.S.C.,MANAMA,None
BMEABHBM,37,BAHRAIN MIDDLE EAST BANK B.S.C,MANAMA,None
XBAHBHB1,38,BAHRAIN STOCK EXCHANGE,MANAMA,None
BAHLBHBM,39,BANK AL HABIB LIMITED,MANAMA,None
ALFHBHBM,40,BANK ALFALAH LIMITED BAHRAIN,MANAMA,None
UINSBHBN,41,BANK AL-KHAIR B.S.C. (C),MANAMA,None
BARBBHBM,42,BANK OF BARODA,MANAMA,None
BOTKBHBM,43,BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE,MANAMA,(BAHRAIN BRANCH)
BBKUBHBMADL,44,BBK,MANAMA,(ADLIYA BRANCH)
BBKUBHBMBUD,45,BBK,MANAMA,(BUDAIYA BRANCH)
BBKUBHBMCMK,46,BBK,MANAMA,(CENTRAL MARKET BRANCH)
BBKUBHBMCLG,47,BBK,MANAMA,(CLEARING SECTION)
BBKUBHBMMAX,48,BBK,MANAMA,(CREDIMAX)
BBKUBHBMLOP,49,BBK,MANAMA,(CREDIT SERVICES UNIT)
BBKUBHBMDIP,50,BBK,MANAMA,(DIPLOMATIC AREA BRANCH)
BBKUBHBMERF,51,BBK,MANAMA,(EAST RIFFA BRANCH)
BBKUBHBMEXH,52,BBK,MANAMA,(EXHIBITION BRANCH)
BBKUBHBMHTN,53,BBK,MANAMA,(HAMAD TOWN)
BBKUBHBMITN,54,BBK,MANAMA,(ISA TOWN BRANCH)
BBKUBHBMCSU,55,BBK,MANAMA,(LC DEPARTMENT)
BBKUBHBMMBR,56,BBK,MANAMA,(MAIN BRANCH)
BBKUBHBMMNM,57,BBK,MANAMA,(MANAMA BRANCH)
BBKUBHBMMHF,58,BBK,MANAMA,(MUHARRAQ BRANCH)
BBKUBHBMMSF,59,BBK,MANAMA,(MUHARRAQ SUQ BRANCH)
BBKUBHBMREC,60,BBK,MANAMA,(RECONCILIATION)
BBKUBHBMREF,61,BBK,MANAMA,(REFINERY BRANCH)
BBKUBHBMREM,62,BBK,MANAMA,(REMITTANCES DEPARTMENT)
BBKUBHBMSAL,63,BBK,MANAMA,(SALARIES DEPARTMENT)
BBKUBHBMSUW,64,BBK,MANAMA,(SUQ WAQIF BRANCH)
BBKUBHBMTSU,65,BBK,MANAMA,(TREASURY SERVICES UNIT)
BBKUBHBM,66,BBK,MANAMA,None
BBKUBHBMWRF,67,BBK,WEST RIFFA,(WEST RIFFA BRANCH)
BMUSBHBMWMB,68,BMI BANK BSC (C),MANAMA,(WEALTH MANAGEMENT BRANCH)
BMUSBHBM,69,BMI BANK BSC (C),MANAMA,None
BNPABHBW,70,BNP PARIBAS 3U,MANAMA,None
BNPABHBMWMI,71,BNP PARIBAS BAHREIN - MANAMA OFFSHORE BANKING UNIT(OBU),MANAMA,(MANAMA OFFSHORE BANKING UNIT(OBU))
BNPABHBM,72,BNP PARIBAS BAHREIN - MANAMA OFFSHORE BANKING UNIT(OBU),MANAMA,None
