swift_code,id,bank,city,branch
BUCIBIBI,1,BANQUE BURUNDAISE POUR LE COMMERCE ET L'INVESTISSEMENT,BUJUMBURA,None
BCBUBIBI,2,BANQUE COMMERCIALE DU BURUNDI,BUJUMBURA,None
BCRBBIBI,3,BANQUE DE CREDIT DE BUJUMBURA,BUJUMBURA,None
BKGFBIBI,4,BANQUE DE GESTION ET DE FINANCEMENT,BUJUMBURA,None
BRBUBIB2,5,BANQUE DE LA REPUBLIQUE DU BURUNDI,BUJUMBURA,None
BRBUBIBI,6,BANQUE DE LA REPUBLIQUE DU BURUNDI,BUJUMBURA,None
CCMFBIB1,7,CAISSE CENTRALE DE MOBILISATION ET DE FINANCEMENT,BUJUMBURA,None
CADBBIB1,8,CAISSE D'EPARGNE DU BURUNDI,BUJUMBURA,None
CBBBBIB1,9,CENTRAL BANK OF BURUNDI,BUJUMBURA,None
CORUBIBU,10,CRDB BANK BURUNDI S.A,BUJUMBURA,None
DTKEBIBI,11,DIAMOND TRUST BANK BURUNDI S.A,BUJUMBURA,None
ECOCBIBI,12,ECOBANK BURUNDI,BUJUMBURA,None
FIKNBIBI,13,FINBANK,BUJUMBURA,None
IBBUBIBIADI,14,INTERBANK BURUNDI,BUJUMBURA,(AVENUE DE L'INDUSTRIE BRANCH)
IBBUBIBI,15,INTERBANK BURUNDI,BUJUMBURA,None
KCBLBIBI,16,KCB BANK BURUNDI LIMITED,BUJUMBURA,None
MBBSBIB1,17,MERIDIEN BIAO BANK BURUNDI SARL,BUJUMBURA,None
