swift_code,id,bank,city,branch
AFRIBJB1BWB,1,BANK OF AFRICA - BENIN,COTONOU,None
AFRIBJBJ,2,BANK OF AFRICA - BENIN,COTONOU,None
AFICBJBJ,3,BANQUE AFRICAINE POUR L'INDUSTRIE ET LE COMMERCE BENIN,COTONOU,None
ATBJBJBJ,4,BANQUE ATLANTIQUE DU BENIN,COTONOU,None
BCAOBJBJ,5,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST,COTONOU,None
BCAOBJBJPAR,6,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST,PARAKOU,(PARAKOU BRANCH)
BIBEBJBJ,7,BANQUE INTERNATIONALE DU BENIN,COTONOU,None
BSAHBJBJ,8,BANQUE SAHELO-SAHARIENNE POUR L'INVESTISSEMENT ET LE COMMERCE (BENIN) S.A.,COTONOU,None
BGFIBJBJ,9,BGFIBANK BENIN,COTONOU,None
CBAOBJBJ,10,CBAO GROUP ATTIJARIWAFABANK,COTONOU,None
CCEIBJBJ,11,CCEI BANK BENIN,COTONOU,None
CORIBJBJ,12,CORIS BANK INTERNATIONAL BENIN,COTONOU,None
DCRDBJB1,13,DEPOSITAIRE CENTRAL-BANQUE DE REGLEMENT (DCBR BENIN),COTONOU,None
DBLNBJBJ,14,DIAMOND BANK BENIN SA,COTONOU,None
DGTPBJBJ,15,DIRECTION GENERALE DU TRESOR ET DE LA COMPTABILITE PUBLIQUE (DGTCP),COTONOU,None
ECOCBJBJ,16,ECOBANK BENIN,COTONOU,None
ORBKBJBJ,17,ORABANK BENIN,COTONOU,None
SOGEBJBJ,18,SOCIETE GENERALE BENIN,COTONOU,None
COBBBJBJ,19,UNITED BANK FOR AFRICA BENIN,COTONOU,None
