swift_code,id,bank,city,branch
BANIBOLXCBB,1,BANCO BISA S.A.,COCHABAMBA,None
BANIBOLX,2,BANCO BISA S.A.,LA PAZ,None
BANIBOLXSCZ,3,BANCO BISA S.A.,SANTA CRUZ DE LA SIERRA,None
BCEBBOLP,4,BANCO CENTRAL DE BOLIVIA,LA PAZ,None
BCPLBOLXCBB,5,BANCO DE CREDITO DE BOLIVIA S.A.,COCHABAMBA,None
BCPLBOLX,6,BANCO DE CREDITO DE BOLIVIA S.A.,LA PAZ,None
BCPLBOLXSCZ,7,BANCO DE CREDITO DE BOLIVIA S.A.,SANTA CRUZ DE LA SIERRA,None
BCROBO21,8,BANCO DE CREDITO ORURO,ORURO,None
BDRSBOLP,9,BANCO DE DESARROLLO PRODUCTIVO SAM,LA PAZ,None
BIBOBOL1,10,BANCO DE INVERSION BOLIVIANO S.A.,LA PAZ,None
NACNBOLP,11,BANCO DE LA NACION ARGENTINA,SANTA CRUZ DE LA SIERRA,None
BPAZBOL1023,12,BANCO DE LA PAZ, S.A.,COCHABAMBA,None
BPAZBOL1,13,BANCO DE LA PAZ, S.A.,LA PAZ,None
BPAZBOL1022,14,BANCO DE LA PAZ, S.A.,SANTA CRUZ DE LA SIERRA,None
BRASBOLX,15,BANCO DO BRASIL S.A. SUCURSAL BOLIVIA,LA PAZ,None
BOEOBO22CBB,16,BANCO ECONOMICO S.A.,COCHABAMBA,(COCHABAMBA BRANCH)
BOEOBO22LPZ,17,BANCO ECONOMICO S.A.,LA PAZ,(LA PAZ BRANCH)
BOEOBO22SCZ,18,BANCO ECONOMICO S.A.,SANTA CRUZ DE LA SIERRA,(SANTA CRUZ BRANCH)
BOEOBO22,19,BANCO ECONOMICO S.A.,SANTA CRUZ DE LA SIERRA,None
BOEOBO22BEC,20,BANCO ECONOMICO S.A.,SANTA CRUZ DE LA SIERRA,None
BSCFBO22,21,BANCO FASSIL S.A.,SANTA CRUZ DE LA SIERRA,None
BFIFBOLP,22,BANCO FIE S.A.,LA PAZ,None
BFORBOLP,23,BANCO FORTALEZA SA,LA PAZ,None
GNDRBO22,24,BANCO GANADERO S.A.,SANTA CRUZ DE LA SIERRA,None
GNDRBO22CMI,25,BANCO GANADERO S.A.,SANTA CRUZ DE LA SIERRA,None
GNDRBO22FIT,26,BANCO GANADERO S.A.,SANTA CRUZ DE LA SIERRA,None
GNDRBO22GEB,27,BANCO GANADERO S.A.,SANTA CRUZ DE LA SIERRA,None
BHNABOL1,28,BANCO HIPOTECARIO NACIONAL,LA PAZ,None
BALDBOL1,29,BANCO LATINOAMERICANO DE DESARROLLO S.A.,LA PAZ,None
MERBBOLXCBB,30,BANCO MERCANTIL SANTA CRUZ S.A.,COCHABAMBA,None
MERBBOLX,31,BANCO MERCANTIL SANTA CRUZ S.A.,LA PAZ,None
MERBBOLXSCZ,32,BANCO MERCANTIL SANTA CRUZ S.A.,SANTA CRUZ DE LA SIERRA,None
