swift_code,id,bank,city,branch
AASBBRS1,1,ABN AMRO SECURITIES (BRASIL) CORRETORA DE VALORES MOBILIARIOS SA,SAO PAULO,None
ACSTBRS1,2,ACCESSTAGE TECNOLOGIA LTDA,SAO PAULO,None
ADDRBRSP,3,ADVANCED CORRETORA DE CAMBIO LTDA,SAO PAULO,None
AGCVBRR1,4,AGENDA CCVM LTDA.,RIO DE JANEIRO,None
AGKCBRS1,5,AGK CORRETORA DE CAMBIO S.A.,SAO PAULO,None
AGORBRR1,6,AGORA COR DE TITUL E VAL MOB,RIO DE JANEIRO,None
ALCCBRS1,7,ALFA CCVM S/A,SAO PAULO,None
ALPVBRS1,8,ALPES C.C.T.V.M. LTDA,SAO PAULO,None
AEIBBRS1,9,AMERICAN EXPRESS BANK (BRASIL) BANCO MULTIPLO S.A.,SAO PAULO,None
ANFEBRR1,10,ANGLO FERROUS BRAZIL S.A.,RIO DE JANEIRO,None
ANZBBRR1,11,ANZ PARTICIPACOES E SERVICOES LTDA.,RIO DE JANEIRO,None
ACCVBRS1,12,ARC CORRETORA DE CAMBIO, ASSOCIADOS GOUVEIA, CAMPEDELLI S.A.,SANTOS,None
ACTCBRR1,13,ATIVA INVESTIMENTOS S/A CTCV,RIO DE JANEIRO,None
ATCTBRR1,14,ATIVA S/A CTV,RIO DE JANEIRO,None
AUREBRP1,15,AUREUM SOCIEDADE CORRETORA DE CAMBIO E VALORES MOBILIARIOS LTDA,CURITIBA,None
XBMFBRSPDBL,16,B3 S.A. - BRASIL, BOLSA, BALCAO,SAO PAULO,(DEPARTAMENTO DE CUSTODIA)
XBMFBRSPCRD,17,B3 S.A. - BRASIL, BOLSA, BALCAO,SAO PAULO,(DIRETORIA DE LIQUIDACAO E CUSTODIA)
XBMFBRSP,18,B3 S.A. - BRASIL, BOLSA, BALCAO,SAO PAULO,None
ABCBBRSP,19,BANCO ABC BRASIL S.A.,SAO PAULO,None
ABNABRSP,20,BANCO ABN AMRO S.A.,SAO PAULO,None
AUFABRSP,21,BANCO ALFA DE INVESTIMENTO S.A., SAO PAULO,SAO PAULO,None
ARBBBRS10RS,22,BANCO ARBI S/A,PORTO ALEGRE,None
ARBBBRS1,23,BANCO ARBI S/A,RIO DE JANEIRO,None
ARBBBRS10RJ,24,BANCO ARBI S/A,RIO DE JANEIRO,None
BBINBRRJ,25,BANCO BBM S.A.,RIO DE JANEIRO,None
BBINBRR10SP,26,BANCO BBM S.A.,SAO PAULO,None
BBMFBRSP,27,BANCO BMFBOVESPA DE SERVICOS DE LIQUIDACAO E CUSTODIA S.A.,SAO PAULO,None
BBMFBRSPDBL,28,BANCO BMFBOVESPA DE SERVICOS DE LIQUIDACAO E CUSTODIA S.A.,SAO PAULO,None
BMBCBRSP,29,BANCO BMG S/A,SAO PAULO,None
BNPABRSPB2S,30,BANCO BNP PARIBAS BRASIL S/A,BRASILIA,(BANCO BNP PARIBAS BRASIL S/A)
BNPABRSP,31,BANCO BNP PARIBAS BRASIL S/A,SAO PAULO,(SAO PAOLO BRANCH)
BNPABRSPCWM,32,BANCO BNP PARIBAS BRASIL S/A,SAO PAULO,(WEALTH MANAGMENT)
BBONBRSP,33,BANCO BONSUCESSO SA,BELO HORIZONTE,None
BPBMBRSP,34,BANCO BPN BRASIL S.A.,SAO PAULO,None
BBDEBRSPBLM,35,BANCO BRADESCO S.A.,BELEM,None
BBDEBRSPBHE,36,BANCO BRADESCO S.A.,BELO HORIZONTE,None
BBDEBRSPBNU,37,BANCO BRADESCO S.A.,BLUMENAU,None
BBDEBRSPBSA,38,BANCO BRADESCO S.A.,BRASILIA,None
BBDEBRSPCAS,39,BANCO BRADESCO S.A.,CAMPINAS,None
BBDEBRSPCTA,40,BANCO BRADESCO S.A.,CURITIBA,None
BBDEBRSPFLA,41,BANCO BRADESCO S.A.,FORTALEZA,None
BBDEBRSPFAC,42,BANCO BRADESCO S.A.,FRANCA,None
BBDEBRSPJVE,43,BANCO BRADESCO S.A.,JOINVILLE,None
BBDEBRSPMNS,44,BANCO BRADESCO S.A.,MANAUS,None
BBDEBRSPNHO,45,BANCO BRADESCO S.A.,NOVO HAMBURGO,None
BBDEBRSPDAC,46,BANCO BRADESCO S.A.,OSASCO,(DEPARTAMENTO DE ACOES E CUSTODIA)
BBDEBRSPPCY,47,BANCO BRADESCO S.A.,OSASCO,(PROCYON)
BBDEBRSPTES,48,BANCO BRADESCO S.A.,OSASCO,(TES-TREASURY)
BBDEBRSPPAE,49,BANCO BRADESCO S.A.,PORTO ALEGRE,None
BBDEBRSPRCE,50,BANCO BRADESCO S.A.,RECIFE,None
BBDEBRSPRJO,51,BANCO BRADESCO S.A.,RIO DE JANEIRO,None
BBDEBRSPSDR,52,BANCO BRADESCO S.A.,SALVADOR,None
BBDEBRSPSTS,53,BANCO BRADESCO S.A.,SANTOS,None
BBDEBRSPCON,54,BANCO BRADESCO S.A.,SAO PAULO,(BANK RECONCILIATION)
BBDEBRSPBEX,55,BANCO BRADESCO S.A.,SAO PAULO,(BRADEX)
BBDEBRSPSPO,56,BANCO BRADESCO S.A.,SAO PAULO,(BRANCH)
BBDEBRSPCSH,57,BANCO BRADESCO S.A.,SAO PAULO,(CASH MANAGEMENT)
BBDEBRSPOCO,58,BANCO BRADESCO S.A.,SAO PAULO,(HEAD OFFICE)
BBDEBRSPMTZ,59,BANCO BRADESCO S.A.,SAO PAULO,(MATRIZ)
BBDEBRSP,60,BANCO BRADESCO S.A.,SAO PAULO,None
BBDEBRSPVTA,61,BANCO BRADESCO S.A.,VITORIA,None
BCBBBRPRBLM,62,BANCO BRADESCO SA (FORMERLY KIRTON BANK S.A. - BANCO MULTIPLO),BELEM,None
BCBBBRPRBHE,63,BANCO BRADESCO SA (FORMERLY KIRTON BANK S.A. - BANCO MULTIPLO),BELO HORIZONTE,None
BCBBBRPRBNU,64,BANCO BRADESCO SA (FORMERLY KIRTON BANK S.A. - BANCO MULTIPLO),BLUMENAU,None
BCBBBRPRCAS,65,BANCO BRADESCO SA (FORMERLY KIRTON BANK S.A. - BANCO MULTIPLO),CAMPINAS,None
