swift_code,id,bank,city,branch
ADAIBSF1,1,ADANAC INVESTMENT CO LTD.,FREEPORT,None
ABATBSN1,2,ALLIANCE BANK AND TRUST,NASSAU,None
ALBTBSN1,3,ALLIED BANK AND TRUST COMPANY (BAHAMAS) LIMITED,NASSAU,None
AMRRBSNS,4,AMBER BANK AND TRUST LTD,NASSAU,None
BACABSNS,5,ANDBANC (BAHAMAS) LIMITED,NASSAU,None
BITCBSNS,6,ANSBACHER (BAHAMAS) LIMITED,NASSAU,None
ARUEBSN1,7,ARBITRAL SECURITIES LTD.,NASSAU,None
ARNEBSN1,8,ARNER BANK AND TRUST (BAHAMAS) LTD.,NASSAU,None
BAHDBSN1,9,BAHAMAS DEVELOPMENT BANK,NASSAU,None
BASEBSNS,10,BANCA DEL SEMPIONE (OVERSEAS) LTD,NASSAU,None
BBINBSNS,11,BANCO BBM S/A,NASSAU,None
BBVIBSN1,12,BANCO BILBAO VIZCAYA,NASSAU,None
BBOGBSNX,13,BANCO DE BOGOTA (NASSAU) LTD.,NASSAU,None
BPOIBSN1,14,BANCO POPULAR INTERNATIONAL LTD.,NASSAU,None
BSCHBSN1,15,BANCO SANTANDER BAHAMAS INTERNATIONAL LIMITED,NASSAU,None
SCHTBSNS,16,BANCO SANTANDER BAHAMAS INTL. LTD.,NASSAU,None
BAVOBSNS,17,BANCO VOTORANTIM S/A - NASSAU BRANCH,NASSAU,None
BSAFBSNS,18,BANK J. SAFRA SARASIN (BAHAMAS) LTD.,NASSAU,None
BARBBSNS,19,BANK OF BARODA, OFFSHOREBANKING UNIT, NASSAU, BAHAMAS,NASSAU,None
NOSCBSNT,20,BANK OF NOVA SCOTIA TRUST COMPANY (BAHAMAS) LTD,THE,NASSAU,None
BOTBBSNS0FR,21,BANK OF THE BAHAMAS LIMITED,FREEPORT,None
BOTBBSNS0N2,22,BANK OF THE BAHAMAS LIMITED,INAGUA,None
BOTBBSNS0N3,23,BANK OF THE BAHAMAS LIMITED,NASSAU,(MAIN BRANCH)
BOTBBSNS,24,BANK OF THE BAHAMAS LIMITED,NASSAU,None
BOFABSN1,25,BANKAMERICA TRUST BANKING CORPORATION (BAHAMAS) LIMITED,NASSAU,None
HAVLBSNS,26,BANQUE HAVILLAND (BAHAMAS) LTD.,NASSAU,None
BBINBSNX,27,BBM BANK LIMITED,NASSAU,None
CUBLBSNS,28,CAPITAL UNION BANK,NASSAU,None
BSSABSNS,29,CBH (BAHAMAS) LTD.,NASSAU,None
CBBHBSNS,30,CENTRAL BANK OF THE BAHAMAS,THE,NASSAU,None
CHASBSN1,31,CHASE MANHATTAN TRUST CORPORATION LIMITED,NASSAU,None
CIBCBSNB,32,CIBC TRUST COMPANY (BAHAMAS) LTD SOLOMON'S BUILDING,NASSAU,None
CITCBSNS,33,CITCO BANK AND TRUST COMPANY (BAHAMAS) LTD.,NASSAU,None
CITIBSNATPS,34,CITIBANK NA,NASSAU,(CITITRUST BAHAMAS THIRD PARTY STATEMENTS)
CITIBSNA,35,CITIBANK NA,NASSAU,None
CITIBSN1,36,CITICORP BANKING CORPORATION,NASSAU,None
CIBABSN1,37,CITITRUST (BAHAMAS) LTD.,NASSAU,None
COMWBSNS,38,COMMONWEALTH BANK LIMITED,NASSAU,None
CBLUBSN2,39,CORNER BANK (OVERSEAS) LIMITED,NASSAU,None
CRESBSNS,40,CREDIT SUISSE AG, NASSAU BRANCH,NASSAU,(NASSAU BRANCH)
CRESBSNSSIP,41,CREDIT SUISSE AG, NASSAU BRANCH,NASSAU,(STRUCTURED PRODUCTS)
GBLIBSNX,42,CREDIT SUISSE AG, NASSAU BRANCH, LATAM INVESTMENT BANKING,NASSAU,None
CRESBSNSCRE,43,CREDIT SUISSE AG, NASSAU BRANCH, PRIVATE BANKING,NASSAU,(PRIVATE BANKING)
CRESBSNSNAS,44,CREDIT SUISSE AG, NASSAU BRANCH, TREASURY AND ISSUANCE,NASSAU,(NASSAU BRANCH)
CRESBSNX,45,CREDIT SUISSE AG, NASSAU BRANCH, WEALTH MANAGEMENT,NASSAU,None
BIGABSNS,46,CREDIT SUISSE BRAZIL (BAHAMAS) LIMITED,NASSAU,None
BIGABSNSABT,47,CREDIT SUISSE BRAZIL (BAHAMAS) LIMITED,NASSAU,None
DATUBSNS,48,DARTLEY BANK AND TRUST LIMITED,NASSAU,None
DBTLBSNS,49,DELTEC BANK AND TRUST LIMITED,NASSAU,None
EFGBBSNS,50,EFG BANK AND TRUST (BAHAMAS) LTD,NASSAU,None
EQTTBSNS,51,EQUITY BANK AND TRUST BAHAMAS LIMITED,NASSAU,None
EUBOBSNS,52,EUROBANCO BANK LTD,NASSAU,None
EIMLBSN1,53,EUROPEAN INVESTMENTS MANAGEMENT LIMITED,NASSAU,None
BTAMBSNS,54,FIDELITY BANK (BAHAMAS) LIMITED,NASSAU,None
FICBBSN10N4,55,FINANCE CORPORATION OF BAHAMAS LTD.,FREEPORT,(FREEPORT BRANCH)
FICBBSN1,56,FINANCE CORPORATION OF BAHAMAS LTD.,NASSAU,(MAIN BRANCH)
FICBBSN10N2,57,FINANCE CORPORATION OF BAHAMAS LTD.,NASSAU,(PALMDALE BRANCH)
FICBBSN10N3,58,FINANCE CORPORATION OF BAHAMAS LTD.,NASSAU,(ROBINSON ROAD BRANCH)
FOBLBSNS,59,FIRST OVERSEAS BANK LIMITED,NASSAU,None
FCIBBSNS,60,FIRSTCARIBBEAN INTERNATIONAL BANK (BAHAMAS) LIMITED,NASSAU,None
GLNGBSN1,61,GILINGAM BANK AND TRUST LTD.,NASSAU,None
GONEBSNS,62,GONET BANK AND TRUST LIMITED,NASSAU,None
GTBLBSN1,63,GUARANTY TRUST BANK LIMITED,NASSAU,None
HASEBSN1,64,HANG SENG BANK (BAHAMAS) LTD.,NASSAU,None
HSNNBSN1,65,HSBC NOMINEES NASSAU LTD.,NASSAU,None
BLICBSN1,66,HSBC PRIVATE BANK (SUISSE) SA,NASSAU,None
CBBABSNSBNF,67,ITAU UNIBANCO S.A. - NASSAU BRANCH (FORMERLY BANCO ITAU BBA S.A. - NASSAU BRANCH),NASSAU,(CASH CUSTOMERS TRANFS)
CBBABSNS,68,ITAU UNIBANCO S.A. - NASSAU BRANCH (FORMERLY BANCO ITAU BBA S.A. - NASSAU BRANCH),NASSAU,None
CBBABSNSGCH,69,ITAU UNIBANCO S.A. - NASSAU BRANCH (FORMERLY BANCO ITAU BBA S.A. - NASSAU BRANCH),NASSAU,None
JSBBBSN1,70,J. SAFRA BANK (BAHAMAS) LIMITED,NASSAU,None
JBBTBSNS,71,JULIUS BAER BANK AND TRUST (BAHAMAS) LIMITED,NASSAU,None
KARLBSN1,72,KARLA DERIVATIVES STRATEGIES FUND LTD.,NASSAU,None
LOCYBSNSNDP,73,LOMBARD ODIER AND CIE (BAHAMAS) LIMITED,NASSAU,(NDP DEPT)
LOCYBSNS,74,LOMBARD ODIER AND CIE (BAHAMAS) LIMITED,NASSAU,None
HOBTBSNS,75,LYFORD INTERNATIONAL BANK AND TRUST LIMITED,NASSAU,None
LIBTBSNS,76,LYFORD INTL BANK AND TRUST LIMITED,NASSAU,None
MCROBSN1,77,MACRO BANK LIMITED,NASSAU,None
DEIIBSN1,78,MC. DERMOTT INTERNATIONAL INVESTMENTS CO. LTD.,NASSAU,None
MMGBBSNS,79,MMG BANK AND TRUST,NASSAU,None
OBATBSN1,80,OCEANIC BANK AND TRUST LIMITED,NASSAU,None
RAWTBSN1,81,OCEANIC BANK AND TRUST LIMITED,NASSAU,None
BPGEBSN1,82,PASCHE BANK AND TRUST LIMITED,NASSAU,None
PICTBSNX,83,PICTET BANK AND TRUST LIMITED,NASSAU,None
PNCCBSNS,84,PNC BANK, N.A. NASSAU BRANCH,NASSAU,None
DWCIBSNS,85,PRIVATE INVESTMENT BANK LIMITED,NASSAU,None
ROYCBSNSFRE,86,RBC ROYAL BANK (BAHAMAS) LIMITED (FORMERLY KNOWN AS ROYAL BANK OF CANADA NASSAU),FREEPORT,(FREEPORT BRANCH)
ROYCBSN10FR,87,RBC ROYAL BANK (BAHAMAS) LIMITED (FORMERLY KNOWN AS ROYAL BANK OF CANADA NASSAU),FREEPORT,None
ROYCBSNS,88,RBC ROYAL BANK (BAHAMAS) LIMITED (FORMERLY KNOWN AS ROYAL BANK OF CANADA NASSAU),NASSAU,(ALL OFFICES)
ROYCBSNSOPC,89,RBC ROYAL BANK (BAHAMAS) LIMITED (FORMERLY KNOWN AS ROYAL BANK OF CANADA NASSAU),NASSAU,(HEAD OFFICE OPERATIONS CENTRE)
ROYCBSNSMAI,90,RBC ROYAL BANK (BAHAMAS) LIMITED (FORMERLY KNOWN AS ROYAL BANK OF CANADA NASSAU),NASSAU,(MAIN BRANCH)
ROYCBSNSPAL,91,RBC ROYAL BANK (BAHAMAS) LIMITED (FORMERLY KNOWN AS ROYAL BANK OF CANADA NASSAU),NASSAU,(PALMDALE BRANCH)
RCTCBSN1,92,ROYAL BANK OF CANADA TRUST COMPANY (BAHAMAS) LIMITED,NASSAU,None
RBOSBSN1,93,ROYAL BANK OF SCOTLAND (NASSAU) LIMITED, THE,NASSAU,None
RUBABSN1,94,RURAL INTERNATIONAL BANK,NASSAU,None
NOSCBSNSFPO,95,SCOTIABANK (BAHAMAS) LTD,FREEPORT,(FREEPORT BRANCH)
NOSCBSNSTMK,96,SCOTIABANK (BAHAMAS) LTD,NASSAU,(CARIBBEAN TREASURY UNIT)
NOSCBSNS,97,SCOTIABANK (BAHAMAS) LTD,NASSAU,None
SBINBSNS,98,STATE BANK OF INDIA, NASSAU OBU,NASSAU,None
STGTBSNS,99,STERLING BANK AND TRUST LTD.,NASSAU,None
SYCOBSN1,100,SYZ BANK (BAHAMAS) LTD.,NASSAU,None
