swift_code,id,bank,city,branch
FMBZBWGA,1,AFRICAN BANKING CORPORATION OF BOTSWANA (PROPRIETARY) LIMITED,GABORONE,None
BGLIBWGX,2,BANK GABORONE LIMITED,GABORONE,None
BARBBWGX,3,BANK OF BARODA (BOTSWANA) LIMITED,GABORONE,None
BBOTBWGX,4,BANK OF BOTSWANA,GABORONE,None
BKIDBWGX,5,BANK OF INDIA (BOTSWANA) LIMITED,GABORONE,None
BARCBWGX,6,BARCLAYS BANK OF BOTSWANA LTD.,GABORONE,None
XBOTBWG1,7,BOTSWANA STOCK EXCHANGE,GABORONE,None
BATSBW21,8,BRITISH AMERICAN TOBACCO BOTSWANA (PTY) LIMITED,GABORONE,None
CAPLBWGA,9,CAPITAL BANK LIMITED,GABORONE,None
CSERBWG1,10,CAPITAL SECURITIES,GABORONE,None
DDCOBWGA,11,DEBSWANA DIAMOND COMPANY (PTY) LTD,GABORONE,None
FIRNBWGXCUS,12,FIRST NATIONAL BANK OF BOTSWANA LIMITED,GABORONE,(ELECTRONIC MONEY MARKET DEPOSITORY)
FIRNBWGX,13,FIRST NATIONAL BANK OF BOTSWANA LIMITED,GABORONE,None
FXAFBWG1,14,FX AFRICA (BOTSWANA) PTY LTD,GABORONE,None
ISBTBWG1,15,INVESTEC SECURITIES (BOTSWANA) (PTY) LTD,GABORONE,None
MOSYBWG1,16,MOTSWEDI SECURITIES (PTY) LTD.,GABORONE,None
DNABBWG10BF,17,NATIONAL DEVELOPMENT BANK,FRANCISTOWN,None
DNABBWG1,18,NATIONAL DEVELOPMENT BANK,GABORONE,None
DNABBWG10BK,19,NATIONAL DEVELOPMENT BANK,KANYE,None
DNABBWG10BM,20,NATIONAL DEVELOPMENT BANK,MAUN,None
DNABBWG10BP,21,NATIONAL DEVELOPMENT BANK,SELEBI PHIKWE,None
DNABBWG10BS,22,NATIONAL DEVELOPMENT BANK,SEROWE,None
PCPYBWG1,23,PAA CAPITAL PTY LTD,GABORONE,None
SABMBWG1,24,SABMILLER BOTSWANA,GABORONE,None
SABMBWG1BBL,25,SABMILLER BOTSWANA,GABORONE,None
SABMBWG1KBL,26,SABMILLER BOTSWANA,GABORONE,None
SBICBWGX,27,STANBIC BANK BOTSWANA LIMITED,GABORONE,None
SCHBBWGX017,28,STANDARD CHARTERED BANK BOTSWANA LTD.,FRANCISTOWN,(HASKINS STREET)
SCHBBWGX026,29,STANDARD CHARTERED BANK BOTSWANA LTD.,FRANCISTOWN,(INDUSTRIAL BRANCH)
SCHBBWGX024,30,STANDARD CHARTERED BANK BOTSWANA LTD.,GABORONE,(BROADHURST)
SCHBBWGX036,31,STANDARD CHARTERED BANK BOTSWANA LTD.,GABORONE,(FOREIGN TRADE)
SCHBBWGX,32,STANDARD CHARTERED BANK BOTSWANA LTD.,GABORONE,(HEAD OFFICE)
SCHBBWGX023,33,STANDARD CHARTERED BANK BOTSWANA LTD.,GABORONE,(INDUSTRIAL)
SCHBBWGX021,34,STANDARD CHARTERED BANK BOTSWANA LTD.,GABORONE,(MALL BRANCH)
SCHBBWGX027,35,STANDARD CHARTERED BANK BOTSWANA LTD.,GABORONE,(PROFESSIONAL HOUSE)
SCHBBWGXSSU,36,STANDARD CHARTERED BANK BOTSWANA LTD.,GABORONE,(SECURITIES SERVICES UNIT)
SCHBBWGX022,37,STANDARD CHARTERED BANK BOTSWANA LTD.,GABORONE,(STANDARD HOUSE)
SCHBBWGX008,38,STANDARD CHARTERED BANK BOTSWANA LTD.,JWANENG,None
SCHBBWGX009,39,STANDARD CHARTERED BANK BOTSWANA LTD.,LOBATSE,None
SCHBBWGX013,40,STANDARD CHARTERED BANK BOTSWANA LTD.,MAHALPYE,None
SCHBBWGX019,41,STANDARD CHARTERED BANK BOTSWANA LTD.,MAUN,None
SCHBBWGX018,42,STANDARD CHARTERED BANK BOTSWANA LTD.,ORAPA,None
SCHBBWGX015,43,STANDARD CHARTERED BANK BOTSWANA LTD.,PALAPYE,None
SCHBBWGX016,44,STANDARD CHARTERED BANK BOTSWANA LTD.,SELEBI PHIKWE,None
SBINBWGX,45,STATE BANK OF INDIA (BOTSWANA) LTD,GABORONE,None
STOOBWG1,46,STOCKBROKERS BOTSWANA LTD.,GABORONE,None
