swift_code,id,bank,city,branch
ABLTBY22240,1,ABSOLUTBANK, JOINT-STOCK COMPANY,MINSK,(MINSK BRANCH 1/01)
ABLTBY22,2,ABSOLUTBANK, JOINT-STOCK COMPANY,MINSK,None
ALFABY2X,3,ALFA-BANK,MINSK,None
BELBBY21207,4,BANK BELVEB OJSC,BARANOVICHI,(BARANOVICHI)
BELBBY21214,5,BANK BELVEB OJSC,BOBRUISK,(BOBRUISK)
BELBBY21203,6,BANK BELVEB OJSC,BORISOV,(BORISOV)
BELBBY21201,7,BANK BELVEB OJSC,BREST,(BREST REGIONAL BRANCH)
BELBBY21794,8,BANK BELVEB OJSC,GLUBOKOYE,(GLUBOKOYE)
BELBBY21213,9,BANK BELVEB OJSC,GOMEL,(GOMEL REGIONAL BRANCH)
BELBBY21204,10,BANK BELVEB OJSC,GRODNO,(GRODNO REGIONAL BRANCH)
BELBBY21210,11,BANK BELVEB OJSC,KOBRIN,(KOBRIN)
BELBBY21216,12,BANK BELVEB OJSC,LIDA,(LIDA)
BELBBY21728,13,BANK BELVEB OJSC,MINSK,(MINSK  BRANCH CENTRAL)
BELBBY21209,14,BANK BELVEB OJSC,MINSK,(MINSK BRANCH 1)
BELBBY21215,15,BANK BELVEB OJSC,MINSK,(MINSK BRANCH 2)
BELBBY21217,16,BANK BELVEB OJSC,MINSK,(MINSK BRANCH 3)
BELBBY21220,17,BANK BELVEB OJSC,MINSK,(MINSK BRANCH 4)
BELBBY21251,18,BANK BELVEB OJSC,MINSK,(MINSK BRANCH 5)
BELBBY2X,19,BANK BELVEB OJSC,MINSK,None
BELBBY21202,20,BANK BELVEB OJSC,MOGILEV,(MOGILEV REGIONAL BRANCH)
BELBBY21211,21,BANK BELVEB OJSC,MOLODECHNO,(MOLODECHNO)
BELBBY21205,22,BANK BELVEB OJSC,MOZIR,(MOZYR)
BELBBY21206,23,BANK BELVEB OJSC,ORSHA,(ORSHA)
BELBBY21212,24,BANK BELVEB OJSC,PINSK,(PINSK)
BELBBY21221,25,BANK BELVEB OJSC,RECHITSA,(RECHITSA)
BELBBY21848,26,BANK BELVEB OJSC,VERKHNEDVINSK,(VERKHNEDVINSK)
BELBBY21208,27,BANK BELVEB OJSC,VITEBSK,(VITEBSK REGIONAL BRANCH)
BELBBY21219,28,BANK BELVEB OJSC,VOLKOVISK,(VOLKOVISK)
MMBNBY21282,29,'BANK MOSCOW-MINSK' JSC,BREST,(BREST BRANCH)
MMBNBY21275,30,'BANK MOSCOW-MINSK' JSC,GOMEL,(GOMEL BRANCH)
MMBNBY21279,31,'BANK MOSCOW-MINSK' JSC,GRODNO,(GRODNO BRANCH)
MMBNBY22,32,'BANK MOSCOW-MINSK' JSC,MINSK,None
MMBNBY21271,33,'BANK MOSCOW-MINSK' JSC,MOGILEV,(MOGILEV BRANCH)
MMBNBY21277,34,'BANK MOSCOW-MINSK' JSC,VITEBSK,(VITEBSK BRANCH)
BAPBBY2X,35,'BELAGROPROMBANK' JSC,MINSK,None
AKBBBY21802,36,BELARUSBANK,BARANOVICHI,(BARANOVICHI BRANCH 802)
AKBBBY21703,37,BELARUSBANK,BOBRUISK,(BOBRUISK BRANCH 703)
AKBBBY21612,38,BELARUSBANK,BORISOV,(BORISOV BRANCH 612)
AKBBBY21100,39,BELARUSBANK,BREST,(BREST REGIONAL BRANCH 100)
AKBBBY21302,40,BELARUSBANK,GOMEL,(GOMEL BRANCH 302)
AKBBBY21300,41,BELARUSBANK,GOMEL,(GOMEL REGIONAL BRANCH 300)
AKBBBY21400,42,BELARUSBANK,GRODNO,(GRODNO REGIONAL BRANCH 400)
AKBBBY21113,43,BELARUSBANK,KOBRIN,(KOBRIN BRANCH 113)
AKBBBY21714,44,BELARUSBANK,KRICHEV,(KRICHEV BRANCH 714)
AKBBBY21413,45,BELARUSBANK,LIDA,(LIDA BRANCH 413)
AKBBBY21510,46,BELARUSBANK,MINSK,(MINSK BRANCH 510)
AKBBBY21511,47,BELARUSBANK,MINSK,(MINSK BRANCH 511)
AKBBBY21514,48,BELARUSBANK,MINSK,(MINSK BRANCH 514)
AKBBBY21527,49,BELARUSBANK,MINSK,(MINSK BRANCH 527)
AKBBBY21529,50,BELARUSBANK,MINSK,(MINSK BRANCH 529)
AKBBBY21614,51,BELARUSBANK,MINSK,(MINSK BRANCH 614)
AKBBBY21500,52,BELARUSBANK,MINSK,(MINSK REGIONAL BRANCH 500)
AKBBBY2X,53,BELARUSBANK,MINSK,None
AKBBBY21700,54,BELARUSBANK,MOGILEV,(MOGILEV REGIONAL BRANCH 700)
AKBBBY21601,55,BELARUSBANK,MOLODECHNO,(MOLODECHNO BRANCH 601)
AKBBBY21317,56,BELARUSBANK,MOZIR,(MOZIR BRANCH 317)
AKBBBY21620,57,BELARUSBANK,NESVIZH,(NESVIZH BRANCH 620)
AKBBBY21214,58,BELARUSBANK,NOVOPOLOTSK,(NOVOPOLOTSK BRANCH 214)
AKBBBY21215,59,BELARUSBANK,ORSHA,(ORSHA BRANCH 215)
AKBBBY21121,60,BELARUSBANK,PINSK,(PINSK BRANCH 121)
AKBBBY21216,61,BELARUSBANK,POLOTSK,(POLOTSK BRANCH 216)
AKBBBY21633,62,BELARUSBANK,SOLIGORSK,(SOLIGORSK BRANCH 633)
AKBBBY21200,63,BELARUSBANK,VITEBSK,(VITEBSK REGIONAL BRANCH 200)
AKBBBY21402,64,BELARUSBANK,VOLKOVISK,(VOLKOVISK BRANCH 402)
AKBBBY21312,65,BELARUSBANK,ZHLOBIN,(ZHLOBIN BRANCH 312)
BBSBBY21,66,BELARUSIAN BANK FOR SMALL BUSINESS,MINSK,None
BCSXBY22,67,BELARUSIAN CURRENCY AND STOCK EXCHANGE,MINSK,None
BLNBBY2X,68,BELARUSKY NARODNY BANK,MINSK,None
BLBBBY2XBRD,69,BELINVESTBANK JSC,BREST,(BREST REGION DIRECTORATE)
BLBBBY2XGOM,70,BELINVESTBANK JSC,GOMEL,(GOMEL REGION DIRECTORATE)
BLBBBY2XGRD,71,BELINVESTBANK JSC,GRODNO,(GRODNO REGION DIRECTORATE)
BLBBBY2XMRD,72,BELINVESTBANK JSC,MINSK,(BANKING SERVICES CENTRE 537)
BLBBBY21739,73,BELINVESTBANK JSC,MINSK,(GENERAL OPERATIONAL DEPARTMENT)
BLBBBY2XCBD,74,BELINVESTBANK JSC,MINSK,(MINSK CITY AND MINSK REGION DIRECTORATE)
BLBBBY2X,75,BELINVESTBANK JSC,MINSK,None
BLBBBY2XMOG,76,BELINVESTBANK JSC,MOGILEV,(MOGILEV REGION DIRECTORATE)
BLBBBY2XVRD,77,BELINVESTBANK JSC,VITEBSK,(VITEBSK REGION DIRECTORATE)
OLMPBY21107,78,BELORUSSIAN-RUSSIAN BELGAZPROMBANK,MINSK,(MINSK CITY OFFICE 1)
OLMPBY21171,79,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK,BREST,(BREST REGIONAL OFFICE)
OLMPBY21758,80,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK,GOMEL,(HOMIEL REGIONAL OFFICE)
OLMPBY21194,81,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK,GRODNO,(HRODNA REGIONAL OFFICE)
OLMPBY21180,82,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK,MINSK,(MINSK CITY OFFICE 2)
OLMPBY21130,83,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK,MINSK,(MINSK REGIONAL OFFICE)
OLMPBY2X,84,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK,MINSK,None
OLMPBY21232,85,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK,MOGILEV,(MAHILIOU REGIONAL OFFICE)
OLMPBY21238,86,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK,VITEBSK,(VITIEBSK REGIONAL OFFICE)
BPSBBY2X,87,BPS-SBERBANK,MINSK,None
AEBKBY2X,88,BTA BANK CJSC,MINSK,None
BBTKBY2X,89,CJSC TRADE CAPITAL BANK,MINSK,None
SLANBY22,90,CJSC VTB BANK (BELARUS),MINSK,None
GTBNBY22,91,FRANSABANK OJSC,MINSK,None
SOMABY22,92,IDEA BANK,MINSK,None
TECNBY22,93,JOINT STOCK COMPANY 'TECHNOBANK',MINSK,None
BRRBBY2X,94,JOINT-STOCK COMPANY 'DEVELOPMENT BANK OF THE REPUBLIC OF BELARUS',MINSK,None
UNBSBY2X,95,JSC BSB BANK,MINSK,None
MTBKBY22,96,MINSK TRANSIT BANK,MINSK,None
NBRBBY2X,97,NATIONAL BANK OF REPUBLIC BELARUS,MINSK,None
LOJSBY22,98,OJSC NON-BANKING CREDIT AND FINANCIAL ORGANIZATION HOME CREDIT,MINSK,None
POISBY2X,99,OPEN JOINT-STOCK COMPANY 'PARITETBANK', MINSK,MINSK,None
PJCBBY2XBRS,100,PRIORBANK,BREST,(BREST BRANCH)
PJCBBY2XGML,101,PRIORBANK,GOMEL,(GOMEL BRANCH)
PJCBBY2XGRD,102,PRIORBANK,GRODNO,(GRODNO BRANCH)
PJCBBY2XMNK,103,PRIORBANK,MINSK,(MINSK BRANCH)
PJCBBY2X,104,PRIORBANK,MINSK,None
PJCBBY2XMGL,105,PRIORBANK,MOGILEV,(MOGILEV BRANCH)
PJCBBY2XVTB,106,PRIORBANK,VITEBSK,(VITEBSK BRANCH)
REDJBY22,107,RECONVERSION AND DEVELOPMENT BANK JSB,MINSK,None
RUERBY21,108,REPUBLICAN UNITARY ENTERPRISE 'REPUBLICAN CENTRAL ECURITIES DEPOSITORY',MINSK,None
RSHNBY2X,109,RESHENIE BANK,MINSK,None
