swift_code,id,bank,city,branch
LIBABZBZ,1,ATLANTIC BANK LIMITED,BELIZE CITY,None
LIBABZBZ0BS,2,ATLANTIC BANK LIMITED,SAN PEDRO,None
AIBLBZBZ,3,ATLANTIC INTERNATIONAL BANK LIMITED,BELIZE CITY,None
BCBTBZBZ,4,BELIZE BANK INTERNATIONAL LIMITED,BELIZE CITY,None
BBLZBZBZ,5,BELIZE BANK LIMITED,BELIZE CITY,None
CAYEBZBZ,6,CAYE INTERNATIONAL BANK LTD.,SAN PEDRO,None
CEBBBZBZ,7,CENTRAL BANK OF BELIZE,BELIZE CITY,None
CHOIBZBZ,8,CHOICE BANK LTD,BELIZE CITY,None
CFADBZB1,9,COMPANIA FINANCIERA DE APOYO AL DESARROLLO DEL COMERCIO Y LA INDUSTRIA, S.A.,BELIZE CITY,None
TRRRBZB1,10,EU TRADING GROUP INC,BELIZE CITY,None
FFBRBZB1,11,FFIN BROKERAGE SERVICES INC,BELIZE CITY,None
HATTBZB1,12,HANDELS BANK AND TRUST CO. LTD.,BELIZE CITY,None
PRVTBZBD,13,HERITAGE BANK LIMITED,BELIZE CITY,None
PRVTBZBS,14,HERITAGE INTERNATIONAL BANK AND TRUST LIMITED,BELIZE CITY,None
ITREBZB1,15,ITREND LIMITED,BELIZE CITY,None
NHFSBZB1,16,NEW HORIZON FINANCIAL SERVICES LIMITED,BELIZE CITY,None
NOSCBZBSINT,17,SCOTIABANK (BELIZE) LTD.,BELIZE CITY,(INTERNATIONAL)
NOSCBZBS,18,SCOTIABANK (BELIZE) LTD.,BELIZE CITY,None
FELABZB1,19,XFERION LATIN AMERICA S.A.,BELIZE CITY,None
