swift_code,id,bank,city,branch
ACMCCAT1,1,A.C. MACPHERSON AND CO. INC.,TORONTO,None
ACFXCAW1,2,ACCU-RATE CORPORATION,OTTAWA,None
ACKFCAT1,3,ACKER FINLEY INC,TORONTO,None
ACCTCA61,4,ACUMEN CAPITAL PARTNERS,CALGARY,None
ACNACA2Q,5,AIR CANADA,MONTREAL,None
ACMTCAMM,6,AIR CANADA PENSION MASTER TRUST FUND,MONTREAL,None
AIMCCA61,7,ALBERTA INVESTMENT MANAGEMENT CORPORATION,EDMONTON,None
AIMCCA66,8,ALBERTA INVESTMENT MANAGEMENT CORPORATION,EDMONTON,None
XALBCA61,9,ALBERTA STOCK EXCHANGE, THE,CALGARY,None
ATRFCA61,10,ALBERTA TEACHERS RETIREMENT FUND BOARD,EDMONTON,None
ATBRCA6E,11,ALBERTA TREASURY BRANCHES,EDMONTON,None
ALPHCAM1,12,ALPHA CAPITAL INC.,MONTREAL,None
ALPICAM1,13,ALPHAFIXE CAPITAL,MONTREAL,None
ALTTCA61,14,ALTACORP CAPITAL INC.,CALGARY,None
MMIGCAT1,15,AQUILON CAPITAL CORP.,TORONTO,None
APFICA81,16,ASIA PACIFIC FINANCIAL SERVICES CANADA LIMITED,VICTORIA,None
AURCCAM1,17,AUREUS CAPITAL CORP.,MONTREAL,None
AINMCAT1,18,AVIVA INVESTORS NORTH AMERICA,TORONTO,None
AZGRCAMM,19,AZUR GROUP INC,MONTREAL,None
BOFACATTFCS,20,BANK OF AMERICA, NATIONAL ASSOCIATION, CANADA BRANCH,TORONTO,(FOREIGN CURRENCY SERVICES)
BOFACATTGRC,21,BANK OF AMERICA, NATIONAL ASSOCIATION, CANADA BRANCH,TORONTO,(GLOBAL DERIVATIVES AND FOREIGN EXCHANGE)
BOFACATTTSY,22,BANK OF AMERICA, NATIONAL ASSOCIATION, CANADA BRANCH,TORONTO,(TREASURY)
BOFACATT,23,BANK OF AMERICA, NATIONAL ASSOCIATION, CANADA BRANCH,TORONTO,None
BOFACATTVAN,24,BANK OF AMERICA, NATIONAL ASSOCIATION, CANADA BRANCH,VANCOUVER,None
BCANCAW2,25,BANK OF CANADA,OTTAWA,None
BKCHCATT,26,BANK OF CHINA (CANADA),TORONTO,None
BKCHCATTVAN,27,BANK OF CHINA (CANADA),VANCOUVER,(VANCOUVER BRANCH)
BKCHCA21,28,BANK OF CHINA TORONTO BRANCH,TORONTO,None
BKCHCAT2,29,BANK OF CHINA TORONTO BRANCH,TORONTO,None
BAMSCAT1,30,BANK OF MONTREAL SHORCAN,TORONTO,None
BOFMCAM3,31,BANK OF MONTREAL, THE,MONTREAL,None
BOFMCAT2BMO,32,BANK OF MONTREAL, THE,TORONTO,(BMO - BROKERS)
BOFMCAM2NBB,33,BANK OF MONTREAL, THE,TORONTO,(BMO NESBITT BURNS)
BOFMCAT2CLS,34,BANK OF MONTREAL, THE,TORONTO,(CLS PAYMENTS ONLY)
BOFMCAT2FXM,35,BANK OF MONTREAL, THE,TORONTO,(FOREIGN EXCHANGE AND MONEY MARKET)
BOFMCAT2GCT,36,BANK OF MONTREAL, THE,TORONTO,(GLOBAL CASH MANAGEMENT OPERATIONS)
BOFMCAM2,37,BANK OF MONTREAL, THE,TORONTO,(INTERNATIONAL BRANCH)
BOFMCAT2,38,BANK OF MONTREAL, THE,TORONTO,(INTERNATIONAL BRANCH)
NOSCCATTCGY,39,BANK OF NOVA SCOTIA,CALGARY,None
NOSCCATTTPC,40,BANK OF NOVA SCOTIA,CALGARY,None
NOSCCATTHFX,41,BANK OF NOVA SCOTIA,HALIFAX,None
NOSCCATTMTL,42,BANK OF NOVA SCOTIA,MONTREAL,None
NOSCCATTTPM,43,BANK OF NOVA SCOTIA,MONTREAL,None
NOSCCATTOTT,44,BANK OF NOVA SCOTIA,OTTAWA,None
