swift_code,id,bank,city,branch
ABNGCDKI,1,ACCESS BANK CONGO DR,KINSHASA,None
ADVBCDKX,2,ADVANS BANQUE CONGO,KINSHASA,None
AFCDCDKI,3,AFRILAND FIRST BANK CONGO DEMOCRATIQUE,KINSHASA,None
AFRICDKS,4,BANK OF AFRICA-RDC,KINSHASA,None
BCCGCDK2,5,BANQUE CENTRALE DU CONGO,KINSHASA,None
BCCGCDKS,6,BANQUE CENTRALE DU CONGO,KINSHASA,None
BCDCCDKI,7,BANQUE COMMERCIALE DU CONGO,KINSHASA,None
BCDCCDKI03L,8,BANQUE COMMERCIALE DU CONGO,LUBUMBASHI,None
CLUXCDK1,9,BANQUE CONTINENTALE AFRICAINE (ZAIRE) SARL,KINSHASA,None
ACRBCDK1,10,BANQUE DU CREDIT AGRICOLE 'B.C.A.',KINSHASA,None
BIACCDKI,11,BANQUE INTERNATIONALE POUR L'AFRIQUE AU CONGO (BIAC),KINSHASA,None
ZAEXCD31,12,BANQUE ZAIROISE DU COMMERCE EXTERIEUR,LUBUMBASHI,None
BGFICDKI,13,BGFIBANK RDC,KINSHASA,None
BYBACDKI,14,BYBLOS BANK RDC,KINSHASA,None
CCNCCDK1,15,CAISSE CENTRALE DE COOPERATION ECONOMIQUE,KINSHASA,None
CITICDKX,16,CITIBANK CONGO,KINSHASA,None
DMEXCDK1,17,DMEXCHANGE SPRL,KINSHASA,None
DMEXCDK1AIP,18,DMEXCHANGE SPRL,LUBUMBASHI,None
ECOCCDKI,19,ECOBANK REPUBLIQUE DEMOCRATIQUE DU CONGO SA,KINSHASA,None
BICDCDKI,20,FBNBANK DRC SA,KINSHASA,None
FRZSCDK1,21,FRANSABANK (CONGO) SARL,KINSHASA,None
BKINCDK1,22,NOUVELLE BANQUE DE KINSHASA,KINSHASA,None
PRCBCDKI,23,PROCREDIT BANK CONGO SA,KINSHASA,None
RAWBCDKI,24,RAWBANK SA,KINSHASA,None
SFBXCDKI,25,SOFIBANQUE SA,KINSHASA,None
SBICCDKX,26,STANDARD BANK RDC SA,KINSHASA,None
SWTTCD31,27,SWITAP,LUBUMBASHI,None
TRMSCD3L,28,TRUST MERCHANT BANK SA,LUBUMBASHI,None
TRMSCD3K,29,TRUST MERCHANT BANK SARL,KINSHASA,None
UZBACDK1,30,UNION ZAIROISE DE BANQUES,KINSHASA,None
UNAFCDKS,31,UNITED BANK FOR AFRICA RDC SARL,KINSHASA,None
