swift_code,id,bank,city,branch
FNECCHG1,1,1875 FINANCE,GENEVA,None
XIDECHZ1,2,2XIDEAS AG,KUSNACHT,None
KBAGCH22,3,AARGAUISCHE KANTONALBANK,AARAU,None
CAGLCHGG,4,ABANCA CORPORACION BANCARIA S.A., BETANZOS, SUCCURSALE DE GENEVE,GENEVA,None
ABBCCHZA,5,ABB CAPITAL B.V., ZURICH BRANCH,ZURICH,None
ABBCCHZZ,6,ABB CAPITAL B.V., ZURICH BRANCH,ZURICH,None
ABPGCH21,7,ABSOLUTE CAPITAL GROUP AG,ZUG,None
ACRGCH22,8,ACREVIS BANK AG,ST. GALLEN,None
ACLNCH22,9,ACTELION LTD,ALLSCHWIL,None
ACANCH21,10,ACUMEN ASSETS MANAGEMENT S.A.,CHIASSO,None
ADDACHG1,11,ADDAX ENERGY SA,GENEVA,None
ADECCH2G,12,ADECCO GROUP AG,GLATTBRUGG,None
AEKTCH22,13,AEK BANK 1826 GENOSSENSCHAFT,THUN,None
AGLYCHBB,14,AGILITY MANAGEMENT AG,BASLE,None
ALCECHG1,15,ALCIFINANCE SA,GENEVA,None
ALCSCH21,16,ALCOM SECURITIES AG,ZURICH,None
APHACH22,17,ALCON PHARMACEUTICALS LIMITED,FRIBOURG,None
AOHECH21,18,ALL OPTIONS HELVETIA AG,ZUG,None
ALTDCH21,19,ALP TRADING SA,LAUSANNE,None
AAMUCHG1,20,ALPEN ASSET MANAGEMENT TRUST SARL,GENEVA,None
ARBHCH22,21,ALPHA RHEINTAL BANK AG,HEERBRUGG,None
ALHACHZ1,22,ALPHABAN,ZURICH,None
ABSOCH22,23,ALTERNATIVE BANK SCHWEIZ AG,OLTEN,None
ALEOCHG1,24,ALTERNATIVE GESTION SA,GENEVA,None
AMISCH22,25,AMARIS GROUP S.A.,VERNIER,None
AMIBCH21,26,AMICORP SHARED SERVICE CENTRE GMBH (SWITZERLAND),ZUG,None
ANMICH21,27,ANLAGESTIFTUNG DER MIGROS-PENSIONSKASSE,SCHLIEREN,None
ANPRCH22,28,AP ANLAGE UND PRIVATBANK AG,ZURICH,None
AIKACH22,29,APPENZELLER KANTONALBANK,APPENZELL,None
AQULCHZZ,30,AQUILA UND CO. AG,ZURICH,None
ARBSCHZZ,31,ARAB BANK (SWITZERLAND) LTD,ZURICH,None
ARBUCHZ1,32,ARBUTHNOT BANK AG,ZURICH,None
ARSGCH21,33,ARCHELON SUISSE GMBH,ZUG,None
ARFECHG1,34,ARCUS FINANCE,GENEVA,None
ARPICHZ1,35,ARGENTIERE CAPITAL AG,ZURICH,None
PVERCH21,36,ARVEST PRIVATBANK AG,PFAEFFIKON,None
ARZBCHZ1,37,ARZI BANK A G,ZURICH,None
ADCOCHBB,38,ASCENSIA DIABETES CARE HOLDING AG,BASLE,None
ASFSCH2W,39,ASPIAG FINANCE AND SERVICES AG,WIDNAU,None
AFCLCHZZ,40,ATLANTIC FORFAITIERUNGS AG,ZURICH,None
AUCPCHG1,41,AUTHENTIC CAPITAL SA,GENEVA,None
AUTNCH22,42,AUTONEUM HOLDING AG,WINTERTHUR,None
AXIPCHZZARS,43,AXA VERSICHERUNGEN AG,WINTERTHUR,(AXA RECHTSSCHUTZVERSICHERUNG)
AXIPCHZZCRI,44,AXA VERSICHERUNGEN AG,WINTERTHUR,(CRI)
AXIPCHZZRE2,45,AXA VERSICHERUNGEN AG,WINTERTHUR,(RENDITA2)
AXIPCHZZRE3,46,AXA VERSICHERUNGEN AG,WINTERTHUR,(RENDITA3)
AXIPCHZZWLE,47,AXA VERSICHERUNGEN AG,WINTERTHUR,(WLE - AXA INDIVIDUAL LIFE ALLOCATED ASSETS)
AXIPCHZZWET,48,AXA VERSICHERUNGEN AG,WINTERTHUR,(WLE - AXA INDIVIDUAL LIFE FREE ASSETS)
AXIPCHZZWLK,49,AXA VERSICHERUNGEN AG,WINTERTHUR,(WLK - AXA GROUP LIFE ALLOCATED ASSETS)
AXIPCHZZWKT,50,AXA VERSICHERUNGEN AG,WINTERTHUR,(WLK - AXA GROUP LIFE FREE ASSETS)
AXIPCHZZWIN,51,AXA VERSICHERUNGEN AG,WINTERTHUR,(WV - AXA INSURANCE ALLOCATED ASSETS)
AXIPCHZZWVT,52,AXA VERSICHERUNGEN AG,WINTERTHUR,(WV - AXA INSURANCE FREE ASSETS)
AXIPCHZZ,53,AXA VERSICHERUNGEN AG,WINTERTHUR,None
AXIPCHZZARG,54,AXA VERSICHERUNGEN AG,ZURICH,None
UNCECH22,55,AXION SWISS BANK SA,LUGANO,None
AXPOCH22,56,AXPO HOLDING AG,BADEN,None
AXPOCH22HOL,57,AXPO HOLDING AG,BADEN,None
AXPOCH22TRA,58,AXPO HOLDING AG,DIETIKON,None
BALFCHG1,59,BALBOA FINANCE S.A.,GENEVA,None
BAAMCHBBBEL,60,BALOISE ASSET MANAGEMENT SCHWEIZ AG,BASLE,(EINZELLEBEN)
BAAMCHBBBKL,61,BALOISE ASSET MANAGEMENT SCHWEIZ AG,BASLE,(KOLLEKTIVLEBEN)
BAAMCHBB,62,BALOISE ASSET MANAGEMENT SCHWEIZ AG,BASLE,None
BAAMCHBBBBE,63,BALOISE ASSET MANAGEMENT SCHWEIZ AG,BASLE,None
BAAMCHBBBDE,64,BALOISE ASSET MANAGEMENT SCHWEIZ AG,BASLE,None
BAAMCHBBBVF,65,BALOISE ASSET MANAGEMENT SCHWEIZ AG,BASLE,None
BAAMCHBBBVG,66,BALOISE ASSET MANAGEMENT SCHWEIZ AG,BASLE,None
BAAMCHBBLUX,67,BALOISE ASSET MANAGEMENT SCHWEIZ AG,BASLE,None
BAAMCHBBVST,68,BALOISE ASSET MANAGEMENT SCHWEIZ AG,BASLE,None
KBSOCH2225G,69,BALOISE BANK SOBA,GRENCHEN,None
KBSOCH2246A,70,BALOISE BANK SOBA,OLTEN,None
KBSOCH22,71,BALOISE BANK SOBA,SOLOTHURN,(HEAD OFFICE)
KBSOCH2245A,72,BALOISE BANK SOBA,SOLOTHURN,(HEAD OFFICE)
VRBPCH22,73,BANCA ALETTI E C. (SUISSE) SA (BANCO POPOLARE GROUP),LUGANO,None
ARNECH22,74,BANCA ARNER S.A.,LUGANO,None
COOPCHBB69A,75,BANCA COOP SA,LUGANO,None
BCRECH22,76,BANCA CREDINVEST SA,LUGANO,None
BACECH22,77,BANCA DEL CERESIO SA,LUGANO,None
BASECH2265A,78,BANCA DEL SEMPIONE SA,BELLINZONA,None
BASECH2268B,79,BANCA DEL SEMPIONE SA,CHIASSO,None
BASECH2266A,80,BANCA DEL SEMPIONE SA,LOCARNO,None
BASECH22,81,BANCA DEL SEMPIONE SA,LUGANO,None
BASECH23,82,BANCA DEL SEMPIONE SA,LUGANO,None
BSCTCH22,83,BANCA DELLO STATO DEL CANTONE TICINO,BELLINZONA,None
BSCTCH22CHI,84,BANCA DELLO STATO DEL CANTONE TICINO,CHIASSO,None
BSCTCH22LOC,85,BANCA DELLO STATO DEL CANTONE TICINO,LOCARNO,None
BSCTCH22LUG,86,BANCA DELLO STATO DEL CANTONE TICINO,LUGANO,None
POSOCH22,87,BANCA POPOLARE DI SONDRIO (SUISSE),LUGANO,None
EUBACH22,88,BANCA ZARATTINI AND CO SA,LUGANO,None
BAZZCH21,89,BANCA ZARATTINI AND CO. SA,LUGANO,None
ITAUCHZZ,90,BANCO ITAU (SUISSE) SA,ZURICH,None
BSCHCHGG,91,BANCO SANTANDER (SUISSE) S.A.,GENEVA,None
BELLCHZ1,92,BANK AM BELLEVUE,KUESNACHT (ZH),None
RBABCH22888,93,BANK BSU GENOSSENSCHAFT,USTER,None
CIALCHBB,94,BANK CIC (SWITZERLAND) LTD.,BASLE,None
BCLRCHBB,95,BANK CLER AG,BASLE,None
COOPCHBB,96,BANK CLER AG, BASEL,BASLE,None
COOPCHBB30A,97,BANK CLER AG, BASEL,BERNE,None
COOPCHBB25A,98,BANK CLER AG, BASEL,BIEL (BIENNE),None
COOPCHBB52A,99,BANK CLER AG, BASEL,BRUGG,None
COOPCHBB60A,100,BANK CLER AG, BASEL,LUCERNE,None
COOPCHBB46A,101,BANK CLER AG, BASEL,OLTEN,None
