swift_code,id,bank,city,branch
AFDBCIABADF,1,AFRICAN DEVELOPMENT BANK,ABIDJAN,(ADF)
AFDBCIABAIF,2,AFRICAN DEVELOPMENT BANK,ABIDJAN,(AFRICA INTEGRITY FUND)
AFDBCIABALS,3,AFRICAN DEVELOPMENT BANK,ABIDJAN,(AFRICAN LEGAL SUPPORT FACILITY)
AFDBCIABARE,4,AFRICAN DEVELOPMENT BANK,ABIDJAN,(AREI)
AFDBCIABGAF,5,AFRICAN DEVELOPMENT BANK,ABIDJAN,(GAFSA TRUST FUND)
AFDBCIABMFW,6,AFRICAN DEVELOPMENT BANK,ABIDJAN,(MAKING FINANCE)
AFDBCIABPID,7,AFRICAN DEVELOPMENT BANK,ABIDJAN,(PIDA ACCOUNT)
AFDBCIABRWS,8,AFRICAN DEVELOPMENT BANK,ABIDJAN,(RWSSI)
AFDBCIABTRY,9,AFRICAN DEVELOPMENT BANK,ABIDJAN,(TREASURY DEPARTMENT)
AFDBCIAB,10,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABAGT,11,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABAMI,12,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABATF,13,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABAWF,14,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABCBF,15,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABDRC,16,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABFAP,17,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABFSF,18,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABITF,19,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABLTW,20,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABMCB,21,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABMDT,22,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABMIC,23,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABNPD,24,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABNTF,25,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABPRS,26,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABSEF,27,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABSRF,28,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABSRP,29,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABWAT,30,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
AFDBCIABZMD,31,AFRICAN DEVELOPMENT BANK,ABIDJAN,None
