swift_code,id,bank,city,branch
AAVLCLR9,1,AFEX AGENTES DE VALORES LIMITADA,SANTIAGO,None
BCOSCLR1,2,BANCHILE CORREDORES DE BOLSA S.A.,SANTIAGO,None
BICECLRM,3,BANCO BICE,SANTIAGO,None
BHIFCLRM,4,BANCO BILBAO VIZCAYA ARGENTARIA, CHILE,SANTIAGO,None
BPABCLRM,5,BANCO BTG PACTUAL CHILE,SANTIAGO,None
BCECCLA1,6,BANCO CENTRAL DE CHILE,SANTIAGO,None
BCECCLB1,7,BANCO CENTRAL DE CHILE,SANTIAGO,None
BCECCLC1,8,BANCO CENTRAL DE CHILE,SANTIAGO,None
BCECCLRD,9,BANCO CENTRAL DE CHILE,SANTIAGO,None
BCECCLRF,10,BANCO CENTRAL DE CHILE,SANTIAGO,None
BCECCLRM,11,BANCO CENTRAL DE CHILE,SANTIAGO,None
MNEXCLRM,12,BANCO CONSORCIO,SANTIAGO,None
BCHICLR10R5,13,BANCO DE CHILE,ANTOFAGASTA,None
BCHICLR10R3,14,BANCO DE CHILE,ARICA,None
BCHICLR10RC,15,BANCO DE CHILE,CONCEPCION,None
BCHICLR10RY,16,BANCO DE CHILE,COYHAIQUE,None
BCHICLR10R4,17,BANCO DE CHILE,IQUIQUE,None
BCHICLR10R6,18,BANCO DE CHILE,LA SERENA,None
BCHICLR10R8,19,BANCO DE CHILE,PUERTO MONTT,None
BCHICLR10RA,20,BANCO DE CHILE,PUNTA ARENAS,None
BCHICLRMEXP,21,BANCO DE CHILE,SANTIAGO,(EXPORT)
BCHICLRMIMP,22,BANCO DE CHILE,SANTIAGO,(IMPORT HEAD OFFICE)
BCHICLRMIOB,23,BANCO DE CHILE,SANTIAGO,(IMPORT OTHER SANTIAGO BRANCHES)
BCHICLRM,24,BANCO DE CHILE,SANTIAGO,None
BCHICLR10R7,25,BANCO DE CHILE,TEMUCO,None
BCHICLR10RV,26,BANCO DE CHILE,VALPARAISO,None
