swift_code,id,bank,city,branch
AFDBCMC1,1,AFRICAN DEVELOPMENT BANK,YAOUNDE,None
CCEICMCXBAF,2,AFRILAND FIRST BANK,BAFOUSSAM,None
CCEICMCXBDA,3,AFRILAND FIRST BANK,BAMENDA,None
CCEICMCXDLA,4,AFRILAND FIRST BANK,DOUALA,None
CCEICMCXGRA,5,AFRILAND FIRST BANK,GAROUA,None
CCEICMCX,6,AFRILAND FIRST BANK,YAOUNDE,None
CCCBCMC10CD,7,BANK OF CREDIT AND COMMERCE CAMEROON S.A.,DOUALA,None
CCCBCMC1,8,BANK OF CREDIT AND COMMERCE CAMEROON S.A.,GAROUA,None
CCCBCMC10CY,9,BANK OF CREDIT AND COMMERCE CAMEROON S.A.,YAOUNDE,None
ATCRCMCM,10,BANQUE ATLANTIQUE CAMEROUN,DOUALA,None
BEACCMCX150,11,BANQUE DES ETATS D'AFRIQUE CENTRALE,BAFOUSSAM,None
BEACCMCX110,12,BANQUE DES ETATS D'AFRIQUE CENTRALE,DOUALA,None
BEACCMCX120,13,BANQUE DES ETATS D'AFRIQUE CENTRALE,GAROUA,None
BEACCMCX140,14,BANQUE DES ETATS D'AFRIQUE CENTRALE,LIMBE,None
BEACCMCX130,15,BANQUE DES ETATS D'AFRIQUE CENTRALE,NKONGSAMBA,None
BEACCMCX100,16,BANQUE DES ETATS D'AFRIQUE CENTRALE,YAOUNDE,(D.N. YAOUNDE)
BEACCMCX091,17,BANQUE DES ETATS D'AFRIQUE CENTRALE,YAOUNDE,(DIRECTION DES RELATIONS FINANCIERES EXTERIEURES)
BEACCMCX090,18,BANQUE DES ETATS D'AFRIQUE CENTRALE,YAOUNDE,(SERVICES CENTRAUX YAOUNDE)
BEACCMCP,19,BANQUE DES ETATS D'AFRIQUE CENTRALE,YAOUNDE,None
BEACCMCX,20,BANQUE DES ETATS D'AFRIQUE CENTRALE,YAOUNDE,None
ICLRCMCX,21,BANQUE INTERNATIONALE DU CAMEROUN POUR L'EPARGNE ET LE CREDIT,DOUALA,None
BPMECMCX,22,BC PME SA,YAOUNDE,None
BGFICMCX,23,BGFIBANK CAMEROUN SA,DOUALA,None
BATSCMC1,24,BRITISH AMERICAN TOBACCO CAMEROUN S.A,DOUALA,None
CITICMCXTRD,25,CITIBANK N.A.,DOUALA,(TRADE SERVICES DEPT)
CITICMCX,26,CITIBANK N.A.,DOUALA,None
CBCDCMCXBFS,27,COMMERCIAL BANK OF CAMEROON,BAFOUSSAM,(WEST)
CBCDCMCXBON,28,COMMERCIAL BANK OF CAMEROON,BONABERI,None
CBCDCMCXAKW,29,COMMERCIAL BANK OF CAMEROON,DOUALA,(LITTORAL)
CBCDCMCX,30,COMMERCIAL BANK OF CAMEROON,DOUALA,None
CBCDCMCXGRA,31,COMMERCIAL BANK OF CAMEROON,GAROUA,(NORTH)
CBCDCMCXMRA,32,COMMERCIAL BANK OF CAMEROON,MAROUA,(FAR NORTH)
CBCDCMCXMOK,33,COMMERCIAL BANK OF CAMEROON,MOKOLO,None
CBCDCMCXYDE,34,COMMERCIAL BANK OF CAMEROON,YAOUNDE,(CENTER)
CCAMCMCY,35,CREDIT COMMUNAUTAIRE D'AFRIQUE S.A.,YAOUNDE,None
ECOCCMCX,36,ECOBANK CAMEROUN SA.,DOUALA,None
KBTLCMC1,37,KARAMOUZI'S BANK TRUST LTD,NEW TOWN,None
NAFCCMCY,38,NATIONAL FINANCIAL CREDIT BANK S.A.,YAOUNDE,None
BCMACMCX,39,SCB CAMEROUN S.A.,DOUALA,None
SGCMCMCX,40,SOCIETE GENERALE CAMEROUN,DOUALA,None
SGCMCMC10CY,41,SOCIETE GENERALE CAMEROUN,YAOUNDE,None
SCBLCMCX,42,STANDARD CHARTERED BANK CAMEROON S.A.,DOUALA,None
SCBLCMCX0CY,43,STANDARD CHARTERED BANK CAMEROON S.A.,YAOUNDE,None
UCMACMCX,44,UNION BANK OF CAMEROON LTD. (UBC LTD.),AKWA-DOUALA,None
UNAFCMCX,45,UNITED BANK FOR AFRICA CAMEROON PLC,DOUALA,None
