swift_code,id,bank,city,branch
ABNACN2A,1,ABN AMRO BANK N.V. SHANGHAI BRANCH,PUDONG,None
ABOCCNBJ002,2,AGRICULTURAL BANK OF CHINA, THE,BEIJING,(BANKING DEPARTMENT)
ABOCCNBJ010,3,AGRICULTURAL BANK OF CHINA, THE,BEIJING,(BEIJING BRANCH)
ABOCCNBJCMD,4,AGRICULTURAL BANK OF CHINA, THE,BEIJING,(CASH MANAGEMENT DEPARTMENT)
ABOCCNBJCUS,5,AGRICULTURAL BANK OF CHINA, THE,BEIJING,(FUND CUSTODY DEPARTMENT)
ABOCCNBJ,6,AGRICULTURAL BANK OF CHINA, THE,BEIJING,(HEAD OFFICE)
ABOCCNBJ999,7,AGRICULTURAL BANK OF CHINA, THE,BEIJING,(RMB AND PRECIOUS METALS SETTLEMENT)
ABOCCNBJ070,8,AGRICULTURAL BANK OF CHINA, THE,CHANGCHUN,(JILIN BRANCH)
ABOCCNBJ180,9,AGRICULTURAL BANK OF CHINA, THE,CHANGSHA,(HUNAN BRANCH)
ABOCCNBJ220,10,AGRICULTURAL BANK OF CHINA, THE,CHENGDU,(SICHUAN BRANCH)
ABOCCNBJ310,11,AGRICULTURAL BANK OF CHINA, THE,CHONGQING,(CHONGQING BRANCH)
ABOCCNBJ340,12,AGRICULTURAL BANK OF CHINA, THE,DALIAN,(DALIAN BRANCH)
ABOCCNBJ130,13,AGRICULTURAL BANK OF CHINA, THE,FUZHOU,(FUJIAN BRANCH)
ABOCCNBJ190,14,AGRICULTURAL BANK OF CHINA, THE,GUANGZHOU,(GUANGDONG BRANCH)
ABOCCNBJ230,15,AGRICULTURAL BANK OF CHINA, THE,GUIYANG,(GUIZHOU BRANCH)
ABOCCNBJ210,16,AGRICULTURAL BANK OF CHINA, THE,HAIKOU,(HAINAN BRANCH)
ABOCCNBJ110,17,AGRICULTURAL BANK OF CHINA, THE,HANGZHOU,(ZHEJIANG BRANCH)
ABOCCNBJ080,18,AGRICULTURAL BANK OF CHINA, THE,HARBIN,(HEILONGJIANG BRANCH)
ABOCCNBJ120,19,AGRICULTURAL BANK OF CHINA, THE,HEFEI,(ANHUI BRANCH)
ABOCCNBJ050,20,AGRICULTURAL BANK OF CHINA, THE,HUHEHAOTE,(NEIMENGGU BRANCH)
ABOCCNBJ302,21,AGRICULTURAL BANK OF CHINA, THE,HUOERGUOSI,None
ABOCCNBJ150,22,AGRICULTURAL BANK OF CHINA, THE,JINAN,(SHANDONG BRANCH)
ABOCCNBJ240,23,AGRICULTURAL BANK OF CHINA, THE,KUNMING,(YUNNAN BRANCH)
ABOCCNBJ270,24,AGRICULTURAL BANK OF CHINA, THE,LANZHOU,(GANSU BRANCH)
ABOCCNBJ250,25,AGRICULTURAL BANK OF CHINA, THE,LHASA,(XI ZANG BRANCH)
ABOCCNBJ140,26,AGRICULTURAL BANK OF CHINA, THE,NANCHANG,(JIANGXI BRANCH)
ABOCCNBJ100,27,AGRICULTURAL BANK OF CHINA, THE,NANJING,(JIANGSU BRANCH)
