swift_code,id,bank,city,branch
ACVRCOB1,1,ACCIONES Y VALORES S.A.,BOGOTA,None
ACDPCOB1,2,ADMINISTRADORA COLOMBIANA DE PENSIONES - COLPENSIONES,BOGOTA,None
AVCBCOB1,3,ALIANZA VALORES COMISIONISTA DE  BOLSA S.A,BOGOTA,None
HUBCCOBBLWE,4,ALLIANCE ENTERPRISE S.A.S.,BOGOTA,(LOWE SSP-3 SA)
HUBCCOBB,5,ALLIANCE ENTERPRISE S.A.S.,BOGOTA,None
COZVCOBB,6,ALLIANZ SEGUROS DE VIDA S.A.,BOGOTA,None
COZSCOBB,7,ALLIANZ SEGUROS S.A.,BOGOTA,None
GEXICOBB,8,ALMACENES EXITO S.A. (GRUPO EXITO),ENVIGADO,None
AIPACOBB,9,ALPINA PRODUCTOS ALIMENTICIOS S.A.,BOGOTA,None
ASCRCOB1,10,ASCREDIBANCO,BOGOTA,None
CCAICOBB,11,BANCO AGRARIO DE COLOMBIA S.A. (FORMERLY CAJA DE CREDITO AGRARIO INDUSTRIAL Y MINERO),BOGOTA,None
BAVICOBB,12,BANCO AV VILLAS S.A.,BOGOTA,None
GEROCOBBBO1,13,BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S.A.,BOGOTA,(HEADQUARTERS)
GEROCOBB,14,BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S.A.,BOGOTA,None
CASOCOBB,15,BANCO CAJA SOCIAL,BOGOTA,None
COLPCOBB,16,BANCO COLPATRIA,BOGOTA,None
CAFECOBBBAQ,17,BANCO DAVIVIENDA S.A.(FORMERLY GRANBANCO BANCAFE S.A.),BARRANQUILLA,None
CAFECOBB,18,BANCO DAVIVIENDA S.A.(FORMERLY GRANBANCO BANCAFE S.A.),BOGOTA,None
CAFECOBBCL1,19,BANCO DAVIVIENDA S.A.(FORMERLY GRANBANCO BANCAFE S.A.),CALI,None
CAFECOBBMD1,20,BANCO DAVIVIENDA S.A.(FORMERLY GRANBANCO BANCAFE S.A.),MEDELLIN,None
BBOGCOBBBAQ,21,BANCO DE BOGOTA,BARRANQUILLA,None
BBOGCOBBBO1,22,BANCO DE BOGOTA,BOGOTA,(HEADQUARTERS OFFICES)
BBOGCOBB,23,BANCO DE BOGOTA,BOGOTA,None
BBOGCOBBBGA,24,BANCO DE BOGOTA,BUCARAMANGA,None
BBOGCOBBCL1,25,BANCO DE BOGOTA,CALI,None
BBOGCOBBCTG,26,BANCO DE BOGOTA,CARTAGENA,None
BBOGCOBBCUC,27,BANCO DE BOGOTA,CUCUTA,None
BBOGCOBBMZ1,28,BANCO DE BOGOTA,MANIZALES,None
BBOGCOBBMD1,29,BANCO DE BOGOTA,MEDELLIN,None
BBOGCOBBPEI,30,BANCO DE BOGOTA,PEREIRA,None
BBOGCOBBADZ,31,BANCO DE BOGOTA,SAN ANDRES,None
BCEXCOBB,32,BANCO DE COMERCIO EXTERIOR S.A.,BOGOTA,None
BREPCOBB,33,BANCO DE LA REPUBLICA,BOGOTA,None
OCCICOBCBAQ,34,BANCO DE OCCIDENTE,BARRANQUILLA,None
OCCICOBCBO2,35,BANCO DE OCCIDENTE,BOGOTA,None
OCCICOBCBGA,36,BANCO DE OCCIDENTE,BUCARAMANGA,None
OCCICOBCCL1,37,BANCO DE OCCIDENTE,CALI,(BRANCH)
OCCICOBC,38,BANCO DE OCCIDENTE,CALI,(HEADQUARTERS)
OCCICOBCCTG,39,BANCO DE OCCIDENTE,CARTAGENA,None
OCCICOBCMD4,40,BANCO DE OCCIDENTE,MEDELLIN,None
OCCICOBCADZ,41,BANCO DE OCCIDENTE,SAN ANDRES,None
FALACOBB,42,BANCO FALABELLA S.A.,BOGOTA,None
BSUDCOBBBAQ,43,BANCO GNB SUDAMERIS,BARRANQUILLA,None
BSUDCOBB,44,BANCO GNB SUDAMERIS,BOGOTA,None
BSUDCOBBBGA,45,BANCO GNB SUDAMERIS,BUCARAMANGA,None
BSUDCOBBCL1,46,BANCO GNB SUDAMERIS,CALI,None
BSUDCOBBCTG,47,BANCO GNB SUDAMERIS,CARTAGENA,None
BSUDCOBBMZ1,48,BANCO GNB SUDAMERIS,MANIZALES,None
BSUDCOBBMD1,49,BANCO GNB SUDAMERIS,MEDELLIN,None
BOIDCOB1,50,BANCO INTERAMERICANO DE DESARROLLO,BOGOTA,None
MCTBCOBB,51,BANCO MULTIBANK S.A.,BOGOTA,None
BMUNCOB1,52,BANCO MUNDIAL,BOGOTA,None
PICHCOBB,53,BANCO PICHINCHA S.A.,BOGOTA,None
BPOPCOBBAXM,54,BANCO POPULAR-COLOMBIA,ARMENIA,None
BPOPCOBBBAQ,55,BANCO POPULAR-COLOMBIA,BARRANQUILLA,(ZONA NORTE)
BPOPCOBB,56,BANCO POPULAR-COLOMBIA,BOGOTA,(HEADQUARTERS)
BPOPCOBBBO1,57,BANCO POPULAR-COLOMBIA,BOGOTA,(ZONA 1)
BPOPCOBBBO2,58,BANCO POPULAR-COLOMBIA,BOGOTA,(ZONA 2)
BPOPCOBBBO3,59,BANCO POPULAR-COLOMBIA,BOGOTA,(ZONA 3)
BPOPCOBBBGA,60,BANCO POPULAR-COLOMBIA,BUCARAMANGA,(ZONA ORIENTAL)
BPOPCOBBCL1,61,BANCO POPULAR-COLOMBIA,CALI,(ZONA SUR)
BPOPCOBBCTG,62,BANCO POPULAR-COLOMBIA,CARTAGENA,None
BPOPCOBBIBE,63,BANCO POPULAR-COLOMBIA,IBAGUE,(ZONA CENTRAL)
BPOPCOBBMZ1,64,BANCO POPULAR-COLOMBIA,MANIZALES,None
BPOPCOBBMD1,65,BANCO POPULAR-COLOMBIA,MEDELLIN,(ZONA NOROCCIDENTAL)
BPOPCOBBPEI,66,BANCO POPULAR-COLOMBIA,PEREIRA,None
BPOPCOBBADZ,67,BANCO POPULAR-COLOMBIA,SAN ANDRES,None
PRCBCOBB,68,BANCO PROCREDIT COLOMBIA SA,BOGOTA,None
SANTCOBB,69,BANCO SANTANDER DE NEGOCIOS COLOMBIA S.A.,BOGOTA,None
COLOCOBMBAQ,70,BANCOLOMBIA S.A.,BARRANQUILLA,None
COLOCOBMBGA,71,BANCOLOMBIA S.A.,BUCARAMANGA,None
COLOCOBMCL1,72,BANCOLOMBIA S.A.,CALI,None
COLOCOBMCTG,73,BANCOLOMBIA S.A.,CARTAGENA,None
COLOCOBM,74,BANCOLOMBIA S.A.,MEDELLIN,None
COLOCOBMMD1,75,BANCOLOMBIA S.A.,MEDELLIN,None
COLOCOBMPEI,76,BANCOLOMBIA S.A.,PEREIRA,None
BSECCOB1,77,BARING SECURITIES (ANDEAN PACT) LTD,BOGOTA,None
BAVRCOB1,78,BAVARIA S.A.,BOGOTA,None
FBBVCOBB,79,BBVA ASSET MANAGEMENT SOCIEDAD FIDUCIARIA,BOGOTA,None
BNPACOBBCHL,80,BNP PARIBAS COLOMBIA CORPORACION FINANCIERA S.A.,BOGOTA,(BNP PARIBAS SECURITIES SERVICES CHILE)
BNPACOBBCLP,81,BNP PARIBAS COLOMBIA CORPORACION FINANCIERA S.A.,BOGOTA,(BP2S CHILE)
BNPACOBBB2S,82,BNP PARIBAS COLOMBIA CORPORACION FINANCIERA S.A.,BOGOTA,(SECURITIES SERVICES)
BNPACOBB,83,BNP PARIBAS COLOMBIA CORPORACION FINANCIERA S.A.,BOGOTA,None
BNPACOBBPEN,84,BNP PARIBAS COLOMBIA CORPORACION FINANCIERA S.A.,BOGOTA,None
XBOGCOB1,85,BOLSA DE VALORES DE COLOMBIA S.A,BOGOTA,None
BRMBCOB1,86,BOLSA Y RENTA COMISIONISTA DE BOLSA,MEDELLIN,None
BATSCOB1,87,BRITISH AMERICAN TOBACCO COLOMBIA S.A.S.,BOGOTA,None
CCSFCOBB,88,CAJA COLOMBIANA DE SUBSIDIO FAMILIAR COLSUBSIDIO,BOGOTA,None
CAPCCOB1,89,CAJA POPULAR COOPERATIVA LTDA,BOGOTA,None
CCDCCOBB,90,CAMARA DE COMPENSACION DE DIVISAS DE COLOMBIA S.A.,BOGOTA,None
CTYSCOBC,91,CARVAJAL SERVICIOS S.AS.,CALI,None
CTLHCOBB,92,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S.,BOGOTA,None
CEVACOB1,93,CERVECERIA DEL VALLE S.A.,BOGOTA,None
CEUNCOB1,94,CERVECERIA UNION S.A.,BOGOTA,None
CITICO21,95,CITIBANK,BOGOTA,None
CITICOBB,96,CITIBANK COLOMBIA,BOGOTA,None
CTRUCOB1,97,CITITRUST BOGOTA,BOGOTA,None
CLTECOBM,98,COLTEFINANCIERA S.A. COMPANIA DE FINANCIAMIENTO COMERCIAL,MEDELLIN,None
COLJCOB1,99,COLTEJER S.A,ITAGUI,None
