swift_code,id,bank,city,branch
BSNJCRSJ,1,BANCO BAC SAN JOSE,SAN JOSE,None
CCIOCRSJBBI,2,BANCO BCT S.A.,SAN JOSE,(FOREIGN EXCHANGE DEPARTMENT)
CCIOCRSJ,3,BANCO BCT S.A.,SAN JOSE,None
KTAYCRSJ,4,BANCO CATHAY DE COSTA RICA, S.A.,SAN JOSE,None
BCCRCRSJ,5,BANCO CENTRAL DE COSTA RICA,SAN JOSE,None
BCACCRS1,6,BANCO CREDITO AGRICOLA DE CARTAGO,CARTAGO,None
BCACCRSJ,7,BANCO CREDITO AGRICOLA DE CARTAGO,SAN JOSE,None
BXBACRSJDP1,8,BANCO DAVIVIENDA (COSTA RICA), S.A.,SAN JOSE,(TRADING ADM)
BXBACRSJDPR,9,BANCO DAVIVIENDA (COSTA RICA), S.A.,SAN JOSE,(TRADING)
BXBACRSJ,10,BANCO DAVIVIENDA (COSTA RICA), S.A.,SAN JOSE,None
BCRICRSJ,11,BANCO DE COSTA RICA,SAN JOSE,None
BALYCRS1,12,BANCO DEL ISTMO (COSTA RICA) S.A.,SAN JOSE,None
BAGECRSJ,13,BANCO GENERAL (COSTA RICA), S.A.,SAN JOSE,None
BIMPCRSJ,14,BANCO IMPROSA, S.A.,SAN JOSE,None
BAIECRS1,15,BANCO INTERNACIONAL DE EXPORTACION S.A.,SAN JOSE,None
BCCECRSJ,16,BANCO LAFISE S.A.,SAN JOSE,None
BNCRCRSJ,17,BANCO NACIONAL DE COSTA RICA,SAN JOSE,None
BNCRCRSJGCI,18,BANCO NACIONAL DE COSTA RICA,SAN JOSE,None
BPDCCRSJ,19,BANCO POPULAR Y DE DESARROLLO COMUNAL,SAN JOSE,None
PRMKCRSJ,20,BANCO PROMERICA,SAN JOSE,None
BATSCR21,21,BASS AMERICAS S.A.,HEREDIA,None
BATSCR41,22,BATCCA PARK INVERSIONES INMOBILIARIAS, S.A.,HEREDIA,None
BATSCRS1,23,BATCCA SERVICIOS S.A.,HEREDIA,None
BVPBCRS1,24,BCT VALORES PUESTO DE BOLSA SA,SAN JOSE,None
BATSCR51,25,BRITISH AMERICAN TOBACCO CENTRAL AMERICA S.A., SUCURSAL COSTA RICA,SAN JOAQUIN,None
CEVCCRS1,26,CENTRAL DE VALORES, S.A. (CEVAL),SAN JOSE,None
FILOCRS1,27,COMPANIA FINANCIERA DE LONDRES LTDA.,SAN JOSE,None
CPOPCRS1,28,COOPENAE,SAN JOSE,None
CAOVCRS1,29,COOPERATIVA DE AHORRO Y CREDITO DE LOS SERVIDORES PUBLICOS,SAN JOSE,None
FAFCCRS1,30,CORPORACION FRANCO-AMERICANA DE FINANZAS(COSTA RICA) S.A.,SAN JOSE,None
FCCRCRS1,31,FINANCIERA G AND T CONTINENTAL COSTA RICA S.A.,SAN JOSE,None
FRIPCRS1,32,FITCH COSTA RICA CALIFICADORA DE RIESGO S.A.,SAN JOSE,None
GMAVCRS1,33,GRUPO MUTUAL ALAJUELA-LA VIVIENDA DE AHORRO Y PRESTAMO,ALAJUELA,None
ICELCRSJ,34,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,SAN JOSE,None
ISNSCRS1,35,INSTITUTO NACIONAL DE SEGUROS,SAN JOSE,None
BDSOCRSJ,36,PRIVAL BANK (COSTA RICA) S.A.,SAN PEDRO,None
NOSCCRSJ,37,SCOTIABANK DE COSTA RICA,SAN JOSE,None
BACUCRSJ,38,THE BANK OF NOVA SCOTIA (COSTA RICA) S.A. (FORMERLY BANCO CITIBANK DE COSTA RICA S.A.),SAN JOSE,None
