swift_code,id,bank,city,branch
BCCUCUHHSLB,1,BANCO CENTRAL DE CUBA,LA HABANA,(REAL TIMEGROSS SETTLEMENT BRANCH)
BCCUCUHHSUC,2,BANCO CENTRAL DE CUBA,LA HABANA,(SISTEMA UNICO DE COMPENSACION REGIONAL)
BCCUCUHH,3,BANCO CENTRAL DE CUBA,LA HABANA,None
BDCRCUHH,4,BANCO DE CREDITO Y COMERCIO,LA HABANA,None
BICUCUHH,5,BANCO DE INVERSIONES S.A.,LA HABANA,None
INDSCUHH,6,BANCO DE VENEZUELA S.A.,LA HABANA,None
BECUCUHH,7,BANCO EXTERIOR DE CUBA,LA HABANA,None
BFICCUHH,8,BANCO FINANCIERO INTERNACIONAL, S.A.,LA HABANA,None
BIDCCUHH,9,BANCO INTERNACIONAL DE COMERCIO S.A.,LA HABANA,None
BMNBCUHH,10,BANCO METROPOLITANO S.A.,LA HABANA,None
BNACCUHH011,11,BANCO NACIONAL DE CUBA,LA HABANA,(DIVISION CENTRAL)
BNACCUHH613,12,BANCO NACIONAL DE CUBA,LA HABANA,(DIVISION COMERCIAL)
BNACCUHH,13,BANCO NACIONAL DE CUBA,LA HABANA,None
BPAHCUHH,14,BANCO POPULAR DE AHORRO,LA HABANA,None
