swift_code,id,bank,city,branch
BAIPCVCV,1,BANCO BAI CABO VERDE, S.A,PRAIA,None
BCATCVCV,2,BANCO COMERCIAL DO ATLANTICO,PRAIA,None
BCATCVCV0C2,3,BANCO COMERCIAL DO ATLANTICO,S. VICENTE,None
BCATCVCV0C3,4,BANCO COMERCIAL DO ATLANTICO,SAL,None
BCAVCVCV,5,BANCO DE CABO VERDE,PRAIA,None
BFIICVCV,6,BANCO DE FOMENTO INTERNACIONAL, S.A. (FORMERLY BANCO FIDUCIARIO INTERNACIONAL (I.F.I.), S.A.),PRAIA,None
BILRCVC1,7,BANCO INSULAR (I.F.I) S.A.R.L.,PRAIA,None
CGDICVCP,8,BANCO INTERATLANTICO, SARL,PRAIA,None
BESCCVCP,9,BANCO INTERNACIONAL DE CABO VERDE, SA (FORMERLY BANCO ESPIRITO SANTO DE CABO VERDE, SA),PRAIA,None
PRIFCVCV,10,BANCO PRIVADO INTERNACIONAL (IFI),PRAIA,None
CANBCVCV,11,BCN-BANCO CABOVERDIANO DE NEGOCIOS SA,PRAIA,None
CXECCVCV,12,CAIXA ECONOMICA DE CABO VERDE, SA,PRAIA,None
ECOCCVCV,13,ECOBANK CABO VERDE,PRAIA,None
