swift_code,id,bank,city,branch
ADRMCY21,1,ADIRAM LIMITED,LIMASSOL (LEMESOS),None
ALFACY2N,2,ALFA CAPITAL HOLDINGS (CYPRUS) LIMITED,NICOSIA (LEFKOSIA),None
ALTOCY21,3,ALLIANCE FACTORS LTD,LIMASSOL (LEMESOS),None
ABKLCY2NLAR,4,ALPHA BANK CYPRUS LTD,LARNACA,None
ABKLCY2NLIM,5,ALPHA BANK CYPRUS LTD,LIMASSOL (LEMESOS),None
ABKLCY2N,6,ALPHA BANK CYPRUS LTD,NICOSIA (LEFKOSIA),None
ABKLCY2NPAP,7,ALPHA BANK CYPRUS LTD,PAPHOS,None
AFSYCY21,8,ALPINEX FINANCIAL SERVICES (CYPRUS) LTD.,LIMASSOL (LEMESOS),None
AMKACY21,9,AMG KAPITAL LIMITED,LIMASSOL (LEMESOS),None
ANCOCY2N,10,ANCORIA BANK LTD,NICOSIA (LEFKOSIA),None
AJIBCY2ICCC,11,ARAB JORDAN INVESTMENT BANK,LIMASSOL (LEMESOS),(CLEARING)
AJIBCY2I,12,ARAB JORDAN INVESTMENT BANK,LIMASSOL (LEMESOS),None
ARSOCYN1,13,ARGUS STOCKBROKERS LIMITED,NICOSIA (LEFKOSIA),None
AREICY21,14,ARTCAP EASTERN INVESTMENTS,NICOSIA (LEFKOSIA),None
LATCCY2L,15,AS EXPOBANK (FORMERLY AS LTB BANK),LIMASSOL (LEMESOS),None
PIRBCY2N,16,ASTROBANK LIMITED,NICOSIA (LEFKOSIA),None
ATSICY21,17,ATLANTIC SECURITIES LTD,NICOSIA (LEFKOSIA),None
ATONCY2N,18,ATONLINE LIMITED,NICOSIA (LEFKOSIA),None
AXVCCY21,19,AXIA VENTURES (CYPRUS) LTD.,NICOSIA (LEFKOSIA),None
FNCLCY21,20,B AND R FINANCIAL LIMITED,LIMASSOL (LEMESOS),None
BTRLCY21,21,BANCA TRANSILVANIA S.A.,NICOSIA (LEFKOSIA),None
BABECY2N,22,BANK OF BEIRUT S.A.L CYPRUS BRANCH,LIMASSOL (LEMESOS),None
BCYPCY2N030,23,BANK OF CYPRUS PUBLIC COMPANY LIMITED,LIMASSOL (LEMESOS),None
BCYPCY2N,24,BANK OF CYPRUS PUBLIC COMPANY LIMITED,NICOSIA (LEFKOSIA),(HEAD OFFICE IN NICOSIA AND ALL CYPRUS OFFICES)
BCYPCY2NTSY,25,BANK OF CYPRUS PUBLIC COMPANY LIMITED,NICOSIA (LEFKOSIA),(TREASURY)
BCYPCY2N010,26,BANK OF CYPRUS PUBLIC COMPANY LIMITED,NICOSIA (LEFKOSIA),None
MEDLCY21,27,BANKMED SAL - CYPRUS,LIMASSOL (LEMESOS),None
EUMOCY2I,28,BANQUE BEMO SAL,LIMASSOL (LEMESOS),None
SBAACY2I,29,BANQUE SBA - INTERNATIONAL BANKING UNIT,LIMASSOL (LEMESOS),None
BBACCY2N,30,BBAC SAL LIMASSOL BRANCH,LIMASSOL (LEMESOS),None
BLOMCY2I,31,BLOM BANK S.A.L.,LIMASSOL (LEMESOS),None
BLUECY2N,32,BLUEHOUSE CAPITAL ADVISORS LIMITED,LIMASSOL (LEMESOS),None
BOFFCY21,33,BOSON ALFA LTD,LIMASSOL (LEMESOS),None
BRCRCY21,34,BROKERCREDITSERVICE (CYPRUS) LIMITED,LIMASSOL (LEMESOS),None
BCSUCY21,35,BROKERCREDITSERVICE (CYPRUS) LTD,LIMASSOL (LEMESOS),None
BYBACY2I,36,BYBLOS BANK S.A.L. (IBU),LIMASSOL (LEMESOS),None
CAIYCY21,37,CAPITAL INTELLIGENCE (CYPRUS) LIMITED,LIMASSOL (LEMESOS),None
CARDCY2L,38,CARDPAY LTD,LIMASSOL (LEMESOS),None
CPBUCY21,39,CB CAPITAL BUSINESS LTD,LIMASSOL (LEMESOS),None
CBCYCY2NACC,40,CENTRAL BANK OF CYPRUS,NICOSIA (LEFKOSIA),(ACCOUNTING DEPARTMENT)
CBCYCY2NCAS,41,CENTRAL BANK OF CYPRUS,NICOSIA (LEFKOSIA),(CASH SECTION)
