swift_code,id,bank,city,branch
TRSYDEFF,1,360 TREASURY SYSTEMS AG,FRANKFURT AM MAIN,None
AGGBDE51,2,886 AG,BAD VILBEL,None
GENODED1AAC,3,AACHENER BANK EG,AACHEN,None
GENODED1AAY,4,AACHENER BANK EG,ALSDORF,None
AABSDE31,5,AACHENER BAUSPARKASSE AKTIENGESELLSCHAFT,AACHEN,None
AACHDE31,6,'AACHENER' GRUNDVERMOEGEN-KAPITALANLAGEGESELLSCHAFT MIT BESCHRANKTER HAFTUNG,KOELN,None
AARBDE5W100,7,AAREAL BANK AG,BERLIN,None
AARBDE5W360,8,AAREAL BANK AG,ESSEN,None
AARBDE5W500,9,AAREAL BANK AG,FRANKFURT AM MAIN,None
AARBDE5W200,10,AAREAL BANK AG,HAMBURG,None
AARBDE5W250,11,AAREAL BANK AG,HANNOVER,None
AARBDE5W860,12,AAREAL BANK AG,LEIPZIG,None
AARBDE5W550,13,AAREAL BANK AG,MAINZ,None
AARBDE5W700,14,AAREAL BANK AG,MUENCHEN,None
AARBDE5W600,15,AAREAL BANK AG,STUTTGART,None
AARBDE5WCLE,16,AAREAL BANK AG,WIESBADEN,(CLEARING)
AARBDE5WDOM,17,AAREAL BANK AG,WIESBADEN,(GF -BK01-)
AARBDE5W,18,AAREAL BANK AG,WIESBADEN,None
AARBDE5W108,19,AAREAL BANK AG,WIESBADEN,None
IMMODE5M,20,AAREAL BANK AG (FORMERLY WESTDEUTSCHE IMMOBILIENBANK AG),WIESBADEN,None
ABGMDE31,21,ABACUS GMBH,KOELN,None
ABCADEFFKTO,22,ABC INTERNATIONAL BANK PLC, ZWEIGNIEDERLASSUNG FRANKFURT AM MAIN,FRANKFURT AM MAIN,(ADM)
ABCADEFF,23,ABC INTERNATIONAL BANK PLC, ZWEIGNIEDERLASSUNG FRANKFURT AM MAIN,FRANKFURT AM MAIN,None
WWBADE3ADOT,24,ABCBANK GMBH,KOELN,(DOTATIONSKONTO)
WWBADE31,25,ABCBANK GMBH,KOELN,None
WWBADE3A,26,ABCBANK GMBH,KOELN,None
ABKSDEF1,27,ABK-SYSTEME GESELLSCHAFT FUER AUSBILDUNG, BERATUNG UND KOMMUNIKATIONSSYSTEME M.B.H.,DREIEICH,None
FTSBDEFAMYO,28,ABN AMRO BANK N.V.GERMAN BRANCH(FORMELY KNOWN AS FORTIS BANK (NEDERLAND) NV ZWEIGNIEDERLASSUNG FRANKFURT),FRANKFURT AM MAIN,(MONEY YOU)
FTSBDEFAPRO,29,ABN AMRO BANK N.V.GERMAN BRANCH(FORMELY KNOWN AS FORTIS BANK (NEDERLAND) NV ZWEIGNIEDERLASSUNG FRANKFURT),FRANKFURT AM MAIN,(PROSPERY)
FTSBDEFASFI,30,ABN AMRO BANK N.V.GERMAN BRANCH(FORMELY KNOWN AS FORTIS BANK (NEDERLAND) NV ZWEIGNIEDERLASSUNG FRANKFURT),FRANKFURT AM MAIN,(SEC FINANCING)
FTSBDEFA,31,ABN AMRO BANK N.V.GERMAN BRANCH(FORMELY KNOWN AS FORTIS BANK (NEDERLAND) NV ZWEIGNIEDERLASSUNG FRANKFURT),FRANKFURT AM MAIN,None
GENODES1ABR,32,ABTSGMUENDER BANK -RAIFFEISEN EG,ABTSGMUEND,None
WUERDE66,33,ADOLF WUERTH GMBH UND CO. KG,KUENZELSAU,None
GENODE51AGR,34,AGRARBANK,ALSFELD,None
ABOCDEF1DOT,35,AGRICULTURAL BANK OF CHINA FRANKFURT BRANCH,FRANKFURT AM MAIN,None
ABOCDEFF,36,AGRICULTURAL BANK OF CHINA FRANKFURT BRANCH,FRANKFURT AM MAIN,None
AGBMDE21,37,AIRBUS BANK GMBH,MUENCHEN,None
AGBMDEMM,38,AIRBUS BANK GMBH,MUENCHEN,None
AGBMDEMMTGT,39,AIRBUS BANK GMBH,MUENCHEN,None
EADSDEMMPAY,40,AIRBUS GROUP S.E.,MUENCHEN,(PAYMENT DEPARTMENT)
EADSDEMM,41,AIRBUS GROUP S.E.,OTTOBRUNN,None
AUSKDEFF,42,AKA AUSFUHRKREDIT-GESELLSCHAFT MBH,FRANKFURT AM MAIN,None
AKBKDEFF,43,AKBANK AG,FRANKFURT AM MAIN,None
AKFBDE31,44,AKF BANK GMBH AND CO KG,WUPPERTAL,None
AKFBDE33,45,AKF BANK GMBH UND CO KG,WUPPERTAL,None
AKBADES1,46,AKTIVBANK AKTIENGESELLSCHAFT,PFORZHEIM,None
ALLUDE81,47,ALEXANDER LUDICKE,STRAUSBERG,None
GENODEF1KEV,48,ALLGAEUER VOLKSBANK EG KEMPTEN-SONTHOFEN,KEMPTEN,None
GENODEF1KEX,49,ALLGAEUER VOLKSBANK EG KEMPTEN-SONTHOFEN,SONTHOFEN,None
ABKBDEB1,50,ALLGEMEINE BEAMTEN KASSE KREDITBANK AG,BERLIN,None
ABKBDEBB,51,ALLGEMEINE BEAMTEN KASSE KREDITBANK AG,BERLIN,None
ADIMDEF1,52,ALLIANZ GLOBAL INVESTORS ADVISORY GMBH,FRANKFURT AM MAIN,None
AGIDDEFFIAM,53,ALLIANZ GLOBAL INVESTORS GMBH,FRANKFURT AM MAIN,(AGIA)
AGIDDEFFPA1,54,ALLIANZ GLOBAL INVESTORS GMBH,FRANKFURT AM MAIN,(FOR SPECIAL PURPOSES)
AGIDDEFFFOA,55,ALLIANZ GLOBAL INVESTORS GMBH,FRANKFURT AM MAIN,(FUND ADMINISTRATION)
AGIDDEFFINV,56,ALLIANZ GLOBAL INVESTORS GMBH,FRANKFURT AM MAIN,(INVESTMENT MIDDLE OFFICE)
AGIDDEFB,57,ALLIANZ GLOBAL INVESTORS GMBH,FRANKFURT AM MAIN,None
AGIDDEFBSGF,58,ALLIANZ GLOBAL INVESTORS GMBH,FRANKFURT AM MAIN,None
AGIDDEFBSSL,59,ALLIANZ GLOBAL INVESTORS GMBH,FRANKFURT AM MAIN,None
AGIDDEFF,60,ALLIANZ GLOBAL INVESTORS GMBH,FRANKFURT AM MAIN,None
AGIDDEFFHOF,61,ALLIANZ GLOBAL INVESTORS GMBH,FRANKFURT AM MAIN,None
AGIDDEFFPAR,62,ALLIANZ GLOBAL INVESTORS GMBH,FRANKFURT AM MAIN,None
AGIDDEFFHO3,63,ALLIANZ GLOBAL INVESTORS GMBH,HOF,(HOF)
AGIDDEFFHO1,64,ALLIANZ GLOBAL INVESTORS GMBH,HOF (SAALE),(HOF 1)
ALGVDEM1,65,ALLIANZ GLOBAL INVESTORSK AG,MUENCHEN,None
ALLVDESL,66,ALLIANZ LEBENSVERSICHERUNGS AG,STUTTGART,None
AZSEDEM1,67,ALLIANZ SE,MUENCHEN,None
ALAVDEMS,68,ALLIANZ VERSICHERUNGS - AG,MUENCHEN,None
ALTEDEF1,69,ALTE LEIPZIGER BAUSPAR AG,OBERURSEL,None
ALTEDEFA,70,ALTE LEIPZIGER BAUSPAR AG,OBERURSEL,None
ALLTDEF1,71,ALTE LEIPZIGER TRUST INVESTMENT-GESELLSCHAFT MBH,OBERURSEL,None
AESUDEF1,72,AMERICAN EXPRESS SERVICES EUROPE LIMITED, ZWEIGNIEDERLASSUNG FRANKFURT AM MAIN,FRANKFURT AM MAIN,None
AMFFDEF1,73,AMETHYST MANAGED FUTURES FUND,FRANKFURT AM MAIN,None
AMAGDE2H,74,AMPEGA INVESTMENT GMBH,KOELN,None
GERIDE31,75,AMPEGAGERLING INVESTMENT GMBH,KOELN,None
ACMHDE81,76,ANSA CAPITAL MANAGEMENT GMBH,BENSHEIM,None
AIKGDED1,77,APO IMMOBILIEN-KAPITALANLAGEGESELLSCHAFT MBH,DUESSELDORF,None
ACCHDEH1,78,AQUILA CAPITAL CONCEPTS GMBH,HAMBURG,None
AQSGDEH1,79,AQX SECURITIES GMBH,HAMBURG,None
ARLNDEM1,80,ARAG LEBENSVERSICHERUNG,MUENCHEN,None
ARDGDEF1,81,ARCHELON DEUTSCHLAND GMBH,FRANKFURT AM MAIN,None
ASECDEF1,82,ASECURIS ASSET MANAGEMENT ADVISORY GMBH,FRANKFURT AM MAIN,None
ASKCDE66,83,ASK CHEMICALS GMBH,HILDEN,None
AARADE31,84,ASSEKURATA ASSEKURANZ RATING AGENTUR GMBH,KOELN,None
BCMADEFF,85,ATTIJARIWAFA BANK EUROPE GERMANY,FRANKFURT AM MAIN,None
AUIIDE71,86,AUDI AG,INGOLSTADT,None
AUDFDE21,87,AUDI BANK ZWEIGNIEDERLASSUNG DER VOLKSWAGEN BANK GMBH,BRAUNSCHWEIG,None
AUGBDE71AUG,88,AUGSBURGER AKTIENBANK AG,AUGSBURG,(AUGSBURG BRANCH)
AUGBDE71NET,89,AUGSBURGER AKTIENBANK AG,AUGSBURG,(NETBANK)
AUGBDE77,90,AUGSBURGER AKTIENBANK AG,AUGSBURG,None
GENODEF1S15,91,AUGSBURGER AKTIENBANK AG (NETBANK),HAMBURG,None
GENODEF1AUY,92,AUGUSTA-BANK EG RAIFFEISEN-VOLKSBANK,AICHACH,None
GENODEF1AUB,93,AUGUSTA-BANK EG RAIFFEISEN-VOLKSBANK,AUGSBURG,None
AKGCDE51,94,AUMA KREDITBANK GMBH AND CO.KG,ANNWEILER,None
ANZBDEFF,95,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED NIEDERLASSUNG FRANKFURT AM MAIN,FRANKFURT AM MAIN,None
ECBKDE21,96,AUTO EUROPA BANK GMBH,WOLFSBURG,None
AUZDDEM1,97,AUTOBANK AG-ZWEIGNIEDERLASSUNG DEUTSCHLAND,OBERHACHING,None
AZGODE21,98,AUTOVISION - DER PERSONALDIENSTLEIS  TER GMBH AND CO. OHG,WOLFSBURG,None
AVTCDE88,99,AVENTICS GMBH,LAATZEN,None
AXABDE31,100,AXA BANK AG,KOELN,None
AXABDE3K,101,AXA BANK AG,KOELN,None
AXAIDEF1,102,AXA INVESTMENT MANAGERS DEUTSCHLAND GMBH,KOELN,None
AXIPDE33,103,AXA VERSICHERUNG AG,KOELN,None
DPCODE33,104,AXALTA COATING SYSTEMS GERMANY GMBH UND CO. KG,WUPPERTAL,None
AXGIDEF1,105,AXG INVESTMENTBANK AG,FRANKFURT AM MAIN,None
BDWBDEMMFND,106,BAADER BANK AG,FRANKFURT AM MAIN,(FONDSHANDEL)
BDWBDEMMBOB,107,BAADER BANK AG,UNTERSCHLEISSHEIM,(BACKOFFICE)
BDWBDEMMZST,108,BAADER BANK AG,UNTERSCHLEISSHEIM,(ZEICHNUNGSSTELLE)
BDWBDEMA,109,BAADER BANK AG,UNTERSCHLEISSHEIM,None
BDWBDEMM,110,BAADER BANK AG,UNTERSCHLEISSHEIM,None
