swift_code,id,bank,city,branch
MRINDJJD,1,BANK OF AFRICA MER ROUGE,DJIBOUTI,None
BCDJDJJD,2,BANQUE CENTRALE DE DJIBOUTI,DJIBOUTI,None
BNDJDJD1,3,BANQUE CENTRALE DE DJIBOUTI,DJIBOUTI,None
DECDDJJD,4,BANQUE DE DEPOT ET CREDIT DJIBOUTI,DJIBOUTI,None
BDMODJD1,5,BANQUE DE DJIBOUTI ET DU MOYEN ORIENT,DJIBOUTI,None
BCIMDJJX,6,BANQUE POUR LE COMMERCE ET L'INDUSTRIE - MER ROUGE,DJIBOUTI,None
CACDDJJD,7,CAC INTERNATIONAL BANK,DJIBOUTI,None
CBDJDJJD,8,COMMERCIAL BANK OF DJIBOUTI SA,DJIBOUTI,None
EABDDJJD,9,EAST AFRICA BANK,DJIBOUTI,None
EXTNDJJD,10,EXIM BANK (DJIBOUTI) S.A.,DJIBOUTI,None
ICDJDJJD,11,INTERNATIONAL COMMERCIAL BANK DJIBOUTI,DJIBOUTI,None
SAAIDJJD,12,SABA ISLAMIC BANK,DJIBOUTI,None
ISEADJJD,13,SALAAM AFRICAN BANK,DJIBOUTI,None
