swift_code,id,bank,city,branch
APMMDKKK,1,A.P. MOLLER-MAERSK,COPENHAGEN,None
AASMDKK1,2,ABN AMRO ASSET MANAGEMENT A/S,COPENHAGEN,None
ABKFDKK1,3,ABN AMRO ASSET MANAGEMENT FONDSMAEGLERSELSKAB A/S,COPENHAGEN,None
ABAKDK21,4,ABSALON CAPITAL FONDSMAEGLERSELSKAB A/S,HELLERUP,None
ACFDDKK1,5,ACCUNIA FONDSMAEGLERSELSKAB A/S,COPENHAGEN,None
AGESDK21,6,AGRI - EGENS SPAREKASSE,EBELTOFT,None
ALMBDKKK,7,ALM. BRAND BANK A/S,COPENHAGEN,(SJL-BANKEN)
ALSPDK21,8,ALMIND SPARE- OG LAANEKASSE,VIBORG,None
AOOCDK21,9,ALOC A/S,ODENSE,None
ANJSDK21,10,ANDELSKASSEN J-A-K. SLAGELSE,SLAGELSE,None
ANOKDK21,11,ANDELSKASSEN OIKOS,AARHUS,None
APPNDKK1,12,AP PENSION,COPENHAGEN,None
ALBADKKK,13,ARBEJDERNES LANDSBANK A/S,COPENHAGEN,None
ARDADK21ARF,14,ARLA FOODS AMBA,VIBY J,(ALRA FINANCE)
ARDADK21ARL,15,ARLA FOODS AMBA,VIBY J,(ARLA FOODS)
ARDADK21,16,ARLA FOODS AMBA,VIBY J,None
ATFODK21,17,ATP FONDSMAEGLERSELSKAB A/S,HILLEROED,None
BIVEDKK1,18,BANK INVEST,COPENHAGEN,None
BANODKKK,19,BANKNORDIK,COPENHAGEN,None
BANODK21,20,BANKNORDIK,KOLDING,None
ISNKDKK1,21,BASISBANK A/S,COPENHAGEN,None
BESTDK22,22,BESTSELLER A/S,BRANDE,None
BIAMDKKK,23,BI ASSET MANAGEMENT FONDSMAEGLERSELSKAB A/S,COPENHAGEN,None
MAGGDKK1,24,BI MANAGEMENT A/S,COPENHAGEN,None
BILLDKKK,25,BIL DANMARK, FILIAL AF BANQUE INTERNATIONAL A LUXEMBOURG SA,COPENHAGEN,None
BJSKDKK1,26,BJOERNSKOV AND CO., A.S.,COPENHAGEN,None
FTSBDKKK,27,BNP PARIBAS S.A. DENMARK, FILIAL AF BNP PARIBAS S.A. FRANKRIG,COPENHAGEN,None
BOYDDK21,28,BODDUM-YDBY SPAREKASSE,HURUP THY,None
BOBJDK21,29,BORBJERG SPAREKASSE,HOLSTEBRO,None
BRFKDK21,30,BRFKREDIT A/S,LYNGBY,None
BRSLDK21,31,BROAGER SPAREKASSE,BROAGER,None
CADMDKK1,32,CANEGIE ASSET ADMINISTRATION A/S,COPENHAGEN,None
CFAIDKK1,33,CAPITAL FOUR AIFM A/S,COPENHAGEN,None
CFMFDKK1,34,CAPITAL FOUR MANAGEMENT FONDSMAEGLERSELSKAB A/S,COPENHAGEN,None
CARWDKK2,35,CARLSBERG A/S,COPENHAGEN,None
CARWDKK1,36,CARLSBERG BREWERIES A/S,COPENHAGEN,None
CARNDK22,37,CARNEGIE ASSET MANAGEMENT FONDMAEGLERSELSKAB A/S,COPENHAGEN,None
CARNDKKK,38,CARNEGIE INVESTMENT BANK, DK,COPENHAGEN,None
CAJBDKK1,39,CARNEGIE KREDITINSTITUT A/S,COPENHAGEN,None
CHHHDK22,40,CHR. HANSEN HOLDING AS,HOERSHOLM,None
CITIDKKX,41,CITIBANK EUROPE PLC DENMARK BRANCH,COPENHAGEN,None
CTRSDKK1,42,COMMERCIAL BANKERS TRUST K/S,COPENHAGEN,None
DAIODKK1,43,DANA INVEST FONDSMAEGLERSELSKAB A/S,COPENHAGEN,None
DFIBDK21,44,DANFOSS A/S,NORDBORG,None
DKNBDKK3,45,DANMARKS NATIONALBANK,COPENHAGEN,None
DKNBDKKC,46,DANMARKS NATIONALBANK,COPENHAGEN,None
DKNBDKKK,47,DANMARKS NATIONALBANK,COPENHAGEN,None
DKNBDKKKASA,48,DANMARKS NATIONALBANK,COPENHAGEN,None
DKNBDKKKTIA,49,DANMARKS NATIONALBANK,COPENHAGEN,None
SKIBDKK1,50,DANMARKS SKIBSKREDIT A/S,COPENHAGEN,None
DAMKDK21,51,DANSK AUTORISERET MARKEDSPLADS A/S,HORSENS,None
DFIIDK21,52,DANSK FORMUE- AND INVESTERINGSPLEJE A/S FONDSMAEGLERSELSKAB,ROSKILDE,None
