swift_code,id,bank,city,branch
ARTNDMDM,1,ARTON BANK CORPORATION,ROSEAU,None
BNTSDMD1,2,BANDENIA BANK AND TRUST INC,ROSEAU,None
NOSCDMDM,3,BANK OF NOVA SCOTIA,THE,ROSEAU,None
BCBKDMDM,4,BARNETT CAPITAL BANK,ROSEAU,None
CMWBDMDM,5,COMMONWEALTH BANK AND TRUST LIMITED,ROSEAU,None
FCIBDMDM,6,FIRSTCARIBBEAN INTERNATIONAL BANK (BARBADOS) LIMITED,ROSEAU,None
FRTTDMDM,7,FORT BANK INC.,ROSEAU,None
GVDMDMDM,8,GOVERNMENT OF DOMINICA,ROSEAU,None
NCDMDMDM,9,NATIONAL BANK OF DOMINICA,ROSEAU,None
PAXUDMDM,10,PAXUM BANK LIMITED,ROSEAU,None
ROYCDMDM,11,ROYAL BANK OF CANADA,ROSEAU,None
STDMDMDM,12,STANDARD COMMERCE BANK LTD.,CANEFIELD,None
ZUMADMDM,13,ZUMA BANK CORPORATION,ROSEAU,None
