swift_code,id,bank,city,branch
SALGDZAL,1,AL SALAM BANK ALGERIA,ALGIERS,None
AGUBDZAL,2,ALGERIA GULF BANK,ALGIERS,None
ARABDZAL,3,ARAB BANK PLC ALGERIA,ALGIERS,None
ABCODZAL,4,ARAB BANKING CORPORATION - ALGERIA,ALGIERS,None
BALGDZAL,5,BANK OF ALGERIA,ALGIERS,(HEAD OFFICE)
BALGDZALSBE,6,BANK OF ALGERIA,ALGIERS,(SERVICES BANCAIRES ETRANGERS)
BALGDZAP,7,BANK OF ALGERIA,ALGIERS,None
BDLODZAL,8,BANQUE DE DEVELOPPEMENT LOCAL,ALGIERS,None
BADRDZAL,9,BANQUE DE L'AGRICULTURE ET DE DEVELOPPEMENT RURAL,ALGIERS,None
BMICDZAL,10,BANQUE DU MAGHREB ARABE POUR L'INVESTISSEMENT ET LE COMMERCE,ALGIERS,None
BEXADZAL072,11,BANQUE EXTERIEURE D'ALGERIE,AIN TEMOUCHENT,(AGENCE AIN TEMOUCHENT)
BEXADZAL113,12,BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE 113)
BEXADZAL012,13,BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE AMIROUCHE)
BEXADZAL020,14,BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE BELCOURT)
BEXADZAL015,15,BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE BEN M'HIDI)
BEXADZAL001,16,BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE CAROUBIER NAFTAL)
BEXADZAL008,17,BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE CHERAGA NAFTAL)
BEXADZAL004,18,BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE CHERAGA VILLE)
BEXADZAL034,19,BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE DE TIZI OUZOU)
BEXADZAL090,20,BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE DELY IBRAHIM)
BEXADZAL017,21,BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE DES ACCREDITES)
BEXADZAL116,22,BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE DRARIA)
BEXADZAL030,23,BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE EL HARRACH)
BEXADZAL010,24,BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE GUEVARA)
BEXADZAL018,25,BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE HAMANI)
