swift_code,id,bank,city,branch
AMIFECE1,1,AMERICORP INTERMEDIARIA FINANCIERA S.A.,GUAYAQUIL,None
IVTTECE1,2,ANALYTICA INVESTMENTS,QUITO,None
ABPCECE1,3,ASOCIACION DE BANCOS PRIVADOS DEL ECUADOR,QUITO,None
MUPIECEQ,4,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA PICHINCHA,QUITO,None
BASAECEG,5,BANCO AMAZONAS S.A.,GUAYAQUIL,None
BACZECE1,6,BANCO AMAZONAS S.A.,QUITO,None
BBOLECEG100,7,BANCO BOLIVARIANO C.A.,GUAYAQUIL,(MATRIZ)
BBOLECEG,8,BANCO BOLIVARIANO C.A.,GUAYAQUIL,None
EGGAECE1,9,BANCO CAJA DE CREDITO AGRICOLA Y GANADERO S.A.,QUITO,None
BCAPECQ1,10,BANCO CAPITAL S.A,QUITO,None
BCENECEQ120,11,BANCO CENTRAL DEL ECUADOR,GUAYAQUIL,None
BCENECEQ,12,BANCO CENTRAL DEL ECUADOR,QUITO,None
BCENECEQ100,13,BANCO CENTRAL DEL ECUADOR,QUITO,None
COFBECE1AMB,14,BANCO COFIEC C.A.,AMBATO,None
COFBECE1CUE,15,BANCO COFIEC C.A.,CUENCA,None
COFBECE1GYE,16,BANCO COFIEC C.A.,GUAYAQUIL,None
COFBECE1,17,BANCO COFIEC C.A.,QUITO,None
COFBECU1,18,BANCO COFIEC C.A.,QUITO,None
CBMIECE1,19,BANCO COMERCIAL DE MANABI S.A.,PORTOVIEJO,None
CPOCECE1,20,BANCO COOPNACIONAL S.A.,GUAYAQUIL,None
GUAYECEG305,21,BANCO DE GUAYAQUIL,CUENCA,(COMERCIO EXTERIOR REGION SUR)
GUAYECEG300,22,BANCO DE GUAYAQUIL,CUENCA,(SUCURSAL CUENCA)
GUAYECEG105,23,BANCO DE GUAYAQUIL,GUAYAQUIL,(COMERCIO EXTERIOR REGION CENTRO)
GUAYECEG,24,BANCO DE GUAYAQUIL,GUAYAQUIL,None
GUAYECEG100,25,BANCO DE GUAYAQUIL,GUAYAQUIL,None
GUAYECEG505,26,BANCO DE GUAYAQUIL,QUITO,(COMERCIO EXTERIOR REGION NORTE)
GUAYECEG500,27,BANCO DE GUAYAQUIL,QUITO,(SUCURSAL QUITO)
PRODECEQ100,28,BANCO DE LA PRODUCCION S.A. PRODUBANCO,GUAYAQUIL,None
PRODECEQ,29,BANCO DE LA PRODUCCION S.A. PRODUBANCO,QUITO,None
LOJBECEL,30,BANCO DE LOJA,LOJA,None
BMACECEG,31,BANCO DE MACHALA, C.A.,GUAYAQUIL,None
BMACECEG0EG,32,BANCO DE MACHALA, C.A.,GUAYAQUIL,None
BMACECEG0E4,33,BANCO DE MACHALA, C.A.,NARANJAL,None
BMACECEG0E5,34,BANCO DE MACHALA, C.A.,PASAJE,None
BMACECEG0E3,35,BANCO DE MACHALA, C.A.,PINAS,None
BMACECEG0E8,36,BANCO DE MACHALA, C.A.,QUEVEDO,None
BMACECEG0E7,37,BANCO DE MACHALA, C.A.,SANTA ROSA,None
BMACECEG0E6,38,BANCO DE MACHALA, C.A.,ZARUMA,None
AUSTECEQ305,39,BANCO DEL AUSTRO S.A.,CUENCA,(COMERCIO EXTERIOR)
AUSTECEQ310,40,BANCO DEL AUSTRO S.A.,CUENCA,(SERVICIOS BANCARIOS)
AUSTECEQ315,41,BANCO DEL AUSTRO S.A.,CUENCA,(TRESORIA)
AUSTECEQ,42,BANCO DEL AUSTRO S.A.,CUENCA,None
AUSTECEQ100,43,BANCO DEL AUSTRO S.A.,GUAYAQUIL,(SUCURSAL GUAYAQUIL)
AUSTECEQ500,44,BANCO DEL AUSTRO S.A.,QUITO,(SUCURSAL QUITO)
BAAZECE1,45,BANCO DEL AZUAY,CUENCA,None
BAAZECE10EQ,46,BANCO DEL AZUAY,QUITO,None
LITBECE1,47,BANCO DEL LITORAL S.A.,GUAYAQUIL,None
PACIECEG400,48,BANCO DEL PACIFICO,AMBATO,None
PACIECEG300,49,BANCO DEL PACIFICO,CUENCA,None
PACIECEG,50,BANCO DEL PACIFICO,GUAYAQUIL,(HEAD OFFICE)
PACIECEG100,51,BANCO DEL PACIFICO,GUAYAQUIL,None
PACIECEGIBA,52,BANCO DEL PACIFICO,IBARRA,None
PACIECEG110,53,BANCO DEL PACIFICO,LA LIBERTAD,None
PACIECEG200,54,BANCO DEL PACIFICO,MACHALA,None
PACIECEG600,55,BANCO DEL PACIFICO,MANTA,None
PACIECEG640,56,BANCO DEL PACIFICO,PORTOVIEJO,None
PACIECEG500,57,BANCO DEL PACIFICO,QUITO,None
PACIECEG350,58,BANCO DEL PACIFICO,RIOBAMBA,None
PACIECEG871,59,BANCO DEL PACIFICO,SANTA CRUZ,(GALAPAGOS)
PACIECEG510,60,BANCO DEL PACIFICO,SANTO DOMINGO,None
BATUECE1,61,BANCO DEL TUNGURAHUA S.A.,GUAYAQUIL,(HEAD OFFICE AND ALL BRANCHES)
DEBNECE1,62,BANCO DELBANK S.A.,GUAYAQUIL,None
CODSECEQ001,63,BANCO DESARROLLO DE LOS PUEBLOS S.A.,MARCABELI,(MARCABELI BRANCH)
CODSECEQ,64,BANCO DESARROLLO DE LOS PUEBLOS S.A.,QUITO,None
DMIRECE1,65,BANCO D-MIRO S.A.,GUAYAQUIL,None
BACFECE1,66,BANCO FINANCORP S.A.,GUAYAQUIL,None
FCNCECE1,67,BANCO FINCA S.A.,QUITO,None
BGRMECEQ100,68,BANCO GENERAL RUMINAHUI S.A.,GUAYAQUIL,(GUAYAQUIL BRANCH)
BGRMECEQ200,69,BANCO GENERAL RUMINAHUI S.A.,MACHALA,(MACHALA BRANCH)
BGRMECEQ505,70,BANCO GENERAL RUMINAHUI S.A.,QUITO,(CASH MANAGEMENT)
BGRMECEQ,71,BANCO GENERAL RUMINAHUI S.A.,QUITO,None
BINTECEQ100,72,BANCO INTERNACIONAL S.A.,GUAYAQUIL,None
BINTECEQ,73,BANCO INTERNACIONAL S.A.,QUITO,(HEAD OFFICE AND ALL BRANCHES)
PICHECEQ400,74,BANCO PICHINCHA C.A.,AMBATO,None
PICHECEQ450,75,BANCO PICHINCHA C.A.,AZOGUES,(AZOGUES BRANCH)
PICHECEQ304,76,BANCO PICHINCHA C.A.,CUENCA,(BRANCH 304)
PICHECEQ306,77,BANCO PICHINCHA C.A.,CUENCA,(BRANCH 306)
PICHECEQ307,78,BANCO PICHINCHA C.A.,CUENCA,(BRANCH 307)
PICHECEQ302,79,BANCO PICHINCHA C.A.,CUENCA,(INTERNATIONAL OPERATIONS)
PICHECEQ305,80,BANCO PICHINCHA C.A.,CUENCA,(MONEY TRANSFER)
PICHECEQ300,81,BANCO PICHINCHA C.A.,CUENCA,None
PICHECEQ700,82,BANCO PICHINCHA C.A.,ESMERALDAS,None
PICHECEQ370,83,BANCO PICHINCHA C.A.,GUARANDA,(GUARANDA BRANCH)
PICHECEQ112,84,BANCO PICHINCHA C.A.,GUAYAQUIL,(AG. ALBAN BORJA)
PICHECEQ111,85,BANCO PICHINCHA C.A.,GUAYAQUIL,(AG. ALBORADA)
PICHECEQ107,86,BANCO PICHINCHA C.A.,GUAYAQUIL,(AG. CENTENARIO SUR)
PICHECEQ110,87,BANCO PICHINCHA C.A.,GUAYAQUIL,(AG. CENTENARIO)
PICHECEQ108,88,BANCO PICHINCHA C.A.,GUAYAQUIL,(AG. CENTRO)
PICHECEQ106,89,BANCO PICHINCHA C.A.,GUAYAQUIL,(AG. LA LIBERTAD)
PICHECEQ113,90,BANCO PICHINCHA C.A.,GUAYAQUIL,(AG. MALL DEL SOL)
PICHECEQ114,91,BANCO PICHINCHA C.A.,GUAYAQUIL,(AG. URDESA)
PICHECEQ101,92,BANCO PICHINCHA C.A.,GUAYAQUIL,(AG.)
PICHECEQ115,93,BANCO PICHINCHA C.A.,GUAYAQUIL,(AG.)
PICHECEQ116,94,BANCO PICHINCHA C.A.,GUAYAQUIL,(AG.)
PICHECEQ117,95,BANCO PICHINCHA C.A.,GUAYAQUIL,(AG.)
PICHECEQ118,96,BANCO PICHINCHA C.A.,GUAYAQUIL,(AG.POLICENTRO)
PICHECEQ119,97,BANCO PICHINCHA C.A.,GUAYAQUIL,(BRANCH 119)
PICHECEQ120,98,BANCO PICHINCHA C.A.,GUAYAQUIL,(BRANCH 120)
PICHECEQ121,99,BANCO PICHINCHA C.A.,GUAYAQUIL,(BRANCH 121)
PICHECEQ103,100,BANCO PICHINCHA C.A.,GUAYAQUIL,(DOMESTIC OPERATIONS)
PICHECEQ102,101,BANCO PICHINCHA C.A.,GUAYAQUIL,(INTERNATIONAL OPERATIONS)
PICHECEQ105,102,BANCO PICHINCHA C.A.,GUAYAQUIL,(MONEY TRANSFER)
PICHECEQ104,103,BANCO PICHINCHA C.A.,GUAYAQUIL,(TREASURY AND SECURITIES OPERATIONS)
PICHECEQ100,104,BANCO PICHINCHA C.A.,GUAYAQUIL,None
PICHECEQ250,105,BANCO PICHINCHA C.A.,IBARRA,(IBARRA BRANCH)
