swift_code,id,bank,city,branch
ADMREE21,1,ADMIRAL MARKETS AS,TALLINN,None
AIEBEE21,2,ALLIED IRISH BANKS P.L.C ESTONIAN BRANCH,TALLINN,None
PARXEE22,3,AS CITADELE BANKA EESTI FILIAAL,TALLINN,None
EURCEE21,4,AS EUREX CAPITAL,TALLINN,None
GFASEE21,5,AS GILD FINANCIAL ADVISORY SERVICES,TALLINN,None
IBBNEE21,6,AS INBANK,TALLINN,None
LHVBEE22,7,AS LHV PANK,TALLINN,None
LHVBEE21,8,AS LOHMUS, HAAVEL AND VIISEMANN,TALLINN,None
AKELEE21,9,AS POCOPAY,TALLINN,None
EEUHEE2X,10,AS SEB PANK,TALLINN,None
BIGKEE2B,11,BIGBANK AS,TALLINN,None
EKRDEE22,12,COOP PANK,TALLINN,None
CRVTEE21,13,CRESCO VAARTPABERITE AS,TALLINN,None
FOREEE2X,14,DANSKE BANK A/S ESTONIA BRANCH,TALLINN,None
EEAHEE21,15,EESTI ARENGU HOIU-LAENUUHISTU,TALLINN,None
EPBEEE2XERT,16,EESTI PANK (BANK OF ESTONIA),TALLINN,(CLEARING DEPARTMENT)
EPBEEE2XCSD,17,EESTI PANK (BANK OF ESTONIA),TALLINN,(MIRROR TECHNICAL ACCOUNT)
EPBEEE2XTGT,18,EESTI PANK (BANK OF ESTONIA),TALLINN,(TARGET 2)
EPBEEE2X,19,EESTI PANK (BANK OF ESTONIA),TALLINN,None
EPBEEE2XCCB,20,EESTI PANK (BANK OF ESTONIA),TALLINN,None
ECSDEE2X,21,ESTONIAN CSD,TALLINN,None
EVSEEE21,22,EVLI BANK LTD,TALLINN,None
SUSCEE21,23,EVLI SECURITIES AS,TALLINN,None
FAPNEE21,24,FALCON AND PARTNERS OU,TALLINN,None
FOEFEE21,25,FOLKIA AS EESTI FILIAAL,TALLINN,None
GFCBEE22,26,GFC GOOD FINANCE COMPANY AS,TALLINN,None
JBFAEE21,27,JBC FINANCIAL ADVISOR OU,TALLINN,None
AUASEE21,28,KIT FINANCE EUROPE AS,TALLINN,None
RIKOEE22,29,LUMINOR BANK AS, ESTONIA (FORMER AS DNB PANK),TALLINN,None
NDEAEE2X,30,LUMINOR BANK AS, ESTONIA (FORMER NORDEA BANK AB ESTONIA BRANCH),TALLINN,None
MOEXEE21,31,MONEYEXPRESS,TALLINN,None
OKOYEE2X,32,OP CORPORATE BANK PLC ESTONIAN BRANCH,TALLINN,None
SFEFEE21,33,SCANIA FINANS AB EESTI FILIAL,TALLINN,None
HANDEE22,34,SVENSKA HANDELSBANKEN AB ESTONIAN BRANCH,TALLINN,None
HABAEE2XHAM,35,SWEDBANK AS,TALLINN,(HANSA ASSET MANAGMENT)
HABAEE2X,36,SWEDBANK AS,TALLINN,None
TABUEE22,37,TALLINN BUSINESS BANK LTD,TALLINN,None
XTALEE21,38,TALLINN STOCK EXCHANGE,TALLINN,None
TAHLEE21,39,TALLINNA HOIU-LAENUUHISTU,TALLINN,None
TALVEE21,40,TALVEAED AS,TALLINN,None
TAHUEE21,41,TARTU HOIU-LAENUUHISTU,TARTU,None
TOPCEE21,42,TOP CREDIT OU,TALLINN,None
TRAWEE21,43,TRANSFERWISE LTD. EESTI FILIAAL,TALLINN,None
SBMBEE22,44,VERSOBANK AS,TALLINN,None
