swift_code,id,bank,city,branch
ABDIEGCA,1,ABU DHABI ISLAMIC BANK - EGYPT,CAIRO,None
AFXMEGCA,2,AFRICAN EXPORT IMPORT BANK,CAIRO,(HEAD OFFICE)
DEIBEGCX215,3,AHLI UNITED BANK (EGYPT) S.A.E.,ALEXANDRIA,(ALEXANDRIA BRANCH)
DEIBEGCX223,4,AHLI UNITED BANK (EGYPT) S.A.E.,ALEXANDRIA,(SIDI-BISHR BRANCH)
DEIBEGCX016,5,AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(CENTRAL OPERATIONS)
DEIBEGCX110,6,AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(DOWNTOWN)
DEIBEGCX128,7,AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(EL-HARAM BRANCH)
DEIBEGCX024,8,AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(GIZA - DOKKI BRANCH)
DEIBEGCX032,9,AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(HELIOPOLIS BRANCH)
DEIBEGCX059,10,AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(MAADI BRANCH)
DEIBEGCX075,11,AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(MERGHANY BRANCH)
DEIBEGCX083,12,AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(MOHANDESSIN BRANCH)
DEIBEGCX040,13,AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(SHUBRA BRANCH)
DEIBEGCX,14,AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,None
DEIBEGCX527,15,AHLI UNITED BANK (EGYPT) S.A.E.,DOMIAT,(DOMIAT BRANCH)
DEIBEGCX518,16,AHLI UNITED BANK (EGYPT) S.A.E.,EL MANSOURA,(EL MANSOURA BRANCH)
DEIBEGCX718,17,AHLI UNITED BANK (EGYPT) S.A.E.,EL MENIA,(EL MENIA BRANCH)
DEIBEGCX621,18,AHLI UNITED BANK (EGYPT) S.A.E.,PORT SAID,(PORT SAID BRANCH)
DEIBEGCX613,19,AHLI UNITED BANK (EGYPT) S.A.E.,SUEZ,(SUEZ BRANCH)
DEIBEGCX319,20,AHLI UNITED BANK (EGYPT) S.A.E.,TANTA,(TANTA BRANCH)
ECBAEGCA,21,AL AHLI BANK OF KUWAIT - EGYPT S.A.E.,6TH OF OCTOBER,None
ABRKEGCAOCT,22,ALBARAKA BANK EGYPT,6TH OF OCTOBER,(6TH OCTOBER BRANCH)
ABRKEGCATAN,23,ALBARAKA BANK EGYPT,AL GHARBIAH,(TANTA BRANCH)
ABRKEGCAMAN,24,ALBARAKA BANK EGYPT,AL MANSORA,(MANSORA BRANCH)
ABRKEGCAAZA,25,ALBARAKA BANK EGYPT,ALEXANDRIA,(ALEXANDRIA BRANCH)
ABRKEGCABRG,26,ALBARAKA BANK EGYPT,ALEXANDRIA,(BORG AL ARAB BRANCH)
ABRKEGCARSH,27,ALBARAKA BANK EGYPT,ALEXANDRIA,(RSHDOY)
ABRKEGCASOM,28,ALBARAKA BANK EGYPT,ALEXANDRIA,(SMOHA BRANCH)
ABRKEGCASTN,29,ALBARAKA BANK EGYPT,ALEXANDRIA,(STANLY BRANCH)
ABRKEGC10AL,30,ALBARAKA BANK EGYPT,ALEXANDRIA,None
ABRKEGCAFSB,31,ALBARAKA BANK EGYPT,CAIRO,(5TH SETTLEMENT BRANCH)
ABRKEGCAALF,32,ALBARAKA BANK EGYPT,CAIRO,(ADLY BRANCH)
ABRKEGCAAKD,33,ALBARAKA BANK EGYPT,CAIRO,(AKKAD BRANCH)
ABRKEGCAZHR,34,ALBARAKA BANK EGYPT,CAIRO,(AL AZHAR BRANCH)
ABRKEGCAMNL,35,ALBARAKA BANK EGYPT,CAIRO,(ALMANIAL BRANCH CAIRO)
ABRKEGCACAI,36,ALBARAKA BANK EGYPT,CAIRO,(GARDEN CITY BRANCH)
ABRKEGCAMRG,37,ALBARAKA BANK EGYPT,CAIRO,(HELIOPOLICE BRANCH)
ABRKEGCAHDW,38,ALBARAKA BANK EGYPT,CAIRO,(INTERNATIONAL GARDEN BRANCH)
ABRKEGCAMAD,39,ALBARAKA BANK EGYPT,CAIRO,(MAADI BRANCH)
ABRKEGCAMDN,40,ALBARAKA BANK EGYPT,CAIRO,(MADINATY BRANCH)
ABRKEGCANSR,41,ALBARAKA BANK EGYPT,CAIRO,(NASR CITY BRANCH)
ABRKEGCALSK,42,ALBARAKA BANK EGYPT,CAIRO,(NEW MAADI BRANCH)
ABRKEGCARHB,43,ALBARAKA BANK EGYPT,CAIRO,(REAHAB BRANCH)
ABRKEGCASFM,44,ALBARAKA BANK EGYPT,CAIRO,(SANT FATIMA BRANCH)
ABRKEGCASHB,45,ALBARAKA BANK EGYPT,CAIRO,(SHOBRA BRANCH)
ABRKEGCAABS,46,ALBARAKA BANK EGYPT,CAIRO,None
ABRKEGCAORA,47,ALBARAKA BANK EGYPT,GIZA,(AHMED ORABI BRANCH)
ABRKEGCACOR,48,ALBARAKA BANK EGYPT,GIZA,(CORRESPONDANTS DEPARTMENT)
ABRKEGCADOK,49,ALBARAKA BANK EGYPT,GIZA,(DOKKI BRANCH)
ABRKEGCAMAL,50,ALBARAKA BANK EGYPT,GIZA,(FINANCIAL DEPARTMENT)
ABRKEGCA,51,ALBARAKA BANK EGYPT,GIZA,(HEAD OFFICE)
ABRKEGCAFSL,52,ALBARAKA BANK EGYPT,GIZA,(KING FAISAL BRANCH)
ABRKEGCALCG,53,ALBARAKA BANK EGYPT,GIZA,(LC DEPARTMENT)
ABRKEGCAMOH,54,ALBARAKA BANK EGYPT,GIZA,(MOHANDSEEN BRANCH)
ABRKEGCAEZZ,55,ALBARAKA BANK EGYPT,GIZA,(MOHYEE ELDIN ABOU EL EZZ BRANCH)
ABRKEGCAHRM,56,ALBARAKA BANK EGYPT,GIZA,(PYRAMIDS BRANCH)
ABRKEGCAZYD,57,ALBARAKA BANK EGYPT,GIZA,(SHEIKH ZAYED BRANCH)
ABRKEGCATKY,58,ALBARAKA BANK EGYPT,GIZA,(TEST KEY DEPARTMENT)
ABRKEGCASHM,59,ALBARAKA BANK EGYPT,NORTH SINAI,(SHARM ELSHEIKH BRANCH)
ABRKEGCAASH,60,ALBARAKA BANK EGYPT,THE TENTH OF RAMADAN,(10TH RAMADAN BRANCH)
ARAIEGCXOCT,61,ARAB AFRICAN INTERNATIONAL BANK,6TH OF OCTOBER,(6TH OCTOBER BRANCH)
ARAIEGCXALX,62,ARAB AFRICAN INTERNATIONAL BANK,ALEXANDRIA,(ALEXANDRIA BRANCH)
ARAIEGCXALE,63,ARAB AFRICAN INTERNATIONAL BANK,ALEXANDRIA,None
ARAIEGCXBRG,64,ARAB AFRICAN INTERNATIONAL BANK,BOURG EL ARAB,None
ARAIEGCXASH,65,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(10TH RAMADAN BRANCH)
ARAIEGCXOPR,66,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(B.O DEALING ROOM)
ARAIEGCXBUD,67,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(BUDGET)
ARAIEGCXCAI,68,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(CAIRO BRANCH)
ARAIEGCXSEC,69,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(CUSTODY)
ARAIEGCXCOL,70,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(DOCUMENTARY COLLECTIONS)
ARAIEGCXGLF,71,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(GOLF BRANCH)
ARAIEGCX,72,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(HEAD OFFICE)
ARAIEGCXHEL,73,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(HELIOPOLIS BRANCH)
ARAIEGCXMAA,74,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(MAADI BRANCH)
ARAIEGCXMOH,75,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(MOHANDSEEN BRANCH)
ARAIEGCXTRF,76,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(TRANSFERS)
ARAIEGCXWUN,77,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(WESTER UNION)
ARAIEGCXALF,78,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,None
ARAIEGCXDOC,79,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,None
ARAIEGCXDOK,80,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,None
ARAIEGCXGRD,81,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,None
ARAIEGCXHLP,82,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,None
ARAIEGCXMRG,83,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,None
ARAIEGCXTWN,84,ARAB AFRICAN INTERNATIONAL BANK,CAIRO,None
ARAIEGCXTNT,85,ARAB AFRICAN INTERNATIONAL BANK,TANTA,None
ARABEGCXOCT,86,ARAB BANK PLC,6TH OF OCTOBER,(6TH OF OCTOBER BRANCH)
ARABEGCXALX,87,ARAB BANK PLC,ALEXANDRIA,(ALEXANDRIA BRANCH)
ARABEGCXSPR,88,ARAB BANK PLC,ALEXANDRIA,(SPORTING BRANCH)
ARABEGCXAMN,89,ARAB BANK PLC,CAIRO,(ALI AMEEN BRANCH)
ARABEGCXNSA,90,ARAB BANK PLC,CAIRO,(ALI AMEEN BRANCH)
ARABEGCXNOZ,91,ARAB BANK PLC,CAIRO,(ARAB BANK PLC NOZHA)
ARABEGCXCAI,92,ARAB BANK PLC,CAIRO,(CAIRO BRANCH)
ARABEGCXCOU,93,ARAB BANK PLC,CAIRO,(CENTRAL OPERATION UNIT)
ARABEGCXDKI,94,ARAB BANK PLC,CAIRO,(DOKKI BRANCH)
ARABEGCX,95,ARAB BANK PLC,CAIRO,(EGYPT AREA MANAGEMENT - CAIRO)
ARABEGCXMKT,96,ARAB BANK PLC,CAIRO,(EL MOKATAM BRANCH)
ARABEGCXGMH,97,ARAB BANK PLC,CAIRO,(EL-GOMHORIA BRANCH)
ARABEGCXHGZ,98,ARAB BANK PLC,CAIRO,(EL-HEGAZ BRANCH)
ARABEGCXMHD,99,ARAB BANK PLC,CAIRO,(EL-MOHANDESSEEN BRANCH)
ARABEGCXTHR,100,ARAB BANK PLC,CAIRO,(EL-TAHRIR BRANCH)
ARABEGCXHEL,101,ARAB BANK PLC,CAIRO,(HELIOPOLIS BRANCH)
ARABEGCXMDI,102,ARAB BANK PLC,CAIRO,(MAADI BRANCH)
ARABEGCXNSR,103,ARAB BANK PLC,CAIRO,(NASR BRANCH)
ARABEGCXSHO,104,ARAB BANK PLC,CAIRO,(SHOUBRA BRANCH)
ARABEGCXZMK,105,ARAB BANK PLC,CAIRO,(ZAMALEK BRANCH)
ARABEGCXHRM,106,ARAB BANK PLC,GIZA,(AL HARAM BRANCH)
ARABEGCXSAW,107,ARAB BANK PLC,GIZA,(EL-THAWRA BRANCH)
ARABEGCXSHR,108,ARAB BANK PLC,SHARM EL SHEIKH,(SHARM-ELSHEIKH BRANCH)
ARABEGCXRMD,109,ARAB BANK PLC,THE TENTH OF RAMADAN,(THE TENTH OF RAMADAN BRANCH)
EAABEGCX,110,ARAB BANKING CORPORATION EGYPT,CAIRO,None
ARIBEGCX009,111,ARAB INTERNATIONAL BANK,6TH OF OCTOBER,(6TH OF OCTOBER)
ARIBEGCX002,112,ARAB INTERNATIONAL BANK,ALEXANDRIA,(ALEXANDRIA BRANCH)
ARIBEGCX001,113,ARAB INTERNATIONAL BANK,CAIRO,(HEAD OFFICE)
ARIBEGCX005,114,ARAB INTERNATIONAL BANK,CAIRO,(HELIOPOLICE BRANCH)
ARIBEGCXLBR,115,ARAB INTERNATIONAL BANK,CAIRO,(LOCAL BANK DEPARTMENT)
ARIBEGCX008,116,ARAB INTERNATIONAL BANK,CAIRO,(MOHANDISEEN BRANCH)
ARIBEGCXMOP,117,ARAB INTERNATIONAL BANK,CAIRO,(MONEY OPER. DEPT.)
ARIBEGCX004,118,ARAB INTERNATIONAL BANK,CAIRO,(NASR CITY BRANCH)
ARIBEGCX007,119,ARAB INTERNATIONAL BANK,CAIRO,(SARWAT BRANCH)
ARIBEGCX003,120,ARAB INTERNATIONAL BANK,CAIRO,(TAHRIR BRANCH)
ARIBEGCX,121,ARAB INTERNATIONAL BANK,CAIRO,None
ARIBEGCX011,122,ARAB INTERNATIONAL BANK,MAADI,(MAADI BRANCH)
ARIBEGCX006,123,ARAB INTERNATIONAL BANK,PORT SAID,(PORT SAID BRANCH)
ARIBEGCX012,124,ARAB INTERNATIONAL BANK,SHARM EL SHEIKH,(SHARM EL SHEIKH BRANCH)
ARIBEGCX010,125,ARAB INTERNATIONAL BANK,SHEIKH ZAYED CITY,(SHEIKH ZAYED BRANCH)
AINBEGCAMAR,126,ARAB INVESTMENT BANK,6TH OF OCTOBER,(6TH OF OCTOBER BRANCH)
AINBEGCAOBR,127,ARAB INVESTMENT BANK,AL OBOUR,(EL OBOUR BRANCH)
AINBEGCAALX,128,ARAB INVESTMENT BANK,ALEXANDRIA,(ALEXANDRIA BRANCH)
AINBEGCAALI,129,ARAB INVESTMENT BANK,ALEXANDRIA,(ALEXANDRIA FOR ISLAMIC OPERATION BRANCH)
AINBEGCA10R,130,ARAB INVESTMENT BANK,ARISH,(10RAMADAN BRANCH)
AINBEGCA5ST,131,ARAB INVESTMENT BANK,CAIRO,(5ST BRANCH)
AINBEGCACAI,132,ARAB INVESTMENT BANK,CAIRO,(CAIRO BRANCH)
AINBEGCAFSL,133,ARAB INVESTMENT BANK,CAIRO,(FAISAL BRANCH)
AINBEGCAGIZ,134,ARAB INVESTMENT BANK,CAIRO,(GIZA BRANCH)
AINBEGCAHEL,135,ARAB INVESTMENT BANK,CAIRO,(HELIOPOLIS BRANCH)
AINBEGCAKOR,136,ARAB INVESTMENT BANK,CAIRO,(KORNISH BRANCH)
AINBEGCAMAD,137,ARAB INVESTMENT BANK,CAIRO,(MAADI BRANCH)
AINBEGCANSR,138,ARAB INVESTMENT BANK,CAIRO,(NASR CITY)
AINBEGCASHB,139,ARAB INVESTMENT BANK,CAIRO,(SHOUBRA BRANCH)
AINBEGCATFC,140,ARAB INVESTMENT BANK,CAIRO,(TRADE FINANCE CENTER)
AINBEGCAZMK,141,ARAB INVESTMENT BANK,CAIRO,(ZAMALEK FOR ISLAMIC OPERATION BRANCH)
AINBEGCA,142,ARAB INVESTMENT BANK,CAIRO,None
AINBEGCAMIN,143,ARAB INVESTMENT BANK,EL MENIA,(EL MENIA BRANCH)
AINBEGCAMOH,144,ARAB INVESTMENT BANK,GIZA,(MOHANDESIN BRANCH)
AINBEGCAPSD,145,ARAB INVESTMENT BANK,PORT SAID,(PORT SAID BRANCH)
ARQAEGCA,146,ARQAAM SECURITIES BROKERAGE, S.A.E. EGYPT,CAIRO,None
BCBIEGCX003,147,ATTIJARIWAFA BANK EGYPT S.A.E,ALEXANDRIA,(ALEXANDRIA BRANCH)
BCBIEGCX005,148,ATTIJARIWAFA BANK EGYPT S.A.E,CAIRO,(MOHANDESIEN BRANCH)
BCBIEGCX004,149,ATTIJARIWAFA BANK EGYPT S.A.E,CAIRO,(NASR CITY BRANCH)
BCBIEGCX,150,ATTIJARIWAFA BANK EGYPT S.A.E,CAIRO,None
AUDBEGCA,151,BANK AUDI SAE,CAIRO,None
ALEXEGCX001,152,BANK OF ALEXANDRIA S A E,ALEXANDRIA,(ALEXANDRIA BRANCH)
ALEXEGCXRMT,153,BANK OF ALEXANDRIA S A E,CAIRO,(CENTRAL  REMITTANCES)
ALEXEGCXAML,154,BANK OF ALEXANDRIA S A E,CAIRO,(COMPLIANCE)
ALEXEGCXFID,155,BANK OF ALEXANDRIA S A E,CAIRO,(FINANCIAL  INSTITUTIONS)
ALEXEGCX005,156,BANK OF ALEXANDRIA S A E,CAIRO,(INVESTMENT DEPARTMENT)
ALEXEGCXTFC,157,BANK OF ALEXANDRIA S A E,CAIRO,(LETTERS  OF  CREDIT   CAIRO)
ALEXEGCXLGC,158,BANK OF ALEXANDRIA S A E,CAIRO,(LETTERS OF GURANTEE  CAIRO)
ALEXEGCXLOP,159,BANK OF ALEXANDRIA S A E,CAIRO,(LOAN  OPERATIONS)
ALEXEGCXACC,160,BANK OF ALEXANDRIA S A E,CAIRO,(LOCAL  RECONCILIATIONS)
ALEXEGCX004,161,BANK OF ALEXANDRIA S A E,CAIRO,(MUSKI BRANCH)
ALEXEGCX003,162,BANK OF ALEXANDRIA S A E,CAIRO,(SHERIF BRANCH)
ALEXEGCX,163,BANK OF ALEXANDRIA S A E,CAIRO,None
ALEXEGCX002,164,BANK OF ALEXANDRIA S A E,PORT SAID,(PORT SAID BRANCH)
NOSCEGCA,165,BANK OF NOVA SCOTIA,THE,CAIRO,None
BCAIEGCX606,166,BANQUE DU CAIRE,6TH OF OCTOBER,(6 OCTOBER)
BCAIEGCX250,167,BANQUE DU CAIRE,ALEXANDRIA,(AGAMY BRANCH)
BCAIEGCX285,168,BANQUE DU CAIRE,ALEXANDRIA,(BAB SEDRAH)
BCAIEGCX220,169,BANQUE DU CAIRE,ALEXANDRIA,(BACKUS BRANCH)
BCAIEGCX255,170,BANQUE DU CAIRE,ALEXANDRIA,(BORG EL ARAB BRANCH)
BCAIEGCX231,171,BANQUE DU CAIRE,ALEXANDRIA,(EBRAHEMIYA BRANCH)
BCAIEGCX290,172,BANQUE DU CAIRE,ALEXANDRIA,(EL EKBALL BRANCH)
BCAIEGCX201,173,BANQUE DU CAIRE,ALEXANDRIA,(EL WARDIAN BRANCH)
BCAIEGCX260,174,BANQUE DU CAIRE,ALEXANDRIA,(GLIM BRANCH)
BCAIEGCX280,175,BANQUE DU CAIRE,ALEXANDRIA,(MONTAZAH BRANCH)
BCAIEGCX210,176,BANQUE DU CAIRE,ALEXANDRIA,(SALAH SALEM BRANCH)
BCAIEGCX270,177,BANQUE DU CAIRE,ALEXANDRIA,(SAMOUHA BRANCH)
BCAIEGCX200,178,BANQUE DU CAIRE,ALEXANDRIA,(SESOSTREES BRANCH)
BCAIEGCX230,179,BANQUE DU CAIRE,ALEXANDRIA,(SPORTING BRANCH)
BCAIEGCX760,180,BANQUE DU CAIRE,ASSUIT,(ABU TEEG)
BCAIEGCX640,181,BANQUE DU CAIRE,ASSUIT,(ASSUIT BRANCH)
BCAIEGCX750,182,BANQUE DU CAIRE,ASWAN,(ABU SIMBAL)
BCAIEGCX660,183,BANQUE DU CAIRE,ASWAN,(ASWAN BRANCH)
BCAIEGCX710,184,BANQUE DU CAIRE,ASWAN,(EDFO)
BCAIEGCX620,185,BANQUE DU CAIRE,BANI SUEF,(BENI SOWIF BRANCH)
BCAIEGCX621,186,BANQUE DU CAIRE,BANI SUEF,(EHNASYA BRANCH)
BCAIEGCX740,187,BANQUE DU CAIRE,BANI SUEF,(SAMASTTA)
BCAIEGCX480,188,BANQUE DU CAIRE,BEIRA,(DAMANHOUR BRANCH)
BCAIEGCX483,189,BANQUE DU CAIRE,BEIRA,(DELENGAT)
BCAIEGCX030,190,BANQUE DU CAIRE,CAIRO,(19 ADLY BRANCH)
BCAIEGCX095,191,BANQUE DU CAIRE,CAIRO,(26 JUL. BRANCH)
BCAIEGCX035,192,BANQUE DU CAIRE,CAIRO,(ABBASIA BRANCH)
BCAIEGCX150,193,BANQUE DU CAIRE,CAIRO,(AIRPORT BRANCH)
BCAIEGCX585,194,BANQUE DU CAIRE,CAIRO,(AL OBOUR BRANCH)
BCAIEGCX151,195,BANQUE DU CAIRE,CAIRO,(AL OROUBA)
BCAIEGCX040,196,BANQUE DU CAIRE,CAIRO,(ALFY BRANCH)
BCAIEGCX120,197,BANQUE DU CAIRE,CAIRO,(AMIRIA)
BCAIEGCX033,198,BANQUE DU CAIRE,CAIRO,(AWKAF)
BCAIEGCX060,199,BANQUE DU CAIRE,CAIRO,(AZHAR BRANCH)
BCAIEGCX130,200,BANQUE DU CAIRE,CAIRO,(DAHER BRANCH)
BCAIEGCX610,201,BANQUE DU CAIRE,CAIRO,(FAYOUM BRANCH)
BCAIEGCX011,202,BANQUE DU CAIRE,CAIRO,(FOREIGN RELATIONS DEPARTMENT)
BCAIEGCX034,203,BANQUE DU CAIRE,CAIRO,(GIZA - DOKKI BRANCH)
BCAIEGCX070,204,BANQUE DU CAIRE,CAIRO,(HELIOPLIS BRANCH)
BCAIEGCX180,205,BANQUE DU CAIRE,CAIRO,(HELWAN)
BCAIEGCX072,206,BANQUE DU CAIRE,CAIRO,(HORRIYA)
BCAIEGCX401,207,BANQUE DU CAIRE,CAIRO,(KALUOB)
BCAIEGCX020,208,BANQUE DU CAIRE,CAIRO,(KASR EL-NEEL BRANCH)
BCAIEGCX101,209,BANQUE DU CAIRE,CAIRO,(KHLOUSY)
BCAIEGCX073,210,BANQUE DU CAIRE,CAIRO,(LAKKANY)
BCAIEGCX111,211,BANQUE DU CAIRE,CAIRO,(MAADI BRANCH)
BCAIEGCX608,212,BANQUE DU CAIRE,CAIRO,(MAGDA BUILDING)
BCAIEGCX085,213,BANQUE DU CAIRE,CAIRO,(MIDAN ELSAIDA)
BCAIEGCX110,214,BANQUE DU CAIRE,CAIRO,(MISR ALKADIMA)
BCAIEGCX602,215,BANQUE DU CAIRE,CAIRO,(MOHANDESSEEN)
BCAIEGCX190,216,BANQUE DU CAIRE,CAIRO,(NASR CITY)
BCAIEGCX112,217,BANQUE DU CAIRE,CAIRO,(NEW MAADI)
BCAIEGCX170,218,BANQUE DU CAIRE,CAIRO,(NOUBAR)
BCAIEGCX008,219,BANQUE DU CAIRE,CAIRO,(PLAN DEPARTMENT)
BCAIEGCX090,220,BANQUE DU CAIRE,CAIRO,(RAMSIS BRANCH)
BCAIEGCX140,221,BANQUE DU CAIRE,CAIRO,(ROXY)
BCAIEGCX160,222,BANQUE DU CAIRE,CAIRO,(SABTIA)
BCAIEGCX080,223,BANQUE DU CAIRE,CAIRO,(SAIDA ZAINAB BRANCH)
BCAIEGCX045,224,BANQUE DU CAIRE,CAIRO,(SARWAT BRANCH)
BCAIEGCX013,225,BANQUE DU CAIRE,CAIRO,(SETTLEMENT DEPARTMENT)
BCAIEGCX470,226,BANQUE DU CAIRE,CAIRO,(SHEBIN EL KOUM)
BCAIEGCX100,227,BANQUE DU CAIRE,CAIRO,(SHOUBRA BRANCH)
BCAIEGCX055,228,BANQUE DU CAIRE,CAIRO,(TALAAT HARB)
BCAIEGCX195,229,BANQUE DU CAIRE,CAIRO,(YOUSSEF ABBAS BRANCH)
BCAIEGCX,230,BANQUE DU CAIRE,CAIRO,None
BCAIEGCX440,231,BANQUE DU CAIRE,DOMIAT,(DAMIETA BRANCH)
BCAIEGCX445,232,BANQUE DU CAIRE,DOMIAT,(NEW DAMIETA)
BCAIEGCX570,233,BANQUE DU CAIRE,EL BEHIRRA,(ABO EL MATAMIR)
BCAIEGCX481,234,BANQUE DU CAIRE,EL BEHIRRA,(HOUCH EISSA)
BCAIEGCX423,235,BANQUE DU CAIRE,EL DAKAHLIAA,(BELKAS)
BCAIEGCX593,236,BANQUE DU CAIRE,EL DAKAHLIAA,(GOMHOURIA)
BCAIEGCX520,237,BANQUE DU CAIRE,EL DAKAHLIAA,(MANZALA)
BCAIEGCX430,238,BANQUE DU CAIRE,EL DAKAHLIAA,(MEIT GHAMR)
BCAIEGCX424,239,BANQUE DU CAIRE,EL DAKAHLIAA,(SENBELLAWEIN)
BCAIEGCX421,240,BANQUE DU CAIRE,EL DAKAHLIAA,(SHERBIN)
BCAIEGCX422,241,BANQUE DU CAIRE,EL DAKAHLIAA,(TALKHA)
BCAIEGCX611,242,BANQUE DU CAIRE,EL FAYOUM,(ATSA BRANCH)
BCAIEGCX612,243,BANQUE DU CAIRE,EL FAYOUM,(SANNORIS)
BCAIEGCX451,244,BANQUE DU CAIRE,EL GHARBIAA,(KAFR EL ZAYAT)
BCAIEGCX452,245,BANQUE DU CAIRE,EL GHARBIAA,(SOUK NASSER)
BCAIEGCX641,246,BANQUE DU CAIRE,EL KHARGA,(EL KHARGA)
BCAIEGCX420,247,BANQUE DU CAIRE,EL MANSOURA,(MANSURA BRANCH)
BCAIEGCX635,248,BANQUE DU CAIRE,EL MENIA,(MALAWI)
BCAIEGCX630,249,BANQUE DU CAIRE,EL MENIA,(MENIA BRANCH)
BCAIEGCX591,250,BANQUE DU CAIRE,EL MENOUFIAA,(BAGOUR)
BCAIEGCX594,251,BANQUE DU CAIRE,EL MENOUFIAA,(EL SADAT)
BCAIEGCX510,252,BANQUE DU CAIRE,EL MENOUFIAA,(MENOUF)
BCAIEGCX550,253,BANQUE DU CAIRE,EL SHARKIAA,(DIARB NEGM)
BCAIEGCX592,254,BANQUE DU CAIRE,EL SHARKIAA,(MENIA EL KAMH)
BCAIEGCX540,255,BANQUE DU CAIRE,GHARBIA,(ZEFTA)
BCAIEGCX460,256,BANQUE DU CAIRE,GHARDAIA,(MEHALLA BRANCH)
BCAIEGCX450,257,BANQUE DU CAIRE,GHARDAIA,(TANTA BRANCH)
BCAIEGCX607,258,BANQUE DU CAIRE,GIZA,(AL HARAM BRANCH)
BCAIEGCX600,259,BANQUE DU CAIRE,GIZA,(GIZA)
BCAIEGCX605,260,BANQUE DU CAIRE,GIZA,(MIDAN GIZA)
BCAIEGCX730,261,BANQUE DU CAIRE,HURGHADA,(HURGHADA)
BCAIEGCX560,262,BANQUE DU CAIRE,ISMAILIA,(EL SALHIA)
BCAIEGCX320,263,BANQUE DU CAIRE,ISMAILIA,(ISMAILIA BRANCH)
BCAIEGCX491,264,BANQUE DU CAIRE,KAFR EL SHEIKH,(DESSOUK)
BCAIEGCX492,265,BANQUE DU CAIRE,KAFR EL SHEIKH,(EL KHOLAFAA EL RASHIDIN)
BCAIEGCX530,266,BANQUE DU CAIRE,KAFR EL SHEIKH,(FOUWAH)
BCAIEGCX490,267,BANQUE DU CAIRE,KAFR EL SHEIKH,(KAFR EL SHEIKH BRANCH)
BCAIEGCX670,268,BANQUE DU CAIRE,KENA,(KENA BRANCH)
BCAIEGCX700,269,BANQUE DU CAIRE,KENA,(KOUS)
BCAIEGCX680,270,BANQUE DU CAIRE,KENA,(NAGH HAMMADI)
BCAIEGCX690,271,BANQUE DU CAIRE,LUXOR,(LOUXOR BRANCH)
BCAIEGCX500,272,BANQUE DU CAIRE,MARSA MATROUH,(MARSA MATROUH)
BCAIEGCX471,273,BANQUE DU CAIRE,MENOUF,(BERKET EL SABAA)
BCAIEGCX472,274,BANQUE DU CAIRE,MENOUF,(TALA)
BCAIEGCX330,275,BANQUE DU CAIRE,PORT SAID,(PORT FOUAD BRANCH)
BCAIEGCX300,276,BANQUE DU CAIRE,PORT SAID,(PORT SAID BRANCH)
BCAIEGCX400,277,BANQUE DU CAIRE,QALIOBIA,(BANHA BRANCH)
BCAIEGCX402,278,BANQUE DU CAIRE,QALIOBIA,(KAFR SHOKR BRANCH)
BCAIEGCX672,279,BANQUE DU CAIRE,SAFAGA,(SAFAGA)
BCAIEGCX590,280,BANQUE DU CAIRE,SHARJAH,(10 TH RAMADAN BRANCH)
BCAIEGCX410,281,BANQUE DU CAIRE,SHARJAH,(ZAGAZIG BRANCH)
BCAIEGCX413,282,BANQUE DU CAIRE,SHARKYA,(ABO KEBIR BRANCH)
BCAIEGCX412,283,BANQUE DU CAIRE,SHARKYA,(BELBEIS BRANCH)
