swift_code,id,bank,city,branch
AYGBESMM,1,A AND G BANCA PRIVADA, S.A.,MADRID,None
ABABESM1,2,A.B. ASESORES BURSATILES BOLSA, SA, S.V.B.,MADRID,None
ATECESM1,3,A.T. EQUITIES SPAIN A.V. S.A.,MADRID,None
EQSAESM1,4,A.T. EQUITIES SPAN A.V.B., S.A.,MADRID,None
AARBESM1,5,AAREAL BANK AG,MADRID,None
CAGLESMM,6,ABANCA CORPORACION BANCARIA, S.A.,BETANZOS,None
CAGLESMMCOP,7,ABANCA CORPORACION BANCARIA, S.A.,LA CORUNA (A CORUNA),(INTL. OPERATIONS AND FOREIGN TRADE)
CAGLESMMLCO,8,ABANCA CORPORACION BANCARIA, S.A.,LA CORUNA (A CORUNA),(PAYMENT SYSTEMS DEPT.)
CAGLESMMBAC,9,ABANCA CORPORACION BANCARIA, S.A.,MADRID,(BACK OFFICE)
CAGLESMMBOI,10,ABANCA CORPORACION BANCARIA, S.A.,MADRID,(FOREIGN TRADE AND INTL. OPERATIONS)
CAGLESMMVOP,11,ABANCA CORPORACION BANCARIA, S.A.,VIGO,(EXTRANJERO - VIGO)
CAGLESMMVIG,12,ABANCA CORPORACION BANCARIA, S.A.,VIGO,None
ASGSESMM,13,ABANTE ASESORES GESTION SGIIC SA,MADRID,None
DSGLESBB,14,ABASIC SLU,BARCELONA,None
ABGOESSE,15,ABENGOA,SEVILLA,None
ABIRESBB,16,ABERTIS INFRAESTRUCTURAS, SA,BARCELONA,None
ABAMESM1,17,ABN-AMRO, S.A. S.V.B.,MADRID,None
ACSVESB1,18,ACA, S.A. SOCIEDAD DE VALORES,BARCELONA,None
ADATESM1,19,ADVANTIC S.L,MADRID,None
AFPEESM1,20,AFINA PENTOR, A.V., S.A.,MADRID,None
AGAVESB1,21,AGENBOLSA A.V.B. S.A.,BARCELONA,None
AGFAESM1,22,AGUILAR Y DE LA FUENTE, S.A. AGENCIA DE VALORES,MADRID,None
AHCFESMMBAR,23,AHORRO CORPORACION FINANCIERA, S.V., S.A.,BARCELONA,(BARCELONA OFFICE)
AHCFESMMMAD,24,AHORRO CORPORACION FINANCIERA, S.V., S.A.,MADRID,(MADRID OFFICE)
AHCFESMM,25,AHORRO CORPORACION FINANCIERA, S.V., S.A.,MADRID,None
AHCFESMMVAL,26,AHORRO CORPORACION FINANCIERA, S.V., S.A.,VALENCIA,(VALENCIA OFFICE)
NMEQESM1,27,ALANTRA EQUITIES S.V., S.A.,MADRID,None
ACORESMM,28,ALDESA CONSTRUCCIONES S.A.,MADRID,None
AHPAES21,29,ALHAMBRA PARTNERS, S.V, S.A,POZUELO DE ALARCON,None
ATBEESM1,30,ALL TRADING EUROPE ASSETS AND MARKETS, S.V., S.A.U.,MADRID,None
ALLFESMM,31,ALLFUNDS BANK,ALCOBENDAS,None
ABCMESM1,32,ALLIED BANKING CORPORATION,MADRID,None
PFPFESBB,33,ALMIRALL, S.A.,BARCELONA,None
ALMTESM1,34,ALTURA MARKETS, S.A, S.V.,MADRID,None
ALVEES22,35,ALVEAN SUGAR, S.L., BILBAO,BILBAO,None
AMESESM1,36,AMERICAN EXPRESS COMPANY OF SPAIN,MADRID,None
BACAESMM,37,ANDBANK ESPANA S.A.,MADRID,None
AAMAESMM,38,ANDBANK WEALTH MANAGEMENT SGIIC SA,MADRID,None
ANDOESM1,39,ANDINO, AGENCIA DE VALORES Y BOLSA, S.A.,MADRID,None
AREBESMMBAR,40,ARESBANK, S.A.,BARCELONA,None
