swift_code,id,bank,city,branch
ABAYETAA,1,ABAY BANK S.C.,ADDIS ABEBA,None
ABSCETAA,2,ADDIS INTERNATIONAL BANK S.C.,ADDIS ABEBA,None
AWINETAA,3,AWASH INTERNATIONAL BANK S.C.,ADDIS ABEBA,None
ABYSETAA,4,BANK OF ABYSSINIA,ADDIS ABEBA,None
BERHETAA,5,BERHAN INTERNATIONAL BANK,ADDIS ABEBA,None
BUNAETAA,6,BUNNA INTERNATIONAL BANK S.C,ADDIS ABEBA,None
CBETETAAARA,7,COMMERCIAL BANK OF ETHIOPIA,ADDIS ABEBA,(ARADA GIORGIS BRANCH)
CBETETAADIR,8,COMMERCIAL BANK OF ETHIOPIA,ADDIS ABEBA,(DIRE DAWA MAIN BRANCH)
CBETETAAFIN,9,COMMERCIAL BANK OF ETHIOPIA,ADDIS ABEBA,(FINFINE BRANCH)
CBETETAAIBD,10,COMMERCIAL BANK OF ETHIOPIA,ADDIS ABEBA,(INTERNATIONAL BANKING DEPARTMENT)
CBETETAAMEH,11,COMMERCIAL BANK OF ETHIOPIA,ADDIS ABEBA,(MEHAL GEBEYA BRANCH)
CBETETAATEM,12,COMMERCIAL BANK OF ETHIOPIA,ADDIS ABEBA,(TEMENJA YAJ BRANCH)
CBETETAADOC,13,COMMERCIAL BANK OF ETHIOPIA,ADDIS ABEBA,(TRADE SERVICE CENTER)
CBETETAATRY,14,COMMERCIAL BANK OF ETHIOPIA,ADDIS ABEBA,(TREASURY DEPARTMENT)
CBETETAA,15,COMMERCIAL BANK OF ETHIOPIA,ADDIS ABEBA,None
CBORETAA,16,COOPERATIVE BANK OF OROMIA S.C.,ADDIS ABEBA,None
DASHETAA,17,DASHEN BANK S.C.,ADDIS ABEBA,None
DEGAETAA,18,DEBUB GLOBAL BANK S.C,ADDIS ABEBA,None
DEETETAA,19,DEVELOPMENT BANK OF ETHIOPIA,ADDIS ABEBA,None
ENATETAA,20,ENAT BANK S.C,ADDIS ABEBA,None
LIBSETAA,21,LION INTERNATIONAL BANK S.C.,ADDIS ABEBA,None
NBETETAA,22,NATIONAL BANK OF ETHIOPIA,ADDIS ABEBA,None
NIBIETAA,23,NIB INTERNATIONAL BANK S.C.,ADDIS ABEBA,None
ORIRETAA,24,OROMIA INTERNATIONAL BANK S.C.,ADDIS ABEBA,None
UNTDETAA,25,UNITED BANK SHARE COMPANY,ADDIS ABEBA,None
WEGAETAA,26,WEGAGEN BANK S.C.,ADDIS ABEBA,None
ZEMEETAA,27,ZEMEN BANK S.C.,ADDIS ABEBA,None
