swift_code,id,bank,city,branch
AGPAFIH1,1,A.G. SECURITIES,HELSINKI,None
ACETFIH1,2,ACCOUNTOR ETELA-SUOMI OY,HELSINKI,None
ACUUFIH1,3,ACCUNIA OY,HELSINKI,None
AHOSFI21,4,AHTARIN OSUUSPANKKI,AHTARI,None
AISAFI21,5,AITO SAASTOPANKKI OY,TAMPERE,None
AKSUFI21,6,AKAAN SEUDUN OSUUSPANKKI,TOIJALA,None
AKAMFIH1,7,AKTIA ASSET MANAGEMENT OY AB,HELSINKI,None
HELSFIHH,8,AKTIA BANK P.L.C.,HELSINKI,None
ALOUFI21,9,ALAJARVEN OSUUSPANKKI,ALAJARVI,None
ALOPFI21,10,ALASTARON OSUUSPANKKI,ALASTARO,None
ALONFI21,11,ALAVIESKAN OSUUSPANKKI,ALAVIESKA,None
ALEPFI21,12,ALAVUDEN SEUDUN OSUUSPANKKI,ALAVUS,None
ALPYFIH1,13,ALEXANDRIA PANKKIIRILIIKE OYJ,HELSINKI,None
ABOOFIH1,14,ALFRED BERG OMAISUUDENHOITO SUOMI OY,HELSINKI,None
ALFFFIH1,15,ALFRED BERG PANKKIIRILIIKE,HELSINKI,None
ANADFI21,16,ANDELSBANKEN FOR ALAND,MARIEHAMN,None
ANRSFI21,17,ANDELSBANKEN RASEBORG,KARIS,None
ABBOFIH1,18,AROS SECURITIES OY,HELSINKI,None
AROUFI21,19,ARTJARVEN OSUUSPANKKI,ARTJARVI,None
LPFBFIH1,20,AS LHV PANK FINNISH BRANCH,HELSINKI,None
ASOSFI21,21,ASKOLAN OSUUSPANKKI,MONNINKYLA,None
ATGOFIH1,22,ATINE GROUP OY,HELSINKI,None
AUOSFI21,23,AURAN OSUUSPANKKI,AURA,None
AVAAFI21,24,AURATOR VARAINHOITO OY-AURATOR ASSET MANAGEMENT,TURKU,None
AFFNFI21,25,AVIDA FINANS AB, FILIAL I FINLAND,ESPOO,None
VARIFIH1,26,B10 VARAINHOITO OY,HELSINKI,None
AABAFI22TMS,27,BANK OF ALAND PLC,MARIEHAMN,(TREASURY DEPARTMENT)
AABAFI22,28,BANK OF ALAND PLC,MARIEHAMN,None
BAWCFI21,29,BASWARE CORPORATION,ESPOO,None
BEIDFIH1,30,BELGRANO INVERSIONES OY,HELSINKI,None
BIGKFIH1,31,BIGBANK AS FINLAND BRANCH,HELSINKI,None
BISKFIH1,32,BIGBANK AS SUOMEN SIVULIIKE,HELSINKI,None
POPFFI22,33,BONUM BANK PLC,ESPOO,None
BOTDFIH1,34,BOSTADSOBLIGATIONSFONDEN,HELSINKI,None
