swift_code,id,bank,city,branch
BICIGALXADL,1,B.I.C.I. DU GABON,LIBREVILLE,(ADL BRANCH)
BICIGALXMBT,2,B.I.C.I. DU GABON,LIBREVILLE,(MONT-BOUET BRANCH)
BICIGALXOLO,3,B.I.C.I. DU GABON,LIBREVILLE,(OLOUMI BRANCH)
BICIGALX,4,B.I.C.I. DU GABON,LIBREVILLE,None
BICIGALXMDA,5,B.I.C.I. DU GABON,MOANDA,(MOANDA BRANCH)
BICIGALXPOG,6,B.I.C.I. DU GABON,PORT GENTIL,None
BEACGALI520,7,BANQUE DES ETATS DE L'AFRIQUE CENTRALE D.N. GABON,FRANCEVILLE,(AGENCE DE FRANCEVILLE)
BEACGALI,8,BANQUE DES ETATS DE L'AFRIQUE CENTRALE D.N. GABON,LIBREVILLE,None
BEACGALI530,9,BANQUE DES ETATS DE L'AFRIQUE CENTRALE D.N. GABON,OYEM,(AGENCE DE OYEM)
BEACGALI510,10,BANQUE DES ETATS DE L'AFRIQUE CENTRALE D.N. GABON,PORT GENTIL,(AGENCE DE PORT GENTIL)
BGADGALI,11,BANQUE GABONAISE DE DEVELOPPEMENT,LIBREVILLE,None
BGFIGALI,12,BGFIBANK,LIBREVILLE,None
BGFIGALIBKZ,13,BGFIBANK,LIBREVILLE,None
BGFIGALIMAL,14,BGFIBANK,LIBREVILLE,None
BGFIGALIOWD,15,BGFIBANK,LIBREVILLE,None
BGFIGALIPOG,16,BGFIBANK,LIBREVILLE,None
BGFIGALIPTN,17,BGFIBANK,LIBREVILLE,None
CITIGALXTRD,18,CITIBANK N.A.,LIBREVILLE,(TRADE SERVICES DEPT.)
CITIGALX,19,CITIBANK N.A.,LIBREVILLE,None
ECOCGALI,20,ECOBANK GABON,LIBREVILLE,None
CCPGGALI,21,GABON-POSTE,LIBREVILLE,None
ORBKGALI,22,ORABANK GABON,LIBREVILLE,None
UNAFGALI,23,UBA GABON,LIBREVILLE,None
UGABGALI,24,UNION GABONAISE DE BANQUE,LIBREVILLE,None
