swift_code,id,bank,city,branch
CBASGE22,1,BASISBANK, JSC,TBILISI,None
BATSGE21,2,BRITISH AMERICAN TOBACCO GEORGIA LIMITED,TBILISI,None
BSDAGE21,3,BSDBANK,SUKHUM,None
FGEOGE22,4,FINCA BANK GEORGIA JSC,TBILISI,None
GTJSGE21,5,GALT AND TAGGART (JSC) SECURITIES,TBILISI,None
GEIGGE21,6,GEORGIAN INVESTMENT GROUP,TBILISI,None
HABGGE22,7,HALYK BANK GEORGIA JSC,TBILISI,None
IBAZGE22,8,INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA,TBILISI,None
ITFVGE21,9,INTERNATIONAL FINANCIAL SERVICES LTD,TBILISI,None
BAGAGE22CUS,10,JSC BANK OF GEORGIA,TBILISI,(CUSTODY SERVICES)
BAGAGE22,11,JSC BANK OF GEORGIA,TBILISI,None
BAGAGE22GTS,12,JSC BANK OF GEORGIA,TBILISI,None
CRTUGE22092,13,JSC 'CARTU BANK',BATUMI,(BATUMI BRANCH)
CRTUGE22087,14,JSC 'CARTU BANK',KUTAISI,(KUTAISI BRANCH)
CRTUGE22086,15,JSC 'CARTU BANK',TBILISI,(MTATSMINDA BRANCH)
CRTUGE22,16,JSC 'CARTU BANK',TBILISI,None
CTRBGE22,17,JSC CAUCASUS TRUST BANKERS,TBILISI,None
JSCRGE22,18,JSC CREDO BANK,TBILISI,None
ISBKGE22,19,JSC ISBANK GEORGIA,TBILISI,None
LBRTGE22,20,JSC 'LIBERTY BANK',TBILISI,None
PAHAGE22,21,JSC PASHA BANK GEORGIA,TBILISI,None
TEBAGE22,22,JSC TERABANK,TBILISI,None
UGEBGE22617,23,JSC 'VTB BANK GEORGIA',AKHALTSIKHE,(AKHALTSIKHE BRANCH)
UGEBGE22655,24,JSC 'VTB BANK GEORGIA',BATUMI,(BATUMI BRANCH)
UGEBGE22622,25,JSC 'VTB BANK GEORGIA',GARDABANI,(GARDABANI BRANCH)
UGEBGE22602,26,JSC 'VTB BANK GEORGIA',GORI,(GORI BRANCH)
UGEBGE22624,27,JSC 'VTB BANK GEORGIA',GURJAANI,(GURJAANI BRANCH)
UGEBGE22605,28,JSC 'VTB BANK GEORGIA',KUTAISI,(KUTAISI BRANCH)
UGEBGE22639,29,JSC 'VTB BANK GEORGIA',MARNEULI,(MARNEULI BRANCH)
UGEBGE22643,30,JSC 'VTB BANK GEORGIA',OZURGETI,(OZURGETI BRANCH)
UGEBGE22606,31,JSC 'VTB BANK GEORGIA',POTI,(POTI BRANCH)
UGEBGE22607,32,JSC 'VTB BANK GEORGIA',RUSTAVI,(RUSTAVI BRANCH)
UGEBGE22687,33,JSC 'VTB BANK GEORGIA',TBILISI,(ABKHAZETI BRANCH)
UGEBGE22615,34,JSC 'VTB BANK GEORGIA',TBILISI,(CENTRAL BRANCH)
UGEBGE22665,35,JSC 'VTB BANK GEORGIA',TBILISI,(DIDUBE BRANCH)
UGEBGE22,36,JSC 'VTB BANK GEORGIA',TBILISI,(HEAD OFFICE)
UGEBGE22668,37,JSC 'VTB BANK GEORGIA',TBILISI,(KRZANINI BRANCH)
UGEBGE22666,38,JSC 'VTB BANK GEORGIA',TBILISI,(MTATSMINDA BRANCH)
UGEBGE22604,39,JSC 'VTB BANK GEORGIA',TBILISI,(RUSTAVELI BRANCH)
UGEBGE22670,40,JSC 'VTB BANK GEORGIA',TBILISI,(SABURTALO BRANCH)
UGEBGE22629,41,JSC 'VTB BANK GEORGIA',TELAVI,(TELAVI BRANCH)
UGEBGE22603,42,JSC 'VTB BANK GEORGIA',ZUGDIDI,(ZUGDIDI BRANCH)
TCZBGE22,43,JSC ZIRAAT BANK GEORGIA,TBILISI,None
LMIRGE21,44,LLC MFO IMPERIAL CREDIT,TBILISI,None
INEXGE22,45,MFO INTEL EXPRESS GEORGIA LTD,TBILISI,None
BNLNGE22,46,NATIONAL BANK OF GEORGIA,TBILISI,None
MIBGGE22,47,PROCREDIT BANK, GEORGIA,TBILISI,None
RGBRGE21,48,RUSSIAN-GEORGIAN BANK OF RECONSTRUCTION AND DEVELOPMENT,TBILISI,None
SGTLGE21,49,SAINT GEORGE BANKERS AND TRUST LLC,TBILISI,None
DISNGE22,50,SILK ROAD BANK JSC,TBILISI,None
TBCBGE22835,51,TBC BANK,BATUMI,(BATUMI BRANCH)
TBCBGE22762,52,TBC BANK,BORJOMI,(BORJOMI BRANCH)
TBCBGE22888,53,TBC BANK,KUTAISI,(KUTAISI BRANCH)
TBCBGE22937,54,TBC BANK,POTI,(POTI BRANCH)
TBCBGE22844,55,TBC BANK,RUSTAVI,(RUSTAVI BRANCH)
TBCBGE22830,56,TBC BANK,TBILISI,(CENTRAL BRANCH)
TBCBGE22836,57,TBC BANK,TBILISI,(DIDUBE BRANCH )
TBCBGE22850,58,TBC BANK,TBILISI,(MARJANISHVILI BRANCH)
TBCBGE22821,59,TBC BANK,TBILISI,(MTATSMINDA BRANCH)
TBCBGE22820,60,TBC BANK,TBILISI,(NADZALADEVI BRANCH)
TBCBGE22838,61,TBC BANK,TBILISI,(SABURTALO BRANCH)
TBCBGE22818,62,TBC BANK,TBILISI,(VERA BRANCH)
TBCBGE22,63,TBC BANK,TBILISI,None
TBCBGE22824,64,TBC BANK,TELAVI,(TELAVI BRANCH)
TSMFGE22,65,TREASURY SERVICE MINISTRY OF FINANCE OF GEORGIA,TBILISI,None
