swift_code,id,bank,city,branch
ABNGGHAC,1,ACCESS BANK (GHANA) LIMITED,ACCRA,None
AFASGHA1,2,AFRICAN ALLIANCE SECURITIES LTD,ACCRA,None
ADNTGHAC,3,AGRICULTURAL DEVELOPMENT BANK,ACCRA,None
ADNTGHA10A4,4,AGRICULTURAL DEVELOPMENT BANK,BOLGATANGA,None
ADNTGHA10A3,5,AGRICULTURAL DEVELOPMENT BANK,CAPE COAST,None
ADNTGHA10A6,6,AGRICULTURAL DEVELOPMENT BANK,KUMASI,None
ADNTGHA10A8,7,AGRICULTURAL DEVELOPMENT BANK,SUNYANI,None
ADNTGHA10A7,8,AGRICULTURAL DEVELOPMENT BANK,TAKORADI,None
ADNTGHA10AT,9,AGRICULTURAL DEVELOPMENT BANK,TAMALE,None
ADNTGHA10A2,10,AGRICULTURAL DEVELOPMENT BANK,TEMA,None
ADNTGHA10A5,11,AGRICULTURAL DEVELOPMENT BANK,WA,None
AREXGHAC,12,ARB APEX BANK LIMITED,ACCRA,None
HCONGHA10A2,13,BANK FOR HOUSING AND CONSTRUCTION,ACCRA,(FOREIGN BRANCH)
HCONGHA1,14,BANK FOR HOUSING AND CONSTRUCTION,ACCRA,None
AMMAGHAC,15,BANK OF AFRICA - GHANA LIMITED,ACCRA,None
BARBGHAC,16,BANK OF BARODA (GHANA) LIMITED,ACCRA,None
BAGHGHA4,17,BANK OF GHANA,ACCRA,None
BAGHGHA5,18,BANK OF GHANA,ACCRA,None
BAGHGHAC,19,BANK OF GHANA,ACCRA,None
BARCGHAC,20,BARCLAYS BANK OF GHANA LTD.,ACCRA,(ALL BRANCHES IN GHANA)
BARCGHACOBU,21,BARCLAYS BANK OF GHANA LTD.,ACCRA,(OFFSHORE BANKING UNIT)
BATSGHA1,22,BRITISH AMERICAN TOBACCO GHANA LTD,TEMA,None
BSAHGHAC,23,BSIC GHANA LTD,ACCRA,None
ACCCGHACCBS,24,CAL BANK LIMITED,ACCRA,(CAL BANK CUSTODY SERVICES)
ACCCGHAC,25,CAL BANK LIMITED,ACCRA,None
CABRGHA1,26,CAL BROKERS LIMITED,ACCRA,None
FCPBGHAC,27,CAPITAL BANK LIMITED,ACCRA,None
CDHSGHA1,28,CDH SECURITIES LTD,ACCRA,None
CHNCGHA1,29,CHAPEL HILL DENHAM SECURITIES (GH) LIMITED,ACCRA,None
CIINGHA1,30,CITIZENS INVESTMENT BANK,ACCRA,None
CODGGHAC,31,CONTROLLER AND ACCOUNTANT-GENERAL'S DEPARTMENT,ACCRA,None
DABRGHA1,32,DATABANK BROKERAGE LIMITED,ACCRA,None
DNPRGHA1,33,DYNAST PREMIER BANK LIMITED,ACCRA,None
STORGHA1,34,EBG STOCKBROKERS LTD.,ACCRA,None
ECOCGHAC,35,ECOBANK GHANA,ACCRA,None
ECOCGHACCUS,36,ECOBANK GHANA,ACCRA,None
ECOCGHACKSI,37,ECOBANK GHANA,KUMASI,(KUMASI BRANCH)
ECOCGHACTDI,38,ECOBANK GHANA,TAKORADI,(TAKORADI BRANCH)
ECOCGHACTMA,39,ECOBANK GHANA,TEMA,(TEMA BRANCH)
ENRBGHAC,40,ENERGY BANK GHANA LIMITED,ACCRA,None
INCEGHAC,41,FBNBANK GHANA LIMITED,ACCRA,None
FBLIGHAC,42,FIDELITY BANK LIMITED,ACCRA,None
FAMCGHAC,43,FIRST ATLANTIC BANK LIMITED,ACCRA,None
FABRGHA1,44,FIRST ATLANTIC BROKERS LIMITED,ACCRA,None
FIRNGHAC,45,FIRST NATIONAL BANK GHANA LIMITED,ACCRA,None
GHCBGHAC,46,GCB BANK LIMITED,ACCRA,None
GHCBGHACKSI,47,GCB BANK LIMITED,KUMASI,None
GHCBGHACTDI,48,GCB BANK LIMITED,TAKORADI,None
GHCBGHACTMA,49,GCB BANK LIMITED,TEMA,None
GHRAGHAC,50,GHANA REVENUE AUTHORITY,ACCRA,None
XGHAGHA1,51,GHANA STOCK EXCHANGE,ACCRA,None
GHLLGHAC,52,GHL BANK LTD,ACCRA,None
GNBGGHAC,53,GN BANK LIMITED,ACCRA,None
GOCEGHA1,54,GOLD COAST SECURITIES,ACCRA,None
GTBIGHAC,55,GUARANTY TRUST BANK (GHANA) LTD,ACCRA,None
HRTGGHAC,56,HERITAGE BANK LIMITED,ACCRA,None
HFCAGHACCSD,57,HFC BANK (GHANA) LTD,ACCRA,(CUSTODY SERVICES)
HFCAGHAC,58,HFC BANK (GHANA) LTD,ACCRA,None
ICGHGHA1,59,IC SECURITIES (GH) LIMITED,ACCRA,None
MFSHGHA1,60,MAGNATE FINANCIAL SERVICES GHANA LIMITED,ACCRA,None
MSTCGHA1,61,MERBAN STOCKBROKERS LIMITED,ACCRA,None
NIBGGHAC,62,NATIONAL INVESTMENT BANK,ACCRA,None
NWIVGHA1,63,NEW WORLD RENAISSANCE SECURITIES LTD,ACCRA,None
NTHCGHA1,64,NTHC LIMITED,ACCRA,None
OMBLGHAC,65,OMNIBANK GHANA LIMITED,ACCRA,None
PMEBGHAC,66,PREMIUM BANK GHANA LIMITED,ACCRA,None
PUBKGHAC,67,PRUDENTIAL BANK LIMITED,ACCRA,None
SABMGHA1,68,SABMILLER GHANA,ACCRA,None
SABMGHA1ABL,69,SABMILLER GHANA,ACCRA,None
SABMGHA1VGL,70,SABMILLER GHANA,ACCRA,None
SDBRGHA1,71,SDC BROKERAGE SERVICES LIMITED,ACCRA,None
SICGGHA1,72,SIC BROKERAGE LIMITED,ACCRA,None
SSNTGHAC,73,SOCIAL SECURITY AND NATIONAL INSURANCE TRUST,ACCRA,None
SSEBGHAC,74,SOCIETE GENERALE GHANA LIMITED,ACCRA,None
SSEBGHACKSI,75,SOCIETE GENERALE GHANA LIMITED,KUMASI,None
SSEBGHACTAM,76,SOCIETE GENERALE GHANA LIMITED,TAMALE,None
SVBGGHAC,77,SOVEREIGN BANK LIMITED,ACCRA,None
SBICGHAC,78,STANBIC BANK GHANA LIMITED,ACCRA,None
SCBLGHAC,79,STANDARD CHARTERED BANK GHANA LIMITED,ACCRA,(HEAD OFFICE)
SCBLGHACSSU,80,STANDARD CHARTERED BANK GHANA LIMITED,ACCRA,(SECURITIES SERVICES UNIT)
SCBLGHACKSI,81,STANDARD CHARTERED BANK GHANA LIMITED,KUMASI,None
SCBLGHACTDI,82,STANDARD CHARTERED BANK GHANA LIMITED,TAKORADI,None
SCBLGHACTMA,83,STANDARD CHARTERED BANK GHANA LIMITED,TEMA,None
STSIGHA1,84,STERLING SECURITIES LIMITED,ACCRA,None
SARSGHA1,85,STRATEGIC AFRICAN SECURITIES LIMITED,ACCRA,None
TAKOGHA1,86,TAKORADI INTERNATIONAL COMPANY,TAKORADI,None
TBGBGHAC,87,THE BEIGE BANK LIMITED,ACCRA,None
TRBGGHAC,88,THE ROYAL BANK,ACCRA,None
UBGHGHAC,89,UNIBANK GHANA LIMITED,ACCRA,None
STBGGHAC,90,UNITED BANK FOR AFRICA (GHANA) LTD,ACCRA,None
MBGHGHAC,91,UNIVERSAL MERCHANT BANK LIMITED,ACCRA,None
MBGHGHACKSI,92,UNIVERSAL MERCHANT BANK LIMITED,KUMASI,None
MBGHGHACTDI,93,UNIVERSAL MERCHANT BANK LIMITED,TAKORADI,None
MBGHGHACTMA,94,UNIVERSAL MERCHANT BANK LIMITED,TEMA,None
UTBKGHAC,95,UT BANK LTD,ACCRA,None
VRATGHAC,96,VOLTA RIVER AUTHORITY,ACCRA,None
ZEBLGHAC,97,ZENITH BANK (GHANA) LIMITED,ACCRA,None
