swift_code,id,bank,city,branch
ATFCGI21,1,3GT ACTIVE TRADING FUNDS PCC LTD,GIBRALTAR,None
BBALGIG1,2,BALTICA BANK (GIBRALTAR) LTD,GIBRALTAR,None
BJSBGIGX,3,BANK J. SAFRA SARASIN (GIBRALTAR) LTD,GIBRALTAR,None
CRESGIGI,4,BANK JSS (GIBRALTAR) LTD,GIBRALTAR,None
BARCGIG10GI,5,BARCLAYS BANK PLC,GIBRALTAR,None
BARCGIG1PCI,6,BARCLAYS BANK PLC,GIBRALTAR,None
BARCGIGI,7,BARCLAYS BANK PLC,GIBRALTAR,None
BIGIGIG1,8,BARCLAYTRUST INTERNATIONAL NOMINEES (GIBRALTAR) LIMITED,GIBRALTAR,None
CLOSGIG1,9,CLOSE BROTHERS MARRACHE BANK LIMITED,GIBRALTAR,None
FACCGIG1,10,FACTUM CAPITAL LTD,GIBRALTAR,None
GIBIGIG1,11,GIBRALTAR AND IBERIAN BANK LTD,GIBRALTAR,None
GIAMGIG1,12,GIBRALTAR ASSET MANAGEMENT LIMITED,GIBRALTAR,None
GIBKGIGI,13,GIBRALTAR INTERNATIONAL BANK LIMITED,GIBRALTAR,None
IETGGIG1,14,GSB LIMITED,GIBRALTAR,None
GUFUGIG1,15,GUEVORA FUND LIMITED,GIBRALTAR,None
GUFNGIG1,16,GUEVOURA FUND LIMITED,MARINA BAY,None
IDFUGIG1,17,INDIGO FUTURES LTD.,GIBRALTAR,None
JYBAGIGI,18,JYSKE BANK (GIBRALTAR) LTD.,GIBRALTAR,None
LOYDGIB1,19,LLOYDS BANK (GIBRALTAR) LIMITED,GIBRALTAR,None
LOYDGIGI,20,LLOYDS BANK (GIBRALTAR) LIMITED,GIBRALTAR,None
LOYDGIG1,21,LLOYDS TSB BANK PLC,GIBRALTAR,None
LOCYGIGINDP,22,LOMBARD ODIER AND CIE (GIBRALTAR) LTD,GIBRALTAR,(NDP DEPT)
LOCYGIGI,23,LOMBARD ODIER AND CIE (GIBRALTAR) LTD,GIBRALTAR,None
MSFUGIG1,24,MASSEY FUND LIMITED,GIBRALTAR,None
MOYPGIGI,25,MONEYCORP BANK,GIBRALTAR,None
RBOSGI21,26,NATWEST OFFSHORE-GIBRALTAR,GIBRALTAR,None
RBOSGIGI,27,NATWEST-GIBRALTAR,GIBRALTAR,None
PAYNGIG1,28,PAYONEER (EU) LIMITED,GIBRALTAR,None
HAMBGIGI,29,SG KLEINWORT HAMBROS BANK (GIBRALTAR) LIMITED,GIBRALTAR,None
SPRNGIG1,30,SPRINGFIELD BANK AND TRUST LTD,GIBRALTAR,None
TURCGIGI,31,TURICUM PRIVATE BANK LIMITED,GIBRALTAR,None
