swift_code,id,bank,city,branch
ACGAGMGF,1,ACCESS BANK GAMBIA,FAJARA,None
AGIXGMGM,2,AGIB BANK LTD,BANJUL,None
AXCDGMG1,3,AXIOS CREDIT BANK LTD,BANJUL,None
WEIIGMG1,4,BANK OF WEST INDIES INTERNATIONAL LTD,BANJUL,None
ITBCGMGM,5,BANK PHB (GAMBIA) LIMITED,BANJUL,None
BSAHGMGM,6,BSIC GAMBIA LIMITED,KANIFING,None
CJBLGMG1,7,C.J BANK LIMITED,BANJUL,None
ISSCGMG1,8,C.J INSURANCE LTD,BANJUL,None
CJVCGMG1,9,C.J.V.C BANK LIMITED,BANJUL,None
CBGAGMGM,10,CENTRAL BANK OF THE GAMBIA,BANJUL,None
CTCRGMG1,11,CITY COMMERCE BANK,BANJUL,None
ECOCGMGM,12,ECOBANK GAMBIA,SERREKUNDA,None
ICBGGMGS,13,FBN BANK GAMBIA LIMITED,SERREKUNDA,None
FDTIGMG1,14,FIDELITY TRUST BANK INTERNATIONAL,BANJUL,None
FIBLGMGM,15,FIRST INTERNATIONAL BANK LIMITED,BANJUL,None
GLTIGMG1,16,GLOBAL TRUST INVESTMENT BANK LTD,BANJUL,None
GTBGGMGM,17,GUARANTY TRUST BANK (GAMBIA) LIMITED,BANJUL,None
SKYEGMGM,18,SKYE BANK LIMITED, GAMBIA,BANJUL,None
SCBLGMGM,19,STANDARD CHARTERED BANK GAMBIA LIMITED,BANJUL,None
SMMIGMG1,20,SUMMIT BANK,BANJUL,None
TATUGMG1,21,TRADE AND TRUST BANK LTD,BANJUL,None
TBLTGMGM,22,TRUST BANK LTD,BANJUL,None
USABGMG1,23,U.S. AFRICA BANK (GAMBIA) LTD.,BANJUL,None
ZEIBGMGM,24,ZENITH BANK GAMBIA,BANJUL,None
