swift_code,id,bank,city,branch
ADBGGNG1,1,AFRICAN DEVELOPMENT BANK,CONAKRY,None
CCEIGNGN,2,AFRILAND FIRST BANK GUINEE S A,CONAKRY,None
REPCGNGA,3,BANQUE CENTRALE DE LA REPUBLIQUE DE GUINEE,CONAKRY,None
REPCGNGN,4,BANQUE CENTRALE DE LA REPUBLIQUE DE GUINEE,CONAKRY,None
BDGEGNGN,5,BANQUE DE DEVELOPPEMENT DE GUINEE,CONAKRY,None
BICIGNCX,6,BANQUE INTERNATIONALE POUR LE COMMERCE ET L'INDUSTRIE DE LA GUINEE,CONAKRY,None
ISGUGNGN,7,BANQUE ISLAMIQUE DE GUINEE,CONAKRY,None
BQNGGNGN,8,BANQUE NATIONALE DE GUINEE,CONAKRY,None
POMBGNGN,9,BANQUE POPULAIRE MAROCO-GUINEENNE SA,CONAKRY,None
COLIGNGN,10,BANQUE POUR LE COMMERCE ET L'INDUSTRIE DE GUINEE,CONAKRY,None
BSGNGNGN,11,BSIC GUINEE CONAKRY,CONAKRY,None
ECOCGNCN,12,ECOBANK GUINEE,CONAKRY,None
ICMOGNCN,13,FBNBANK GUINEA SA,CONAKRY,None
FIBLGNGN,14,FIRST INTERNATIONAL BANK SA,CONAKRY,None
BIAOGNGN,15,NSIA BANQUE GUINEE,CONAKRY,None
ORBKGNGN,16,ORABANK GUINEE,CONAKRY,None
SKYEGNGN,17,SKYE BANK GUINEA LIMITED S.A.,CONAKRY,None
SGGNGNGN,18,SOCIETE GENERALE DE BANQUES EN GUINEE,CONAKRY,None
UBAGGNCN,19,UNITED BANK FOR AFRICA GUINEA,CONAKRY,None
