swift_code,id,bank,city,branch
BNPAGPGXBAS,1,BANQUE NATIONALE DE PARIS SUCCURSALE DE POINTE A PITRE,BASSE TERRE,None
BNPAGPGX,2,BANQUE NATIONALE DE PARIS SUCCURSALE DE POINTE A PITRE,POINTE-A-PITRE,None
BDAFGPGX,3,CAISSE D'EPARGNE CEPAC (FORMERLY BANQUE DES ANTILLES FRANCAISES),BAIE MAHAULT,None
BDAFGPGX971,4,CAISSE D'EPARGNE CEPAC (FORMERLY BANQUE DES ANTILLES FRANCAISES),POINTE-A-PITRE,(COMEX GUADELOUPE)
CEPGGPG1,5,CAISSE EPARGNE PREVOYANCE GUADELOUPE,ABYMES,None
CGCTGPG1,6,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE GUADELOUPE,ABYMES,None
CMDMGPG1,7,CAISSE REGIONALE DE CREDIT MARITIME MUTUEL D'OUTRE MER,POINTE-A-PITRE,None
AGRIGPGXBTR,8,CREDIT AGRICOLE,BASSE TERRE,None
AGRIGPGX,9,CREDIT AGRICOLE,POINTE-A-PITRE,None
CRMSGPG1,10,CREDIT MODERNE ANTILLES,BAIE MAHAULT,None
SGFAGPG1,11,SOCIETE ANONYME DE GESTION ET DE FINANCEMENT - SAGEFI,ABYMES,None
SOGEGPGPGUA,12,SOCIETE GENERALE DE BANQUE AUX ANTILLES,POINTE-A-PITRE,(GUADELOUPE BRANCH)
SOGEGPGP,13,SOCIETE GENERALE DE BANQUE AUX ANTILLES,POINTE-A-PITRE,None
SOGEGPGPMAR,14,SOCIETE GENERALE DE BANQUE AUX ANTILLES,POINTE-A-PITRE,None
SGFOGPG1,15,SOCIETE GUADELOUPEENNE DE FINANCEMENT - SOGUAFI,BAIE MAHAULT,None
