swift_code,id,bank,city,branch
NAGCGQGQ,1,BANCO NACIONAL DE GUINEA ECUATORIAL (BANGE),MALABO,None
BEACGQGQ610,2,BANQUE DES ETATS DE L'AFRIQUE CENTRALE D.N. GUINEE EQUATORIALE,BATA,(AGENCE DE BATA)
BEACGQGQ,3,BANQUE DES ETATS DE L'AFRIQUE CENTRALE D.N. GUINEE EQUATORIALE,MALABO,None
BGFIGQGQ,4,BGFIBANK GUINEE EQUATORIALE,MALABO,None
CCEIGQGQBAT,5,CCEI BANK GE,BATA,(BATA)
CCEIGQGQEBI,6,CCEI BANK GE,BATA,(EBIEBYIN)
CCEIGQGQMON,7,CCEI BANK GE,BATA,(MONGOMO)
CCEIGQGQ,8,CCEI BANK GE,MALABO,None
CBGMGQG1,9,COMMERCIAL BANK GUINEA ECUATORIAL,MALABO,None
ECOCGQGQ,10,ECOBANK GUINEE EQUATORIALE,MALABO,None
SGGEGQGQ,11,SOCIETE GENERALE DE BANQUE EN GUINEE EQUATORIALE,MALABO,None
