swift_code,id,bank,city,branch
CILAHKH1,1,3V CAPITAL LIMITED,HONG KONG,None
AONEHKH1,2,A ONE INVESTMENT COMPANY LIMITED,HONG KONG,None
CTPTHKH1,3,AB CAPITAL LIMITED,HONG KONG,None
ABFLHKHH,4,AB INTERNATIONAL FINANCE LTD,HONG KONG,None
ABSYHKH1,5,ABCI SECURITIES COMPANY LIMITED,HONG KONG,None
HOGTHKH1,6,ABN AMRO ASIA LIMITED,HONG KONG,None
ABNAHKAATRY,7,ABN AMRO BANK N.V. HONG KONG BRANCH,HONG KONG,(GROUP TREASURY)
ABNAHKAAIDJ,8,ABN AMRO BANK N.V. HONG KONG BRANCH,HONG KONG,(INTERNATIONAL DIAMOND AND JEWELRY GROUP)
ABNAHKAAIPC,9,ABN AMRO BANK N.V. HONG KONG BRANCH,HONG KONG,(INTERNATIONAL PRIVATE CLIENTS DEPARTMENT)
ABNAHKAA,10,ABN AMRO BANK N.V. HONG KONG BRANCH,KOWLOON,None
AALHHKH1,11,ABN AMRO CLEARING HONG KONG LTD,HONG KONG,None
GINCHKH1,12,AGINCOURT SECURITIES LIMITED,HONG KONG,None
ABOCHKHH,13,AGRICULTURAL BANK OF CHINA LIMITED HONG KONG BRANCH,HONG KONG,None
AIACHKH1GIO,14,AIA COMPANY LIMITED,HONG KONG,(GROUP INVESTMENT OPERATIONS)
AIACHKHC,15,AIA COMPANY LIMITED,WAN CHAI,None
AGITHKH1,16,AIG ASSET MANAGEMENT (ASIA) LTD,HONG KONG,None
AIGCHKH1,17,AIG GLOBAL INVESTMENT CORPORATION (ASIA) LTD.,HONG KONG,None
AIFUHKH1,18,AIM FUTURES LIMITED,HONG KONG,None
ALSTHKH1,19,ALEXANDRA STOCK CO.,HONG KONG,None
ATGAHKH1,20,ALGORITHMIC TRADING GROUP (ATG) LTD,HONG KONG,None
ALLAHKHH,21,ALLAHABAD BANK,HONG KONG,None
ALRRHKH1,22,ALLARD PARTNERS LIMITED,HONG KONG,None
THRMHKHH,23,ALLIANZ GLOBAL INVESTORS ASIA PACIFIC LIMITED,HONG KONG,None
ABCHHKHH,24,ALLIED BANKING CORPORATION (HONG KONG) LIMITED,HONG KONG,None
APROHKH1,25,ALLIED PROFIT SECURITIES CO.,HONG KONG,None
ACHDHKK1,26,ALNAMAA CAPITAL HOLDINGS LIMITED,SHA TIN,None
ALPSHKH1,27,ALPHA SECURITIES COMPANY LIMITED,HONG KONG,None
AMFUHKH1,28,AMSTEEL FUTURES (H.K.) LIMITED,HONG KONG,None
AMSEHKH1,29,AMSTEEL SECURITIES (HK) LIMITED,HONG KONG,None
ANDWHKH1,30,ANDERSON WEN AND CO,HONG KONG,None
ACHIHKH1,31,ANGLO CHINESE SECURITIES, LIMITED,HONG KONG,None
ARHLHKH1,32,ARGENTARIA HOLDINGS LIMITED,HONG KONG,None
ASGBHKH1,33,ASG BROKERAGE LTD,HONG KONG,None
ASFLHKH1,34,ASHIKAGA FINANCE (H.K.) LIMITED,HONG KONG,None
APGTHKH1,35,ASIA PACIFIC BANKING GROUP HONG KONG,HONG KONG,None
ASPSHKH1,36,ASIAN PACIFIC SECURITIES CO,HONG KONG,None
ASMPHKH1,37,AT ASSET MANAGEMENT (ASIA-PACIFIC) LIMITED,HONG KONG,None
AUDCHKH1,38,AUDREY CHOW SECURITIES LIMITED,HONG KONG,None
ANZBHKHX,39,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,HONG KONG,None
ANZBHKHXAAL,40,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,HONG KONG,None
ASLSHKH1,41,AUTOMATED SYSTEMS (HK) LIMITED,HONG KONG,None
NMFMHKH1,42,AXA INVESTMENT MANAGERS ASIA LIMITED,HONG KONG,None
AXIMHKH1,43,AXIOM INVESTMENT MANAGEMENT LIMITED,HONG KONG,None
AXOMHKH1,44,AXIOM LIMITED,HONG KONG,None
AXCEHKH1,45,AXIOS CREDIT LIMITED,SHEUNG WAN,None
AXISHKHH,46,AXIS BANK LIMITED,HONG KONG,None
UTIBHKH1,47,AXIS BANK LTD (FORMERLY UTI BANK LTD),HONG KONG,None
AXTIHKH1,48,AXT II LTD,HONG KONG,None
BNPHHKH1,49,B.N.P. SECURITIES (HK) LTD,HONG KONG,None
HONKHKH1,50,BA FINANCE (HONG KONG) LIMITED,KOWLOON,None
BLLSHKH1,51,BALI SECURITIES CO. LIMITED,HONG KONG,None
BAHEHKH1,52,BAN HIN SECURITIES COMPANY LIMITED,HONG KONG,None
BOFAHKHUDBT,53,BANC OF AMERICA SECURITIES ASIA LIMITED,HONG KONG,(HONG KONG)
BOFAHKHUFXD,54,BANC OF AMERICA SECURITIES ASIA LIMITED,HONG KONG,(HONG KONG)
ASLDHKH1,55,BANC OF AMERICA SECURITIES ASIA LIMITED,HONG KONG,None
BOFAHKHU,56,BANC OF AMERICA SECURITIES ASIA LIMITED,HONG KONG,None
BOFAHKHUTRS,57,BANC OF AMERICA SECURITIES ASIA LIMITED,HONG KONG,None
PASCHKHH,58,BANCA MONTE DEI PASCHI DI SIENA SPA HONG KONG,HONG KONG,None
BBVAHKHH,59,BANCO BILBAO VIZCAYA ARGENTARIA, S.A., HONG KONG BRANCH,KOWLOON,None
BSCHHKHH,60,BANCO SANTANDER, S.A. HONG KONG BRANCH,HONG KONG,(HEAD OFFICE IN HONG KONG)
BKKBHKHH,61,BANGKOK BANK PUBLIC COMPANY LIMITED HONG KONG BRANCH,HONG KONG,None
BCTCHKHH,62,BANK CONSORTIUM TRUST COMPANY LIMITED,HONG KONG,None
SARAHKHH,63,BANK J. SAFRA SARASIN LTD, HONG KONG BRANCH,HONG KONG,None
BAERHKHH,64,BANK JULIUS BAER AND CO. LTD.,HONG KONG,None
BNINHKHH,65,BANK NEGARA INDONESIA (PERSERO) PT.,HONG KONG,None
BOFAHKHXAAM,66,BANK OF AMERICA, N.A. HONG KONG,HONG KONG,(ASIA AGENCY MANAGEMENT)
BOFAHKHXSWP,67,BANK OF AMERICA, N.A. HONG KONG,HONG KONG,(BOA SECURITIES ASIA)
BOFAHKHXEMG,68,BANK OF AMERICA, N.A. HONG KONG,HONG KONG,(EMERGING MARKETS GROUP)
BOFAHKHXFIO,69,BANK OF AMERICA, N.A. HONG KONG,HONG KONG,(FIXED INCOME OPS)
BOFAHKHXGMG,70,BANK OF AMERICA, N.A. HONG KONG,HONG KONG,(GMG HK-FX)
BOFAHKHX,71,BANK OF AMERICA, N.A. HONG KONG,HONG KONG,None
BOFAHKHXSEC,72,BANK OF AMERICA, N.A. HONG KONG,HONG KONG,None
IBLFHKH1,73,BANK OF BARODA (HONG KONG) LIMITED,HONG KONG,None
BOBIHKHH,74,BANK OF BARODA, HONG KONG,HONG KONG,None
BKCHHKHHCLS,75,BANK OF CHINA (HONG KONG) LIMITED,HONG KONG,(CLS CONTROL BRANCH)
BKCHHKHHCSS,76,BANK OF CHINA (HONG KONG) LIMITED,HONG KONG,(CUSTODY DIVISION)
BKCHHKHH838,77,BANK OF CHINA (HONG KONG) LIMITED,HONG KONG,(RENMINBI CLEARING CENTRE)
BKCHHKHH,78,BANK OF CHINA (HONG KONG) LIMITED,HONG KONG,None
CDFCHKHHFPX,79,BANK OF CHINA INTERNATIONAL LIMITED,HONG KONG,(BOCI FINANCIAL PRODUCTS)
