swift_code,id,bank,city,branch
HAABHR22,1,ADDIKO BANK D.D.,ZAGREB,None
AGBOHR21,2,AGRAM BROKERI D.D.,ZAGREB,None
AKBDHR21,3,AKTIV BROKER D.O.O.,ZAGREB,None
ALLNHR21,4,ALLIANZ B,ZAGREB,None
ANBOHR21,5,ANTEA BROKERI D.O.O.,ZAGREB,None
AUDOHR21,6,AUCTOR D.O.O.,ZAGREB,None
SKOVHR22,7,BANKA KOVANICA D.D.,VARAZDIN,None
BATSHR21,8,BAT HRVATSKA D.O.O.,ZAGREB,None
BFKKHR22,9,BKS BANK AG, GLAVNA PODRUZNICA HRVATSKA,RIJEKA,None
CDDOHR21,10,CREDOS D.O.O.,ZAGREB,None
CROAHR2X,11,CROATIA BANKA D.D.,ZAGREB,None
HKBOHR2X,12,CROATIAN BANK FOR RECONSTRUCTION AND DEVELOPMENT/HBOR/,ZAGREB,None
ESBCHR22,13,ERSTE AND STEIERMAERKISCHE BANK D.D.,RIJEKA,None
FMVZHR21,14,FIMA SECURITIES LTD,VARAZDIN,None
FNAGHR22,15,FINANCIJSKA AGENCIJA,ZAGREB,None
GGNRHR21,16,GREENHOUSE GASES NATIONAL REGISTRY,ZAGREB,None
HIVRHR21,17,HITA VRIJEDNOSNICE D.D,ZAGREB,None
NBHRHR2D,18,HRVATSKA NARODNA BANKA (CROATIAN NATIONAL BANK),ZAGREB,(DOMESTIC PAYMENT SYSTEM)
NBHRHR2X,19,HRVATSKA NARODNA BANKA (CROATIAN NATIONAL BANK),ZAGREB,None
NBHRHR2XEUX,20,HRVATSKA NARODNA BANKA (CROATIAN NATIONAL BANK),ZAGREB,None
HPBZHR2X,21,HRVATSKA POSTANSKA BANKA D.D.,ZAGREB,None
ICMMHR21,22,ICAM LTD,ZAGREB,None
IMXXHR22,23,IMEX BANKA LTD.,SPLIT,None
INUIHR21,24,INTERCAPITAL SECURITIES LTD.,ZAGREB,None
INUIHR22,25,INTERCAPITAL SECURITIES LTD.,ZAGREB,None
IDISHR21,26,INTERNATIONAL DISCOVERY LTD,ZAGREB,None
ISKBHR2X,27,ISTARSKA KREDITNA BANKA JOINT STOCK COMPANY,UMAG,None
VBVZHR22,28,J AND T BANKA D.D.,VARAZDIN,None
JADRHR2X,29,JADRANSKA BANKA D.D. SIBENIK,SIBENIK,None
JUMDHR21,30,JUR-PROM MOTO D.O.O.,ZAGREB,None
