swift_code,id,bank,city,branch
BRHAHTPP,1,BANQUE DE LA REPUBLIQUE D'HAITI,PORT AU PRINCE,None
BUHEHTPP,2,BANQUE DE L'UNION HAITIENNE,PORT AU PRINCE,None
BDPCHTP1,3,BANQUE DE PROMOTION COMMERCIALE ET INDUSTRIELLE S.A.,PETION-VILLE,None
BNCHHTPP,4,BANQUE NATIONALE DE CREDIT (BNC),PORT AU PRINCE,None
BNDIHT21,5,BANQUE NATIONALE DE DEVELOPPEMENT AGRICOLE ET INDUSTRIEL,CAP-HAITIEN,None
BNPAHTP1,6,BANQUE NATIONALE DE PARIS,PORT AU PRINCE,None
CNPTHTP1,7,CANGE PLATEAU-CENTRAL BANQUE,CANGE,None
CPPLHTPP,8,CAPITAL BANK S.A.,PORT AU PRINCE,None
CITIHTP1,9,CITIBANK N.A,PORT AU PRINCE,None
SOGHHTP1023,10,SOCIETE GENERALE HAITIENNE DE BANQUE S.A.,PETION-VILLE,None
SOGHHTP1022,11,SOCIETE GENERALE HAITIENNE DE BANQUE S.A.,PORT AU PRINCE,(DELMAS BRANCH)
SOGHHTPP,12,SOCIETE GENERALE HAITIENNE DE BANQUE S.A.,PORT AU PRINCE,None
NOSCHTPP,13,UNIBANK S.A.,PETION-VILLE,None
UBNKHTPP,14,UNIBANK S.A.,PETION-VILLE,None
