swift_code,id,bank,city,branch
AIFMHUH1,1,ACCESS INVESTMENT FUND MANAGEMENT COMPANY LTD.,BUDAPEST,None
AHIFHUH1,2,AEGON HUNGARY INVESTMENT FUND MANAGEMENT COMPANY LTD.,BUDAPEST,None
AMBJHUH1,3,AEGON MAGYARORSZAG BEFEKTETESI JEGY FORGALMAZO ZRT.,BUDAPEST,None
AGRFHUH1AAA,4,AGRIBROKER KFT.,BUDAPEST,(HEAD OFFICE)
AGRFHUH1,5,AGRIBROKER KFT.,BUDAPEST,None
AGKFHUH1,6,AGRIMPEX KFT.,BUDAPEST,None
AGZRHUH1MMD,7,AGROKONT ZRT.,BUDAPEST,(MANAGEMENT)
AGZRHUH1,8,AGROKONT ZRT.,BUDAPEST,None
ALZRHUH1,9,ALAPFORGALMAZO ZRT,BUDAPEST,None
AKKHHUHB,10,ALLAMADOSSAG KEZELO KOZPONT RT.,BUDAPEST,None
AMBLHUH1,11,AXA MAGYARORORSZAG BEFEKTETESI ALAPKEZELO ZRT,BUDAPEST,None
BKCHHUHB,12,BANK OF CHINA (HUNGARY) LTD,BUDAPEST,None
BKCHHUHH,13,BANK OF CHINA LIMITED HUNGARIAN BRANCH,BUDAPEST,None
BABFHUH1,14,BANKAR BEFEKTETESI RT,BUDAPEST,None
BISIHUH1,15,BIZTONSAG INVEST SECURITIES INC.,BUDAPEST,None
BDEKHUH1,16,BNP DRESDNER ERTEKPAPIR RT,BUDAPEST,None
PARBHUHX,17,BNP PARIBAS SECURITIES HUNGARY BRANCH,BUDAPEST,None
BNPAHUHX,18,BNP PARIBAS, HUNGARY BRANCH,BUDAPEST,None
BBZMHUH1,19,BUDA-CASH BROKERHAZ ZARTKORUEN MUKODO RESZVENYTARSASAG,BUDAPEST,None
BUAZHUH1,20,BUDAPEST ALAPKEZELO ZRT.,BUDAPEST,None
BUDAHUHB,21,BUDAPEST BANK RT.,BUDAPEST,None
XBCEHUH1,22,BUDAPEST COMMODITY EXCHANGE,BUDAPEST,None
BIMCHUH1,23,BUDAPEST INVESTMENT MANAGEMENT COMPANY LTD.,BUDAPEST,None
XBUDHUH1,24,BUDAPESTI ERTEKT ZSDE ZARTKOER EN M KOED RESZVENYTARSASAG,BUDAPEST,None
IFMAHUH1,25,CA IB INVESTMENT FUND MANAGEMENT LTD.,BUDAPEST,None
CLINHUH1,26,CASHLINE ERTEKPAPIR ZARTKOER EN M KOED RESZVENYTARSASAG,BUDAPEST,None
CEBRHUH1001,27,CE CENTRAL EUROPEAN BROKER LTD.,BUDAPEST,(HEAD OFFICE)
CEBRHUH1,28,CE CENTRAL EUROPEAN BROKER LTD.,BUDAPEST,None
CCSNHUH1,29,CEE ACTIVE ASSET MANAGEMENT ZRT,BUDAPEST,None
CIBHHUHB,30,CIB BANK LTD. (FORMERLY CENTRAL-EUROPEAN INT.BANK LTD.),BUDAPEST,None
CINNHUH1,31,CIB INVESTMENT FUND MANAGEMENT COMPANY LTD.,BUDAPEST,None
CITIHUHXCUS,32,CITIBANK EUROPE PLC HUNGARIAN BRANCH,BUDAPEST,(CUSTODY DEPARTMENT)
CITIHUHXTRD,33,CITIBANK EUROPE PLC HUNGARIAN BRANCH,BUDAPEST,(TRADE SERVICES DEPT.)
CITIHUHX,34,CITIBANK EUROPE PLC HUNGARIAN BRANCH,BUDAPEST,None
CEEZHUH1SMK,35,CODEX ERTEKTAR ES ERTEKPAPIR ZRT.,BUDAPEST,(SECURITIES MARKETS)
CEEZHUH1,36,CODEX ERTEKTAR ES ERTEKPAPIR ZRT.,BUDAPEST,None
COBAHUHX,37,COMMERZBANK (BUDAPEST) RT.,BUDAPEST,None
COEGHUH1,38,CONCORDE ERTEKPAPIR UGYNOKSEG RT,BUDAPEST,None
CIUAHUH1,39,CONCORDE INVESTMENT FUND MANAGEMENT COMPANY LTD.,BUDAPEST,None
CSBUHUH1,40,CREDIT SUISSE - BUDAPEST,BUDAPEST,None
CSAGHUH1,41,CREDIT SUISSE ASSET MANAGEMENT HUNGARY INVESTMENT FUND MANAGEMENT COMPANY LTD.,BUDAPEST,None
DEUTHU2B,42,DEUTSCHE BANK AG HUNGARY BRANCH,BUDAPEST,None
