swift_code,id,bank,city,branch
ABPEIDJ1,1,ABADI PRISMA EKAMANDIRI, PT,JAKARTA,None
ABSDIDJ1,2,ABADI SEKURITAS ADIMASA, PT,JAKARTA,None
ADISIDJ1,3,ADITHYA SECURINVEST, PT,JAKARTA,None
AGRPIDJ1,4,AGRIDHANASATYA PERMATA, PT,JAKARTA,None
AGCCIDJ1,5,AGUNG CAHAYA CENDANA, PT,JAKARTA,None
AGSIIDJ1,6,AGUNG SECURITIES INDONESIA, PT,JAKARTA,None
AKSKIDJ1,7,AKSARA KENCANA, PT,JAKARTA,None
AKSKIDJ10JD,8,AKSARA KENCANA, PT,SURABAYA,None
ALDCIDJ1,9,ALDIRACITA CORPOTAMA, PT,JAKARTA,None
AMCEIDJ1,10,AMCOL SEKURINDO, PT,JAKARTA,None
AMSNIDJ1,11,AMSINDO NUSANTARA, PT,JAKARTA,None
ANEKIDJ1,12,ANEKA KELOLADANA, PT,JAKARTA,None
ANESIDJ1,13,ANEKAREKSA SECURITIES CORP, PT,JAKARTA,None
ANDMIDJ1,14,ANTAR DHANA MASA, PT,JAKARTA,None
ANSIIDJ1,15,ANUGERAH SECURINDO INDAH, PT,JAKARTA,None
APERIDJ1,16,APERDI, PT,JAKARTA,None
ALABIDJ1,17,ARBUTHNOT LATHAM BANK LTD.,JAKARTA,None
ARAEIDJ1,18,ARGA ARTHA SECURITAS, PT,JAKARTA,None
ARGSIDJ1,19,ARTA GITASEJAHTERA SEKURITAS, PT,JAKARTA,None
ARTDIDJ1,20,ARTHA ADYANUGRAHA, PT,JAKARTA,None
ARDPIDJ1,21,ARTHA DWIPA PERSADA PT,JAKARTA,None
ARSRIDJ1,22,ARTHA SECURITIES PRIMA, PT,JAKARTA,None
ARPSIDJ1,23,ARYA PRADA SEKURITAS, PT,JAKARTA,None
ARSFIDJ1,24,ARYA SHINTA FINANCE,JAKARTA,None
ASEIIDJ1,25,ASEAM INDONESIA, PT,JAKARTA,None
ASITIDJ1,26,ASIA KAPITALINDO, PT,JAKARTA,None
ASDBIDJ1,27,ASIAN DEVELOPMENT BANK,JAKARTA,None
ASIUIDJ1,28,ASIANA SECURITIES, PT,JAKARTA,None
ASNSIDJ1,29,ASJAYA INDOSURYA SECURITIES, PT,JAKARTA,None
ASPUIDJ1,30,ASPAC UPPINDO,PT,JAKARTA,None
ASPNIDJ1,31,ASPRINA PRIMA SENTOSA,PT,JAKARTA,None
ASTSIDJ1,32,ASTRA SECURITIES,PT,JAKARTA,None
BAHGIDJ1,33,BAHAMINDO GUNA,JAKARTA,None
BAEUIDJ1,34,BAHANA SECURITIES, PT,JAKARTA,None
BAKSIDJ1,35,BAKRIE SECURITIES,JAKARTA,None
BKKBIDJA,36,BANGKOK BANK PUBLIC COMPANY LIMITED,JAKARTA,None
AGASIDJ1,37,BANK AGUNG ASIA,JAKARTA,None
ANZBIDJX,38,BANK ANZ INDONESIA, P.T.,JAKARTA,None
ARNKIDJ1,39,BANK ARTA NIAGA KENCANA,SURABAYA,None
ARTGIDJA,40,BANK ARTHA GRAHA INTERNASIONAL TBK, PT,JAKARTA,None
BNPAIDJA,41,BANK BNP PARIBAS INDONESIA, PT,JAKARTA,None
CENAIDJA,42,BANK CENTRAL ASIA,JAKARTA,None
CTCBIDJABDG,43,BANK CTBC INDONESIA, PT,BANDUNG,(BANDUNG BRANCH)
CTCBIDJA,44,BANK CTBC INDONESIA, PT,JAKARTA,None
CTCBIDJASBY,45,BANK CTBC INDONESIA, PT,SURABAYA,(SURABAYA BRANCH)
DBSBIDJAIBD,46,BANK DBS INDONESIA, PT,JAKARTA,(JAKARTA BRANCH)
DBSBIDJA,47,BANK DBS INDONESIA, PT,JAKARTA,None
DBSBIDJASBY,48,BANK DBS INDONESIA, PT,SURABAYA,(SYRABAYA BRANCH)
BDKIIDJA,49,BANK DKI, PT.,JAKARTA,None
INDOIDJA,50,BANK INDONESIA,JAKARTA,None
DJARIDJ1,51,BANK JASA ARTA PT,JAKARTA,None
PDJGIDJA,52,BANK JATENG,SEMARANG,None
KESBIDS1,53,BANK KESAWAN PT TBK,JAKARTA,None
BMRIIDJA852,54,BANK MANDIRI (PERSERO), PT,BANDUNG,(BILLS PROCESSING CENTER BANDUNG)
BMRIIDJA107,55,BANK MANDIRI (PERSERO), PT,JAKARTA,(BILLS PROCESSING CENTER JAKARTA)
BMRIIDJACUS,56,BANK MANDIRI (PERSERO), PT,JAKARTA,(HEAD OFFICE-CUSTODIAL SERVICES)
BMRIIDJAEXM,57,BANK MANDIRI (PERSERO), PT,JAKARTA,(HEAD OFFICE-EXPORT/IMPORT DEPT)
BMRIIDJASTL,58,BANK MANDIRI (PERSERO), PT,JAKARTA,(HEAD OFFICE-SETTLEMENT DEPT)
BMRIIDJA,59,BANK MANDIRI (PERSERO), PT,JAKARTA,None
BMRIIDJA853,60,BANK MANDIRI (PERSERO), PT,MEDAN,(BILLS PROCESSING CENTER MEDAN)
BMRIIDJA854,61,BANK MANDIRI (PERSERO), PT,SEMARANG,(BILLS PROCESSING CENTER SEMARANG)
BMRIIDJA851,62,BANK MANDIRI (PERSERO), PT,SURABAYA,(BILLS PROCESSING CENTER SURABAYA)
MAPEIDJ1,63,BANK MAYINDO PERTAMA,JAKARTA,None
MEGAIDJA,64,BANK MEGA PT,JAKARTA,None
KBNKIDJ1,65,BANK MEGA PT. TBK.,JAKARTA,None
BMDMIDJA,66,BANK MESTIKA DHARMA,MEDAN,None
MGABIDJ1,67,BANK MITRANIAGA PT,JAKARTA,None
MHCCIDJA,68,BANK MIZUHO INDONESIA, PT.,JAKARTA,None
NBNKIDJ1,69,BANK NASIONAL,BUKITTINGGI,None
BNINIDJAABN,70,BANK NEGARA INDONESIA - PT (PERSERO),AMBON,(AMBON BRANCH)
BNINIDJABLG,71,BANK NEGARA INDONESIA - PT (PERSERO),BALIGE,(BALIGE BRANCH)
BNINIDJABPN,72,BANK NEGARA INDONESIA - PT (PERSERO),BALIKPAPAN,(BALIKPAPAN BRANCH)
BNINIDJAPSB,73,BANK NEGARA INDONESIA - PT (PERSERO),BALIKPAPAN,(PANDANSARI BRANCH)
BNINIDJABDA,74,BANK NEGARA INDONESIA - PT (PERSERO),BANDA ACEH,(BANDA ACEH BRANCH)
BNINIDJABDL,75,BANK NEGARA INDONESIA - PT (PERSERO),BANDAR LAMPUNG,(BANDAR LAMPUNG BRANCH)
BNINIDJAAYI,76,BANK NEGARA INDONESIA - PT (PERSERO),BANDUNG,(AHMAD YANI BRANCH)
BNINIDJABDG,77,BANK NEGARA INDONESIA - PT (PERSERO),BANDUNG,(BANDUNG BRANCH)
BNINIDJAIKB,78,BANK NEGARA INDONESIA - PT (PERSERO),BANDUNG,(IKIP BANDUNG BRANCH)
BNINIDJAITB,79,BANK NEGARA INDONESIA - PT (PERSERO),BANDUNG,(ITB BRANCH)
BNINIDJAJJS,80,BANK NEGARA INDONESIA - PT (PERSERO),BANDUNG,(JALAN JENDRAL SUDIRMAN BRANCH)
BNINIDJAJPK,81,BANK NEGARA INDONESIA - PT (PERSERO),BANDUNG,(JALAN PERINTIS KEMERDEKAAN BANDUNG BRANCH)
BNINIDJAUPB,82,BANK NEGARA INDONESIA - PT (PERSERO),BANDUNG,(UNPAD BR. BDG.)
BNINIDJABKO,83,BANK NEGARA INDONESIA - PT (PERSERO),BANGKO,(BANGKO BRANCH)
BNINIDJABJR,84,BANK NEGARA INDONESIA - PT (PERSERO),BANJAR,(BANJAR BRANCH)
BNINIDJABBR,85,BANK NEGARA INDONESIA - PT (PERSERO),BANJARBARU,(BANJARBARU BRANCH)
BNINIDJABMS,86,BANK NEGARA INDONESIA - PT (PERSERO),BANJARMASIN,(BANJARMASIN BRANCH)
BNINIDJAPAB,87,BANK NEGARA INDONESIA - PT (PERSERO),BANJARMASIN,(PANGERAN ANTASARI BRANCH)
BNINIDJABWI,88,BANK NEGARA INDONESIA - PT (PERSERO),BANYUWANGI,(BANYUWANGI BRANCH)
BNINIDJABBI,89,BANK NEGARA INDONESIA - PT (PERSERO),BARABAI,(BARABAI BRANCH)
BNINIDJABTM,90,BANK NEGARA INDONESIA - PT (PERSERO),BATAM,(BATAM BRANCH)
BNINIDJABTR,91,BANK NEGARA INDONESIA - PT (PERSERO),BATURAJA,(BATURAJA BRANCH)
BNINIDJABAU,92,BANK NEGARA INDONESIA - PT (PERSERO),BAU-BAU,(BAU-BAU BRANCH)
BNINIDJABKS,93,BANK NEGARA INDONESIA - PT (PERSERO),BEKASI,(BEKASI BRANCH)
BNINIDJABLW,94,BANK NEGARA INDONESIA - PT (PERSERO),BELAWAN,(BELAWAN BRANCH)
BNINIDJABKL,95,BANK NEGARA INDONESIA - PT (PERSERO),BENGKULU,(BENGKULU BRANCH)
BNINIDJABIK,96,BANK NEGARA INDONESIA - PT (PERSERO),BIAK,(BIAK BRANCH)
BNINIDJABMA,97,BANK NEGARA INDONESIA - PT (PERSERO),BIMA,(BIMA BRANCH)
BNINIDJABRN,98,BANK NEGARA INDONESIA - PT (PERSERO),BIREUN,(BIREUN BRANCH)
BNINIDJABIT,99,BANK NEGARA INDONESIA - PT (PERSERO),BITUNG,(BITUNG BRANCH)
BNINIDJABLT,100,BANK NEGARA INDONESIA - PT (PERSERO),BLITAR,(BLITAR BRANCH)
BNINIDJABGR,101,BANK NEGARA INDONESIA - PT (PERSERO),BOGOR,(BOGOR BRANCH)
BNINIDJABRO,102,BANK NEGARA INDONESIA - PT (PERSERO),BOJONEGORO,(BOJONEGORO BRANCH)
BNINIDJABDO,103,BANK NEGARA INDONESIA - PT (PERSERO),BONDOWOSO,(BONDOWOSO BRANCH)
BNINIDJABTG,104,BANK NEGARA INDONESIA - PT (PERSERO),BUKITTINGGI,(BUKITTINGGI BRANCH)
BNINIDJACPU,105,BANK NEGARA INDONESIA - PT (PERSERO),CEPU,(CEPU BRANCH)
BNINIDJACAM,106,BANK NEGARA INDONESIA - PT (PERSERO),CIAMIS,(CIAMIS BRANCH)
BNINIDJACJR,107,BANK NEGARA INDONESIA - PT (PERSERO),CIANJUR,(CIANJUR BRANCH)
BNINIDJACKP,108,BANK NEGARA INDONESIA - PT (PERSERO),CIKAMPEK,(CIKAMPEK BRANCH)
BNINIDJACLP,109,BANK NEGARA INDONESIA - PT (PERSERO),CILACAP,(CILACAP BRANCH)
BNINIDJACLG,110,BANK NEGARA INDONESIA - PT (PERSERO),CILEGON,(CILEGON BRANCH)
BNINIDJACMI,111,BANK NEGARA INDONESIA - PT (PERSERO),CIMAHI,(CIMAHI BDG. BRANCH)
BNINIDJACRB,112,BANK NEGARA INDONESIA - PT (PERSERO),CIREBON,(CIREBON BRANCH)
BNINIDJADPS,113,BANK NEGARA INDONESIA - PT (PERSERO),DENPASAR,(DENPASAR BRANCH)
BNINIDJARNN,114,BANK NEGARA INDONESIA - PT (PERSERO),DENPASAR,(RENON BRANCH)
BNINIDJAMGD,115,BANK NEGARA INDONESIA - PT (PERSERO),DEPOK,(MARGONDA BRANCH)
BNINIDJADLI,116,BANK NEGARA INDONESIA - PT (PERSERO),DILI,(DILI-EAST TIM)
BNINIDJADMI,117,BANK NEGARA INDONESIA - PT (PERSERO),DUMAI,(DUMAI BRANCH)
BNINIDJAEND,118,BANK NEGARA INDONESIA - PT (PERSERO),ENDE,(ENDE BR. NTT.)
BNINIDJAGRT,119,BANK NEGARA INDONESIA - PT (PERSERO),GARUT,(GARUT BRANCH)
BNINIDJAGTL,120,BANK NEGARA INDONESIA - PT (PERSERO),GORONTALO,(GORONTALO BRANCH)
BNINIDJAGRK,121,BANK NEGARA INDONESIA - PT (PERSERO),GRESIK,(GRESIK BRANCH)
BNINIDJAGST,122,BANK NEGARA INDONESIA - PT (PERSERO),GUNUNG SITOLI,(GUNUNG SITOLI BRANCH)
BNINIDJAIDR,123,BANK NEGARA INDONESIA - PT (PERSERO),INDRAMAYU,(INDRAMAYU BRANCH)
BNINIDJABSH,124,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,(BANDARA SUKARNO HATTA BRANCH)
BNINIDJADMG,125,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,(DAAN MOGOT BRANCH)
BNINIDJADKB,126,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,(DUKUH BAWAH LANDMARK BRANCH)
BNINIDJAFMI,127,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,(FATMAWATI BRANCH)
BNINIDJAGBR,128,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,(GAMBIR BRANCH)
BNINIDJAGNS,129,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,(GUNUNG SAHARI BRANCH)
