swift_code,id,bank,city,branch
ASRUIE21,1,A.C.C. STAFF CREDIT UNION LIMITED,DUBLIN,None
ANUNIE21,2,A.N.S.A.C.CREDIT UNION LIMITED,DUBLIN,None
ASRNIE21,3,A.S.T.I. CREDIT UNION LIMITED,DUBLIN,None
AARBIE21,4,AAREAL BANK AG, DUBLIN BRANCH,DUBLIN,None
ABAPIE21,5,ABBEY CAPITAL LTD,DUBLIN,None
ABRUIE21,6,ABBEYFEALE CREDIT UNION LIMITED,ABBEYFEALE,None
CPATIE21,7,AC CAPITAL PARTNERS LTD,DUBLIN,None
ACCBIE2D,8,ACC LOAN MANAGEMENT DAC,DUBLIN,None
ACNTIE2D,9,ACCENTURE,DUBLIN,None
ACCUIE21,10,ACHILL CREDIT UNION LIMITED,ACHILL,None
AIBKIE2E,11,ADVANCE INVESTMENT MANAGERS LIMITED,DUBLIN,None
AIBKIE31,12,ADVANCE INVESTMENT MANAGERS LIMITED,DUBLIN,None
AIBKIE2D,13,AIB BANK,DUBLIN,None
AICMIE21,14,AIB CAPITAL MARKETS PLC,DUBLIN,None
ACMOIE21,15,AIB CAPITAL MARKETS PUBLIC LIMITED COMPANY,DUBLIN,None
AIFIIE21,16,AIB FINANCE LIMITED,DUBLIN,None
AIMBIE21,17,AIB MORTGAGE BANK,DUBLIN,None
AGITIE21CUS,18,AIG ASSET MANAGEMENT (IRELAND) LIMITED,DUBLIN,(CUSTODIAN)
AGITIE21,19,AIG ASSET MANAGEMENT (IRELAND) LIMITED,DUBLIN,None
AIGCIE21,20,AIG INVESTMENTS IRELAND LIMITED,DUBLIN,None
ALGFIE21,21,ALNISTA GROWTH FUND INC,DUBLIN,None
EMCNIE21,22,AN POST EMPLOYEES' CREDIT UNION LIMITED,DUBLIN,None
PSTSIE21,23,AN POST OR, IN THE ENGLISH LANGUAGE, THE POST OFFCE,DUBLIN,None
ANCUIE21,24,ANNADUFF CREDIT UNION LIMITED,DROMOD,None
AFRNIE21,25,ANP INTERNATIONAL FINANCE LTD,DUBLIN,None
AOCUIE21,26,AONACH CREDIT UNION LIMITED,DUBLIN,None
AFSIIE21,27,APEX FUND SERVICES (IRELAND) LIMITED,DUBLIN,None
ARRIIE21,28,ARAINN CREDIT UNION LIMITED,KILRONAN,None
ARRPIE21,29,ARCH REINSURANCE EUROPE,DUBLIN,None
ARCUIE21,30,ARDEE CREDIT UNION LIMITED,ARDEE,None
ARRNIE21,31,ARDFINNAN CREDIT UNION LIMITED,CLONMEL,None
ARRUIE21,32,ARKLOW CREDIT UNION LIMITED,ARKLOW,None
ATCUIE21,33,ATHBOY CREDIT UNION LIMITED,ATHBOY,None
ADCUIE21,34,ATHEA AND DISTRICT CREDIT UNION LIMITED,ATHEA,None
ATRUIE21,35,ATHENRY CREDIT UNION LIMITED,ATHENRY,None
ATROIE21,36,ATHLONE CREDIT UNION LIMITED,ATHLONE,None
ATEUIE21,37,ATHY CREDIT UNION LIMITED,ATHY,None
ASPDIE21,38,AUGHRIM STREET PARISH AND DISTRICT CREDIT UNION LIMITED,DUBLIN,None
AVACIE21,39,AVA CAPITAL MARKETS LTD,DUBLIN,None
AVCUIE21,40,AVONMORE CREDIT UNION LIMITED,RATHDRUM,None
AYCUIE21,41,AYRFIELD CREDIT UNION LIMITED,DUBLIN,None
CRUNIE21,42,B AND S CREDIT UNION LIMITED,BALLYBOFEY,None
BCPKIE21,43,B.C.P. STOCKBROKERS LIMITED,DUBLIN,None
BHCUIE21,44,B.H.K. CREDIT UNION LIMITED,DUNDALK,None
BGCUIE21,45,BAGENALSTOWN CREDIT UNION LIMITED,BAGENALSTOWN,None
BDCUIE21,46,BALLAGHADERREEN AND DISTRICT CREDIT UNION LIMITED,BALLAGHADERREEN,None
BLCIIE21,47,BALLINA CREDIT UNION LIMITED,BALLINA,None
BLRUIE21,48,BALLINAMORE CREDIT UNION LIMITED,BALLINAMORE,None
BCUOIE21,49,BALLINASLOE CREDIT UNION (OUR LADY OF LOURDES) LIMITED,BALLINASLOE,None
BLRNIE21,50,BALLINCOLLIG CREDIT UNION LIMITED,BALLINCOLLIG,None
BCRUIE21,51,BALLINLOUGH CREDIT UNION LIMITED,CORK,None
BLROIE21,52,BALLIVOR-KILDALKEY CREDIT UNION LIMITED,BALLIVOR,None
BRCUIE21,53,BALLON AND RATHOE CREDIT UNION LIMITED,BALLON,None
BLENIE21,54,BALLYBAY CREDIT UNION LIMITED,BALLYBAY,None
BLEIIE21,55,BALLYBUNION CREDIT UNION LIMITED,BALLYBUNION,None
BLTOIE21,56,BALLYCONNELL CREDIT UNION LIMITED,BALLYCONNELL,None
BLTUIE21,57,BALLYFERMOT CREDIT UNION LIMITED,DUBLIN,None
BLTNIE21,58,BALLYGALL CREDIT UNION LIMITED,DUBLIN,None
BDCIIE21,59,BALLYHAUNIS AND DISTRICT CREDIT UNION LIMITED,BALLYHAUNIS,None
BLDUIE21,60,BALLYJAMESDUFF CREDIT UNION LIMITED,BALLYJAMESDUFF,None
BDCOIE21,61,BALLYMAHON AND DISTRICT CREDIT UNION LIMITED,BALLYMAHON,None
BDCLIE21,62,BALLYMOTE AND DISTRICT CREDIT UNION LIMITED,BALLYMOTE,None
BLDNIE21,63,BALLYMUN CREDIT UNION LIMITED,BALLYMUN,None
BLTIIE21,64,BALLYMURN CREDIT UNION LIMITED,ENNISCORTHY,None
BCDUIE21,65,BALLYPHEHANE CREDIT UNION LIMITED,CORK,None
BDRUIE21,66,BALLYRAGGET AND DISTRICT CREDIT UNION LIMITED,BALLYRAGGET,None
BLDIIE21,67,BALLYSHANNON AND KILLYBEGS CREDIT UNION LIMITED,DONEGAL TOWN,None
BLDOIE21,68,BALTINGLASS CREDIT UNION LIMITED,BALTINGLASS,None
BNCUIE21,69,BANAGHER CREDIT UNION LIMITED,BANAGHER,None
BNCNIE21,70,BANDON CREDIT UNION LIMITED,BANDON,None
MLMBIE2XFUT,71,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL DESIGNATED ACTIVITY COMPANY,DUBLIN,(FUTURES)
MLMBIE2XLON,72,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL DESIGNATED ACTIVITY COMPANY,DUBLIN,(LOANS)
MLMBIE2DMCS,73,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL DESIGNATED ACTIVITY COMPANY,DUBLIN,(ML COMMODITIES INC.)
MLMBIE2XMSO,74,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL DESIGNATED ACTIVITY COMPANY,DUBLIN,(ML SECURITIES OOO)
MLMBIE2XFFO,75,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL DESIGNATED ACTIVITY COMPANY,DUBLIN,(MLI CLEARED DERIVATIVES)
MLMBIE2XIST,76,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL DESIGNATED ACTIVITY COMPANY,DUBLIN,(MLMD)
MLMBIE2XMTB,77,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL DESIGNATED ACTIVITY COMPANY,DUBLIN,(MLT BROKERAGE PROPRIETARY TRADING SERVICES DEPARTMENT)
MLMBIE2XMET,78,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL DESIGNATED ACTIVITY COMPANY,DUBLIN,(PRECIOUS METALS BRANCH)
MLMBIE2XTSY,79,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL DESIGNATED ACTIVITY COMPANY,DUBLIN,(TREASURY)
MLMBIE2D,80,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL DESIGNATED ACTIVITY COMPANY,DUBLIN,None
MLMBIE2X,81,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL DESIGNATED ACTIVITY COMPANY,DUBLIN,None
MLMBIE2XITL,82,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL DESIGNATED ACTIVITY COMPANY,DUBLIN,None
BOFAIE3XGDS,83,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LIMITED,DUBLIN,(GLOBAL DERRIVATIVE SETTLEMENTS)
BOFAIE3XIFS,84,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LIMITED,DUBLIN,(INTERNATIONAL FINANCIAL SERVICE CENTRE)
BOFAIE3XVAM,85,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LIMITED,DUBLIN,(MANAGED TRANSACTION BANKING SERVICES)
BOFAIE3X,86,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LIMITED,DUBLIN,None
BOFAIE3XEQU,87,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LIMITED,DUBLIN,None
BOFAIE3XSBL,88,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LIMITED,DUBLIN,None
BKCHIE2D,89,BANK OF CHINA (UK)LTD,DUBLIN,None
BOFIIE2D,90,BANK OF IRELAND,DUBLIN,None
BIGTIE2D,91,BANK OF IRELAND (TREASURY),DUBLIN,None
BOFMIE2D,92,BANK OF MONTREAL IRELAND PLC,DUBLIN,None
BKTIIE21,93,BANKERS TRUST INTERNATIONAL PLC (BTI),DUBLIN,None
CAHMIE21,94,BANKIA SA IRISH BRANCH,DUBLIN,None
BNRUIE21,95,BANTRY CREDIT UNION LIMITED,BANTRY,None
BARCIE2D,96,BARCLAYS BANK IRELAND PLC,DUBLIN,None
BESNIE21,97,BEAR STEARNS BANK PLC,DUBLIN,None
BEEUIE21,98,BELFIELD CREDIT UNION LIMITED,DUBLIN,None
DXIAIE2D,99,BELFIUS BANK SA/NV, DUBLIN BRANCH,DUBLIN,None
BEENIE21,100,BENNETTSBRIDGE CREDIT UNION LIMITED,BENNETTSBRIDGE,None
BERIIE21,101,BEREHAVEN CREDIT UNION LIMITED,CASTLETOWNBERE,None
BIRNIE21,102,BIRR CREDIT UNION LIMITED,BIRR,None
BIRIIE21,103,BISHOPSTOWN CREDIT UNION LIMITED,CORK,None
BREOIE21,104,BLACK RAVEN CREDIT UNION LIMITED,TALLAGHT,None
BLIEIE21,105,BLACKBEE INVESTMENTS LTD,CORK,None
BLIOIE21,106,BLACKPOOL CREDIT UNION LIMITED,CORK,None
BLIUIE21,107,BLACKROCK CREDIT UNION LIMITED,BLACKROCK,None
BDMSIE21,108,BLACKSTONE DIVERSIFIED MULTI- STRATEGY FUND,DUBLIN,None
BDRNIE21,109,BLANCHARDSTOWN AND DISTRICT CREDIT UNION LIMITED,BLANCHARDSTOWN,None
BLIIIE21,110,BLARNEY CREDIT UNION LIMITED,BLARNEY,None
BDRIIE21,111,BLESSINGTON AND DISTRICT CREDIT UNION LIMITED,BLESSINGTON,None
BPLRIE2D,112,BLOOMBERG POLARLAKE LTD,DUBLIN,None
BLOXIE21BKO,113,BLOXHAM STOCKBROKERS,DUBLIN,(BACK OFFICE)
BLOXIE21OBC,114,BLOXHAM STOCKBROKERS,DUBLIN,(MODEL B BUSINESS)
BLOXIE21,115,BLOXHAM STOCKBROKERS,DUBLIN,None
BNPAIE2D,116,BNP PARIBAS IRELAND - DUBLIN BRANCH,DUBLIN,None
BNPBIE2D,117,BNP PARIBAS PRIME BROKERAGE INTERNATIONAL, LIMITED,DUBLIN,None
HNADIE2DDFS,118,BNP PARIBAS SECURITIES SERVICES,DUBLIN,(DUBLIN DEPOSITARY AND FIDUCIARY SERVICES)
HNADIE2DBNP,119,BNP PARIBAS SECURITIES SERVICES,DUBLIN,(SECURITIES SERVICES DUBLIN)
HNADIE2D,120,BNP PARIBAS SECURITIES SERVICES,DUBLIN,None
PARBIE2D,121,BNP PARIBAS SECURITIES SERVICES, DUBLIN,DUBLIN,None
BMFEIE21,122,BNY MELLON FUND SERVICES (IRELAND) LIMITED,DUBLIN,None
MEGFIE21,123,BNY MELLON GLOBAL FUNDS, PUBLIC LIMITED COMPANY,DUBLIN,None
BGECIE21,124,BORD GAIS EMPLOYEES' CREDIT UNION LIMITED,DUBLIN,None
BORUIE21,125,BORRISOKANE CREDIT UNION LIMITED,BORRISOKANE,None
ICIVIE21,126,BOS (IRELAND) FUNDING PUBLIC LIMITED COMPANY,DUBLIN,None
BORNIE21,127,BOYLE CREDIT UNION LIMITED,BOYLE,None
BEPOIE21,128,BPB INTERNATIONAL FINANCE PLC (BANCA POPULARE DI BERGAMO - CV BANKING GROUP),DUBLIN,None
BPMIIE21,129,BPM IRELAND PLC,DUBLIN,None
BPVIIE21,130,BPV FINANCE (INTERNATIONAL) PUBLIC LIMITED COMPAN Y,DUBLIN,None
BIPEIE21,131,BRANDES INVESTMENT PARTNERS (EUROPE,DUBLIN,None
BRRUIE21,132,BRAY CREDIT UNION LIMITED,BRAY,None
BREEIE21,133,BROADSTONE C.I.E. EMPLOYEES' CREDIT UNION LIMITED,DUBLIN,None
BTCUIE21,134,BROOKS THOMAS CREDIT UNION LIMITED,DUBLIN,None
