swift_code,id,bank,city,branch
POALILITCLS,1,BANK HAPOALIM B.M.,TEL-AVIV,(CLS)
POALILITGML,2,BANK HAPOALIM B.M.,TEL-AVIV,(CUSTODIAN FOR PENSION)
POALILITCMN,3,BANK HAPOALIM B.M.,TEL-AVIV,(CUSTOMERS CASH MANAGEMENT)
POALILITFMT,4,BANK HAPOALIM B.M.,TEL-AVIV,(FOREIGN CURRENCY FOR ALL BRANCHES IN ISRAEL)
POALILITSEC,5,BANK HAPOALIM B.M.,TEL-AVIV,(FOREIGN SECURITIES)
POALILITFTD,6,BANK HAPOALIM B.M.,TEL-AVIV,(FOREIGN TRADE FOR ALL BRANCHES IN ISRAEL)
POALILITBKR,7,BANK HAPOALIM B.M.,TEL-AVIV,(FOREX AND MONEY MARKET CONFIRMATIONS)
POALILITDLR,8,BANK HAPOALIM B.M.,TEL-AVIV,(FOREX AND MONEY MARKET PAYMENTS)
POALILITCBS,9,BANK HAPOALIM B.M.,TEL-AVIV,(SECURITIES)
POALILIT,10,BANK HAPOALIM B.M.,TEL-AVIV,None
LUMIILITHAI,11,BANK LEUMI LE ISRAEL B.M.,HAIFA,(HAIFA BRANCH)
LUMIILITJLM,12,BANK LEUMI LE ISRAEL B.M.,JERUSALEM,(JERUSALEM BRANCH)
LUMIILITBSC,13,BANK LEUMI LE ISRAEL B.M.,TEL-AVIV,(BANKING SERVICES CENTER)
LUMIILITCLS,14,BANK LEUMI LE ISRAEL B.M.,TEL-AVIV,(CLS OPERATIONS)
LUMIILITLDB,15,BANK LEUMI LE ISRAEL B.M.,TEL-AVIV,(DIGITAL SERVICES)
LUMIILIT,16,BANK LEUMI LE ISRAEL B.M.,TEL-AVIV,(TEL-AVIV MAIN BRANCH)
LUMIILITTLV,17,BANK LEUMI LE ISRAEL B.M.,TEL-AVIV,(TEL-AVIV MAIN BRANCH)
ARISILI1,18,BANK LEUMI LE-ISRAEL B.M.(FORMERLY ARAB ISRAEL BANK LTD),TEL-AVIV,None
MASBILIT,19,BANK MASSAD LTD.,TEL-AVIV,None
ISRAILIJ,20,BANK OF ISRAEL,JERUSALEM,None
ISRAILIR,21,BANK OF ISRAEL,JERUSALEM,None
BASVILI1,22,BANK OF JERUSALEM - BROKERAGE,TEL-AVIV,None
JERSILIT,23,BANK OF JERUSALEM LTD. TEL-AVIV,AIRPORT CITY - LOD,None
OTSHILIT,24,BANK OTSAR HA-HAYAL LTD.,RAMAT-GAN,None
