swift_code,id,bank,city,branch
ANILIMDX,1,ABBEY NATIONAL TREASURY INTERNATIONAL LIMITED, ISLE OF MAN,DOUGLAS,None
BAOMIMD1,2,BALOISE (IOM) LIMITED,DOUGLAS,None
BOFSIM21007,3,BANK OF SCOTLAND,DOUGLAS,(DOUGLAS (IOM) (R) 12.47.51)
BOFSIM21IOM,4,BANK OF SCOTLAND,DOUGLAS,(INTERNATIONAL, ISLE OF MAN)
BOFSIM21001,5,BANK OF SCOTLAND,DOUGLAS,(ISLE OF MAN MTGS NO 2)
BOFSIM21IMM,6,BANK OF SCOTLAND,DOUGLAS,(MORTGAGES)
BOFSIM21,7,BANK OF SCOTLAND,DOUGLAS,None
BOFSIMA1,8,BANK OF SCOTLAND,DOUGLAS,None
BARCIMD10D6,9,BARCLAYS BANK PLC,DOUGLAS,(BARCLAYS BANK PLC IOM)
BARCIMD10WI,10,BARCLAYS BANK PLC,DOUGLAS,(BPCI LIMITED WOOLWICH IOM)
BARCIMD10D7,11,BARCLAYS BANK PLC,DOUGLAS,(ISLE OF MAN KNIGHTSBRIDGE INTERNATIONAL BANKING CENTRE)
BARCIMD10D3,12,BARCLAYS BANK PLC,DOUGLAS,(PERSONAL BANKING INTERNATIONAL - CUST. A-F (ISLE OF MAN))
BARCIMD10D4,13,BARCLAYS BANK PLC,DOUGLAS,(PERSONAL BANKING INTERNATIONAL - CUST. G-M (ISLE OF MAN))
BARCIMD10D5,14,BARCLAYS BANK PLC,DOUGLAS,(PERSONAL BANKING INTERNATIONAL - CUST. N-Z (ISLE OF MAN))
BARCIMD10D2,15,BARCLAYS BANK PLC,DOUGLAS,(PERSONAL BANKING INTERNATIONAL - ISLE OF MAN)
BARCIMD1,16,BARCLAYS BANK PLC,DOUGLAS,None
BPBLIMD1,17,BARCLAYS PRIVATE BANK AND TRUST (ISLE OF MAN) LIMITED,DOUGLAS,None
BFIMIMD1,18,BARCLAYS PRIVATE CLIENTS INTERNATIONAL LIMITED,DOUGLAS,None
CIGLIMDDCFM,19,CAPITAL INTERNATIONAL LIMTED,DOUGLAS,(CAPITAL FINANCIAL MARKETS)
CIGLIMDDCFS,20,CAPITAL INTERNATIONAL LIMTED,DOUGLAS,(CAPITAL FUND SERVICES)
CIGLIMDDCTS,21,CAPITAL INTERNATIONAL LIMTED,DOUGLAS,(CAPITAL TREASURY SERVICES)
CIGLIMDD,22,CAPITAL INTERNATIONAL LIMTED,DOUGLAS,None
