swift_code,id,bank,city,branch
AASVIND1,1,AADHAR SECURITIES PRIVATE LIMITED,NEW DELHI,None
ABBLINBB,2,AB BANK LIMITED,MUMBAI,None
ACBLINBB,3,ABHYUDAYA CO-OPERATIVE BANK LTD.,MUMBAI,None
ADCBINBB,4,ABU DHABI COMMERCIAL BANK,MUMBAI,None
ADBMINB1,5,ADITYA BIRLA MONEY LIMITED,MUMBAI,None
AJGSINB1,6,AJCON GLOBAL SERVICES LIMITED,MUMBAI,None
ASSOINB1,7,ALCHEMY SHARE AND STOCK BROKERS PRIVATE LIMITED,MUMBAI,None
ALLAINBBAGC,8,ALLAHABAD BANK,AGRA,(AGRA CITY)
ALLAINBBSPN,9,ALLAHABAD BANK,AHMEDABAD,(S.P. NAGAR BRANCH)
ALLAINBBHSS,10,ALLAHABAD BANK,ALLAHABAD,(HINDI SAHITYA SAMMELAN)
ALLAINBBAMB,11,ALLAHABAD BANK,AMBALA,(AMBALA CANTT)
ALLAINBBBAN,12,ALLAHABAD BANK,BANGALORE,(IFB BANGLORE)
ALLAINBBBRD,13,ALLAHABAD BANK,BARODA,(RAJMAHAL ROAD BARODA)
ALLAINBBBHD,14,ALLAHABAD BANK,BHADOHI,(BHADOHI BRANCH)
ALLAINBBKHA,15,ALLAHABAD BANK,BHADOHI,(KHAMARIA BRANCH)
ALLAINBBBHU,16,ALLAHABAD BANK,BHUBANESHWAR,(BHUBANESHWAR)
ALLAINBBDMP,17,ALLAHABAD BANK,BHUBANESHWAR,(DALMANDAP PURI)
ALLAINBBCHD,18,ALLAHABAD BANK,CHANDIGARH,None
ALLAINBBADR,19,ALLAHABAD BANK,CHENNAI (MADRAS),(ADYAR BRANCH)
ALLAINBBMAS,20,ALLAHABAD BANK,CHENNAI (MADRAS),(INTERNATIONAL BRANCH, CHENNAI)
ALLAINBBDUN,21,ALLAHABAD BANK,DEHRADUN,(DEHRADUN)
ALLAINBBFRD,22,ALLAHABAD BANK,DELHI,(FARIDABAD)
ALLAINBBGND,23,ALLAHABAD BANK,GANDHIDHAM,(GANDHIDHAM)
ALLAINBBHSP,24,ALLAHABAD BANK,HOSHIARPUR,(HOSHIARPUR)
ALLAINBBBTT,25,ALLAHABAD BANK,INDORE,(INDORE MAIN BRANCH)
ALLAINBBJMI,26,ALLAHABAD BANK,JAIPUR,(M I ROAD, JAIPUR)
ALLAINBBCLJ,27,ALLAHABAD BANK,JALANDHAR,(JALANDHAR CIVIL LINES)
ALLAINBBJUL,28,ALLAHABAD BANK,JALANDHAR,(JALANDHAR CIVIL LINES)
ALLAINBBKAN,29,ALLAHABAD BANK,KANPUR,(KANPUR MAIN BRANCH)
ALLAINBBKOC,30,ALLAHABAD BANK,KOCHI,(KOCHI)
ALLAINBBCLM,31,ALLAHABAD BANK,KOLKATA (CALCUTTA),(CALCUTTA MAIN BRANCH)
ALLAINBBCIF,32,ALLAHABAD BANK,KOLKATA (CALCUTTA),(INDUSTRIAL FINANCE BRANCH)
ALLAINBBCAL,33,ALLAHABAD BANK,KOLKATA (CALCUTTA),(INTERNATIONAL BRANCH, CALCUTTA)
ALLAINBBCPS,34,ALLAHABAD BANK,KOLKATA (CALCUTTA),(PARK STREET BRANCH)
ALLAINBBRPK,35,ALLAHABAD BANK,KOLKATA (CALCUTTA),(R.P.C.,KOLKATA )
ALLAINBBSSI,36,ALLAHABAD BANK,KOLKATA (CALCUTTA),(SMALL SCALE INDUSTRIAL FINANCE BRANCH (SSIFB))
ALLAINBBSTP,37,ALLAHABAD BANK,KOLKATA (CALCUTTA),(STEPHEN HOUSE)
