swift_code,id,bank,city,branch
ABDIIQBA,1,ABU DHABI ISLAMIC BANK,BAGHDAD,None
ARLMIQBA,2,AL ARABIYA ISLAMIC BANK,BAGHDAD,None
BTFHIQBA,3,AL BARAKA TURK KATILIM BANKASI A.S. ERBIL BRANCH,ARBIL,None
SBIBIQBA,4,AL IRAQ NOOR ISLAMIC BANK FOR INVESTMENT AND FINANCE,BAGHDAD,None
ANATIQBA,5,AL NIBAL AL ARABYA FOR MONEY TRANSFER,BAGHDAD,None
RAFBIQBA,6,AL RAFIDAIN BANK,BAGHDAD,None
ASWRIQB1,7,AL-ASSWAR CO. FOR MONEY TRANSFER,BAGHDAD,None
AIIFIQBA,8,AL-BILAD ISLAMIC BANK FOR INVESTMENT AND FINANCE,BAGHDAD,None
BHDAIQBA,9,AL-HUDA BANK,BAGHDAD,None
AJILIQBA,10,AL-JANOOB ISLAMIC BANK,BAGHDAD,None
BMMCIQBA,11,AL-QABIDH ISLAMIC BANK CO. FOR FINANCE AND INVESTMENT,BAGHDAD,None
AQSBIQBA,12,AL-QURTAS ISLAMIC BANK FOR INVESTMENT AND FINANCE,BAGHDAD,None
IRMTIQBA,13,ALRAWAHEL ISLAMIC INVESTMENT AND FINANCE BANK,BAGHDAD,None
ABCOIQB1,14,ARAB BANKING CORPORATION,BAGHDAD,None
AIBIIQBA,15,ASHUR INTERNATIONAL BANK FOR INVESTMENT,BAGHDAD,None
BABKIQBA,16,BABYLON BANK,BAGHDAD,None
AUDBIQBA,17,BANK AUDI S.A.L. (IRAQ BRANCHES),BAGHDAD,None
MELIIQBA,18,BANK MELLI IRAN-IRAQ BRANCH,BAGHDAD,None
BABIIQBA,19,BANK OF BAGHDAD,BAGHDAD,None
MEDLIQBAARB,20,BANKMED SAL, IRAQ,ARBIL,None
MEDLIQBA,21,BANKMED SAL, IRAQ,BAGHDAD,None
MEDLIQBABAS,22,BANKMED SAL, IRAQ,BASRAH,(BASRAH BRANCH)
BLFSIQBA,23,BANQUE LIBANO-FRANAISE SAL - IRAQ,BAGHDAD,None
BIBIIQB1,24,BASRAH INTERNATIONAL BANK FOR INVESTMENT,BAGHDAD,None
BBACIQBA,25,BBAC SAL ERBIL BRANCH,ARBIL,None
BLOMIQBA,26,BLOM BANK S.A.L.,BAGHDAD,None
BYBAIQBA,27,BYBLOS BANK SAL IRAQ,ARBIL,None
BYBAIQBABAG,28,BYBLOS BANK SAL IRAQ,BAGHDAD,(BYBLOS BANK SAL)
BYBAIQBABAS,29,BYBLOS BANK SAL IRAQ,BASRAH,None
BYBAIQBASUL,30,BYBLOS BANK SAL IRAQ,SULAYMINYA,None
CBIRIQBA,31,CENTRAL BANK OF IRAQ,BAGHDAD,None
CIHBIQBA,32,CIHAN BANK FOR ISLAMIC INVESTMENT AND FINANCE,ARBIL,None
AUBBIQBA808,33,COMMERCIAL BANK OF IRAQ P.S.C.,BAGHDAD,(ADHAMYA BRANCH)
AUBBIQBA809,34,COMMERCIAL BANK OF IRAQ P.S.C.,BAGHDAD,(BASRA BRANCH)
AUBBIQBA807,35,COMMERCIAL BANK OF IRAQ P.S.C.,BAGHDAD,(KADHUMAIN BRANCH)
AUBBIQBA802,36,COMMERCIAL BANK OF IRAQ P.S.C.,BAGHDAD,(KHULANI BRANCH)
AUBBIQBA810,37,COMMERCIAL BANK OF IRAQ P.S.C.,BAGHDAD,(MAIN BRANCH)
AUBBIQBA805,38,COMMERCIAL BANK OF IRAQ P.S.C.,BAGHDAD,(MANSOUR BRANCH)
AUBBIQBA804,39,COMMERCIAL BANK OF IRAQ P.S.C.,BAGHDAD,(PALESTINE BRANCH)
AUBBIQBA806,40,COMMERCIAL BANK OF IRAQ P.S.C.,BAGHDAD,(RASHEED CAMP BRANCH)
AUBBIQBA803,41,COMMERCIAL BANK OF IRAQ P.S.C.,BAGHDAD,(SHORJA BRANCH)
AUBBIQBA801,42,COMMERCIAL BANK OF IRAQ P.S.C.,BAGHDAD,(WATHIQ BRANCH)
AUBBIQBA,43,COMMERCIAL BANK OF IRAQ P.S.C.,BAGHDAD,None
CBIQIQBA,44,CREDIT BANK OF IRAQ,BAGHDAD,None
CLIBIQBA,45,CREDIT LIBANAIS SAL,BAGHDAD,None
DSIVIQBA,46,DAR ES SALAAM INVESTMENT BANK,BAGHDAD,None
DFDIIQBA,47,DIJLAH AND FURAT BANK,BAGHDAD,None
ECOOIQB1,48,ECONOMY BANK,BAGHDAD,None
ECOVIQBA616,49,ECONOMY BANK FOR INVESTMENT AND FINANCE,BAGHDAD,(ALSHORJAH)
ECOVIQBA,50,ECONOMY BANK FOR INVESTMENT AND FINANCE,BAGHDAD,None
ELAFIQBA,51,ELAF ISLAMIC BANK,BAGHDAD,None
EBIFIQBA,52,ERBIL BANK FOR INVESTMENT AND FINANCE,ARBIL,None
FSABIQBA,53,FRANSABANK SAL, IRAQ BRANCH,BAGHDAD,None
GUCEIQBA,54,GULF COMMERCIAL BANK,BAGHDAD,None
INLEIQBA,55,IBL BANK, SAL,BAGHDAD,None
IBIQIQB1,56,INDUSTRIAL BANK,THE,BAGHDAD,None
IDBQIQBA,57,INTERNATIONAL DEVELOPMENT BANK FOR INVESTMENT AND FINANCE,BAGHDAD,None
IRAQIQBA,58,INTERNATIONAL ISLAMIC BANK,BAGHDAD,None
IVBIIQBA,59,INVESTMENT BANK OF IRAQ,BAGHDAD,None
IRIBIQBA,60,IRAQI ISLAMIC BANK FOR INVESTMENT AND DEVELOPMENT,BAGHDAD,None
IMEBIQBA,61,IRAQI MIDDLE EAST INVESTMENT BANK,BAGHDAD,None
RCDFIQBAMLD,62,ISLAMIC COOPERATION BANK FOR DEVELOPMENT AND INVESTMENT,BAGHDAD,(RCDFIQBAMLD)
RCDFIQBA,63,ISLAMIC COOPERATION BANK FOR DEVELOPMENT AND INVESTMENT,BAGHDAD,None
KARMIQB1,64,KARMAL STOCK EXCHANGE,BAGHDAD,None
KIBIIQBAERB,65,KURDISTAN INTERNATIONAL BANK,ARBIL,(PESHWA (ERBIL)  BRANCH)
KIBIIQBA,66,KURDISTAN INTERNATIONAL BANK,ARBIL,None
KIBIIQBABGH,67,KURDISTAN INTERNATIONAL BANK,BAGHDAD,(BAGHDAD BRANCH)
KIBIIQBADHK,68,KURDISTAN INTERNATIONAL BANK,DUHOK,(DUHOK BRANCH)
KIBIIQBASUL,69,KURDISTAN INTERNATIONAL BANK,SULAYMINYA,(SULAYMINYA BRANCH)
MBIVIQBA,70,MANSOUR BANK FOR INVESTMENT,BAGHDAD,None
