swift_code,id,bank,city,branch
AYBKIRTH,1,AYANDEH BANK,TEHRAN,None
DAYBIRTH,2,BANK DAY,TEHRAN,None
BEGNIRTHBSH,3,BANK EGHTESAD NOVIN,BUSHEHR,(BUSHEHR)
BEGNIRTHAZD,4,BANK EGHTESAD NOVIN,ISFAHAN,(AZADI ISFAHAN)
BEGNIRTHKSH,5,BANK EGHTESAD NOVIN,KISH ISLAND,(KISH ISLAND BRANCH)
BEGNIRTHIKH,6,BANK EGHTESAD NOVIN,MASHHAD,(IMAM KHOMEINI)
BEGNIRTHTGH,7,BANK EGHTESAD NOVIN,MASHHAD,(TAGHI ABAD)
BEGNIRTHZND,8,BANK EGHTESAD NOVIN,SHIRAZ,(ZAND)
BEGNIRTHART,9,BANK EGHTESAD NOVIN,TABRIZ,(ARTESH)
BEGNIRTHAFG,10,BANK EGHTESAD NOVIN,TEHRAN,(AFRIGHA)
BEGNIRTHMAR,11,BANK EGHTESAD NOVIN,TEHRAN,(ARGENTINA SQUARE)
BEGNIRTHSHB,12,BANK EGHTESAD NOVIN,TEHRAN,(CMS/ATM)
BEGNIRTHESF,13,BANK EGHTESAD NOVIN,TEHRAN,(ESFANDYAR)
BEGNIRTHFER,14,BANK EGHTESAD NOVIN,TEHRAN,(FERDOSI)
BEGNIRTHGHD,15,BANK EGHTESAD NOVIN,TEHRAN,(GHADIR)
BEGNIRTHKBN,16,BANK EGHTESAD NOVIN,TEHRAN,(KHABARNEGAR)
BEGNIRTHMFT,17,BANK EGHTESAD NOVIN,TEHRAN,(MOFATTEH BRANCH)
BEGNIRTHNFT,18,BANK EGHTESAD NOVIN,TEHRAN,(NFT)
BEGNIRTHSAA,19,BANK EGHTESAD NOVIN,TEHRAN,(SAADAT ABAD  BRANCH)
BEGNIRTHSNT,20,BANK EGHTESAD NOVIN,TEHRAN,(SANAATGARAN)
BEGNIRTH,21,BANK EGHTESAD NOVIN,TEHRAN,None
HEKMIRTH,22,BANK HEKMAT IRANIAN,TEHRAN,None
KESHIRTH950,23,BANK KESHAVARZI,AHWAZ,(AHWAZ)
KESHIRTH00B,24,BANK KESHAVARZI,AMOL,(AMOL BRANCH)
KESHIRTH240,25,BANK KESHAVARZI,ARAK,(ARAK)
KESHIRTH97N,26,BANK KESHAVARZI,ARDABIL,(ARDABIL)
KESHIRTH450,27,BANK KESHAVARZI,BANDAR ABBAS,(PERSIAN GULF)
KESHIRTH16M,28,BANK KESHAVARZI,BUSHEHR,(BUSHEHR)
KESHIRTH390,29,BANK KESHAVARZI,CHABAHAR PORT,(CHABAHAR BRANCH)
KESHIRTH050,30,BANK KESHAVARZI,HAMADAN,(HAMEDAN)
KESHIRTH030,31,BANK KESHAVARZI,ISFAHAN,(ISFAHAN BRANCH)
KESHIRTH701,32,BANK KESHAVARZI,KARAJ,(TOHID BRANCH)
KESHIRTH070,33,BANK KESHAVARZI,KERMAN,(KERMAN BRANCH)
KESHIRTH300,34,BANK KESHAVARZI,KISH ISLAND,(KISH BRANCH)
KESHIRTH140,35,BANK KESHAVARZI,MASHHAD,(MASHHAD BRANCH)
KESHIRTH020,36,BANK KESHAVARZI,ORUMIYEH,(ORUMIYEH)
KESHIRTH100,37,BANK KESHAVARZI,QAZVIN,(QAZVIN BRANCH)
KESHIRTH703,38,BANK KESHAVARZI,QESHM,(QESHM BRANCH)
KESHIRTH810,39,BANK KESHAVARZI,QOM,(QOM BRANCH)
KESHIRTH210,40,BANK KESHAVARZI,RASHT,(RASHT BRANCH)
KESHIRTH204,41,BANK KESHAVARZI,SARI,(SARI BRANCH)
KESHIRTH18K,42,BANK KESHAVARZI,SEMNAN,(SEMNAN)
KESHIRTH21K,43,BANK KESHAVARZI,SHAHROUD,(SHAHROUD)
KESHIRTH705,44,BANK KESHAVARZI,SHIRAZ,(SHIRAZ BRANCH)
KESHIRTH040,45,BANK KESHAVARZI,TABRIZ,(TABRIZ BRANCH)
KESHIRTH47A,46,BANK KESHAVARZI,TEHRAN,(BAHARESTAN)
KESHIRTHSHB,47,BANK KESHAVARZI,TEHRAN,(CREDIT CARD SERVICES)
KESHIRTH340,48,BANK KESHAVARZI,TEHRAN,(DOLATI BRANCH)
KESHIRTH180,49,BANK KESHAVARZI,TEHRAN,(MARKAZ TEJARI GOLESTAN BRANCH)
KESHIRTH01Q,50,BANK KESHAVARZI,TEHRAN,(PALIZI)
KESHIRTH63S,51,BANK KESHAVARZI,TEHRAN,(SAADAT ABAD)
KESHIRTH103,52,BANK KESHAVARZI,TEHRAN,(SHADMEHR BRANCH)
KESHIRTH820,53,BANK KESHAVARZI,TEHRAN,(SHAHID BEHESHTI BRANCH)
KESHIRTH110,54,BANK KESHAVARZI,TEHRAN,(SHAHRARA)
KESHIRTH760,55,BANK KESHAVARZI,TEHRAN,(SIE-TIR)
KESHIRTH620,56,BANK KESHAVARZI,TEHRAN,(TOHID BRANCH)
KESHIRTH440,57,BANK KESHAVARZI,TEHRAN,(VALI-ASR BRANCH)
KESHIRTH610,58,BANK KESHAVARZI,TEHRAN,(VANAK)
KESHIRTH,59,BANK KESHAVARZI,TEHRAN,None
KESHIRTH160,60,BANK KESHAVARZI,TEHRAN,None
KESHIRTH53A,61,BANK KESHAVARZI,TEHRAN,None
KESHIRTH880,62,BANK KESHAVARZI,TEHRAN,None
KESHIRTH130,63,BANK KESHAVARZI,YAZD,(YAZD)
KESHIRTH190,64,BANK KESHAVARZI,ZANJAN,(ZANJAN)
BMJIIRTHACU,65,BANK MARKAZI JOMHOURI ISLAMI IRAN,TEHRAN,(ASIAN CLEARING UNION)
BMJIIRTHEXD,66,BANK MARKAZI JOMHOURI ISLAMI IRAN,TEHRAN,(EXPORT DEPARTMENT)
BMJIIRTHFDD,67,BANK MARKAZI JOMHOURI ISLAMI IRAN,TEHRAN,(FOREIGN DEBTS DEPARTMENT)
BMJIIRTHFED,68,BANK MARKAZI JOMHOURI ISLAMI IRAN,TEHRAN,(FOREIGN EXCHANGE DEPARTMENT)
BMJIIRTHGAD,69,BANK MARKAZI JOMHOURI ISLAMI IRAN,TEHRAN,(GENERAL ACCOUNT AND BUDGET DEPARTMENT)
BMJIIRTHGSD,70,BANK MARKAZI JOMHOURI ISLAMI IRAN,TEHRAN,(GENERAL SECRETARIAT DEPARTMENT)
BMJIIRTHHED,71,BANK MARKAZI JOMHOURI ISLAMI IRAN,TEHRAN,(HARDWARE ENGINEERING DEPARTMENT)
BMJIIRTHINT,72,BANK MARKAZI JOMHOURI ISLAMI IRAN,TEHRAN,(INTERNATIONAL DEPARTMENT)
BMJIIRTHIFD,73,BANK MARKAZI JOMHOURI ISLAMI IRAN,TEHRAN,(INTERNATIONAL FINANCE DEPARTMENT)
BMJIIRTHSHB,74,BANK MARKAZI JOMHOURI ISLAMI IRAN,TEHRAN,(PAYMENT AND SETTLEMENT SYSTEM DEPARTMENT)
BMJIIRTHRTD,75,BANK MARKAZI JOMHOURI ISLAMI IRAN,TEHRAN,(RIAL TRANSACTIONS DEPARTMENT)
BMJIIRTH,76,BANK MARKAZI JOMHOURI ISLAMI IRAN,TEHRAN,None
BKMNIRTH158,77,BANK MASKAN,ARAK,( ARAK CENTRAL BR.)
BKMNIRTH151,78,BANK MASKAN,ARDABIL,(ARDABIL CENTRAL BRANCH)
BKMNIRTH178,79,BANK MASKAN,BANDAR ABBAS,( BANDAR ABBAS CENTRAL BR.)
BKMNIRTH152,80,BANK MASKAN,BUSHEHR,( BUSHEHR CENTRAL BR.)
BKMNIRTH276,81,BANK MASKAN,CHABAHAR PORT,(SADAF TRADE CENTRE)
BKMNIRTH116,82,BANK MASKAN,HAMADAN,(HAMADAN CENTRAL BR.)
BKMNIRTH114,83,BANK MASKAN,ISFAHAN,(ISFAHAN CENTRAL BRANCH)
BKMNIRTH417,84,BANK MASKAN,ISFAHAN,(ISFAHAN FERDOWSI BRANCH)
BKMNIRTH217,85,BANK MASKAN,KARAJ,( KARAJ CENTRAL BR.)
BKMNIRTH211,86,BANK MASKAN,KASHAN,( KASHAN CENTRAL BR.)
BKMNIRTH128,87,BANK MASKAN,KERMAN,(KERMAN CENTRAL BR.)
BKMNIRTH118,88,BANK MASKAN,KERMANSHAH,( KERMANSHAH CENTRAL BR.)
BKMNIRTH286,89,BANK MASKAN,KISH ISLAND,(KISH VENOOS BRANCH)
BKMNIRTH112,90,BANK MASKAN,MASHHAD,(MASHHAD CENTRAL BR.)
BKMNIRTH615,91,BANK MASKAN,MASHHAD,(SADJAD BLVD. BR.)
BKMNIRTH141,92,BANK MASKAN,ORUMIYEH,(ORUMIYEH CENTRAL BR.)
BKMNIRTH121,93,BANK MASKAN,QAZVIN,( QAZVIN CENTRAL BR.)
BKMNIRTH782,94,BANK MASKAN,QESHM,(QESHM ISLAND CENTRAL BRANCH)
BKMNIRTH146,95,BANK MASKAN,QOM,(QOM CENTRAL BRANCH)
BKMNIRTH124,96,BANK MASKAN,RASHT,( RASHT CENTRAL BR.)
BKMNIRTH148,97,BANK MASKAN,SARI,( SARI CENTRAL BR.)
BKMNIRTH229,98,BANK MASKAN,SHAHREKORD,(SHAHREKORD CENTRAL BR.)
BKMNIRTH117,99,BANK MASKAN,SHIRAZ,(SHIRAZ CENTRAL BRANCH)
BKMNIRTH115,100,BANK MASKAN,TABRIZ,(TABRIZ CENTRAL BR.)
BKMNIRTH171,101,BANK MASKAN,TEHRAN,( VALIASR SQ. BRANCH )
BKMNIRTH889,102,BANK MASKAN,TEHRAN,( VANAK SQ. BRANCH )
BKMNIRTHACC,103,BANK MASKAN,TEHRAN,(ACCOUNTING DIVISION)
BKMNIRTH554,104,BANK MASKAN,TEHRAN,(AFRIQA BRANCH)
