swift_code,id,bank,city,branch
ESJAISRE,1,ARION BANK,REYKJAVIK,None
ARNIISR1,2,ARTICA FINANCE HF.,KOPAVOGUR,None
AUCAISR1,3,AUDUR CAPITAL HF.,REYKJAVIK,None
BORGISRE,4,BORGUN HF,REYKJAVIK,None
BYSEISR1,5,BYR SECURITIES,REYKJAVIK,None
SISLISRETIA,6,CENTRAL BANK OF ICELAND,REYKJAVIK,(TECHNICAL CODE 1)
SISLISREASA,7,CENTRAL BANK OF ICELAND,REYKJAVIK,(TECHNICAL CODE 2)
SISLISRE,8,CENTRAL BANK OF ICELAND,REYKJAVIK,None
EIMIISRE,9,EIMSKIPAFELAG ISLANDS HF,REYKJAVIK,None
FOMRISR1,10,FOSSAR MARKADIR HF,REYKJAVIK,None
VERRISR1,11,HF VERDBREF,REYKJAVIK,None
ICSCISR1,12,ICELANDIC SECURITIES LTD.,AKUREYRI,None
GLITISRE,13,ISLANDSBANKI HF,KOPAVOGUR,None
VISLISR1,14,ISLANDSBANKI SECURITIES,REYKJAVIK,None
ICGIISR1,15,ISLANDSPOSTUR HF,REYKJAVIK,None
ISFJISR1,16,ISLENSKIR FJARFESTAR HF.,REYKJAVIK,None
JOKLISR1,17,JOKLAR-VERDBREF HF,REYKJAVIK,None
MPBAISRE,18,KVIKA BANKI HF.,REYKJAVIK,None
LASVISR1,19,LANASJODUR SVEITARFELAGA,REYKJAVIK,None
NBIIISRE,20,LANDSBANKINN HF,REYKJAVIK,None
XICEISR1,21,NASDAQ OMX ICELAND HF,REYKJAVIK,None
NARIISR1,22,NATIONAL REGISTRY OF ICELAND,REYKJAVIK,None
OSSRISR1,23,OSSUR HF,REYKJAVIK,None
NOVEISR1,24,REYKJAVIK CAPITAL HF,REYKJAVIK,None
SACVISR1,25,SAGA CAPITAL FJARFESTINGARBANKI HF.,AKUREYRI,None
SPMYISR1,26,SPARISJOOUR MYRASYSLU,BORGARNES,None
SPKFISR1,27,SPARISJOOURINN I KEFLAVIK,REYKJANESBAE,None
SPPHISR1,28,SPH,HAFNARFJORDUR,None
SPVRISR1,29,SPRON VERDBREF HF,REYKJAVIK,None
TPLSISR1,30,T PLUS,AKUREYRI,None
ICSDISR1,31,THE ICELANDIC SECURITIES DEPOSITORY LTD.,REYKJAVIK,None
TIVEISR1,32,TINDAR VERDBREF,REYKJAVIK,None
VATOISRE,33,VALITOR HF,HAFNARFJORDUR,None
VBINISR1,34,VBS INVESTMENT BANK,REYKJAVIK,None
VIRDISR1,35,VIRDING HF.,REYKJAVIK,None
VSPVISR1,36,VSP,REYKJAVIK,None
