swift_code,id,bank,city,branch
ATCJJES1,1,ABN AMRO TRUST COMPANY (JERSEY) LIMITED,ST. HELIER,None
ADCBJESH,2,ABU DHABI COMMERCIAL BANK PJSC, JERSEY BRANCH,ST. HELIER,None
ALJEJES1,3,ALPHA BANK JERSEY LIMITED,ST. HELIER,None
ALIEJES1,4,ASAHI LIFE INVESTMENT EUROPE LIMITED,ST. HELIER,None
ASHMJES1,5,ASHBURTON (JERSEY) LIMITED,ST. HELIER,None
BTRUJES1,6,B.A.I.I. TRUST LTD,ST. HELIER,None
BAFJJES1,7,BALOISE FINANCE (JERSEY) LIMITED,ST. HELIER,None
LUMIJES1,8,BANK LEUMI JERSEY LIMITED,ST. HELIER,None
BKIDJESH,9,BANK OF INDIA, JERSEY BRANCH,ST. HELIER,None
BOFSJES1DRO,10,BANK OF SCOTLAND - JERSEY TREASURY,ST. HELIER,(DON ROAD OFFSHORE)
BOFSJES1JER,11,BANK OF SCOTLAND - JERSEY TREASURY,ST. HELIER,(INTERNATIONAL , JERSEY)
BOFSJES1011,12,BANK OF SCOTLAND - JERSEY TREASURY,ST. HELIER,(JERSEY (R) 12.47.53)
BOFSJES1012,13,BANK OF SCOTLAND - JERSEY TREASURY,ST. HELIER,(JERSEY MONEY MKT A/C CTRE (R) 12.47.54)
BOFSJES1,14,BANK OF SCOTLAND - JERSEY TREASURY,ST. HELIER,None
BOFSJES1001,15,BANK OF SCOTLAND (JERSEY) LIMITED,ST. HELIER,(JERSEY MONEY MARKET ACCOUNTS CENTRE)
BOFSJES1002,16,BANK OF SCOTLAND (JERSEY) LIMITED,ST. HELIER,(PERSONAL FINANCIAL SERVICES JERSEY)
BOFSJES1SPJ,17,BANK OF SCOTLAND (JERSEY) LIMITED,ST. HELIER,(SPEIRS AND JEFFREY JERSEY BRANCH)
BOFSJES1TCO,18,BANK OF SCOTLAND (JERSEY) LIMITED,ST. HELIER,(TURCAN CONNELL OFFSHORE BRANCH)
BNPAJESH,19,BANQUE NATIONALE DE PARIS,ST. HELIER,None
BARCJES1022,20,BARCLAYS BANK PLC,GEORGETOWN,(PERSONAL BANKING INTERNATIONAL - CUST. A-J (JERSEY))
BARCJES1023,21,BARCLAYS BANK PLC,GEORGETOWN,(PERSONAL BANKING INTERNATIONAL - CUST. K-Z (JERSEY))
BARCJES1026,22,BARCLAYS BANK PLC,GEORGETOWN,(PERSONAL BANKING INTERNATIONAL - JERSEY)
BARCJES10S3,23,BARCLAYS BANK PLC,ST. HELIER,(BARCLAYS BANK PLC JERSEY)
BARCJES10WJ,24,BARCLAYS BANK PLC,ST. HELIER,(BPCI LIMITED WOOLWICH JERSEY)
BARCJES1,25,BARCLAYS BANK PLC,ST. HELIER,None
BARCJESX,26,BARCLAYS BANK PLC FIDUCIARY DEPOSIT BUSINESS,ST. HELIER,None
BARCJESA,27,BARCLAYS BANK PLC, JERSEY BRANCH,ST. HELIER,None
BPBLJES1,28,BARCLAYS PRIVATE BANK AND TRUST LTD,ST. HELIER,None
BEDLJESH,29,BEDELL TRUST COMPANY LIMITED,ST. HELIER,None
PARBJESHISI,30,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(GLOBAL CUSTODY)
PARBJESHFDA,31,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(JERSEY)
PARBJEH1000,32,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1001,33,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1002,34,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1003,35,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1004,36,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1005,37,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1006,38,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1007,39,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1008,40,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1009,41,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1010,42,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1011,43,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1012,44,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1013,45,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1014,46,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1015,47,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1016,48,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1017,49,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1018,50,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1019,51,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1020,52,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1021,53,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1022,54,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1023,55,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1024,56,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1025,57,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1026,58,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1027,59,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1028,60,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1029,61,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1030,62,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1031,63,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1032,64,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1033,65,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1034,66,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1035,67,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1036,68,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1037,69,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1038,70,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1039,71,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1040,72,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1041,73,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1042,74,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1043,75,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1044,76,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1045,77,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1046,78,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1047,79,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1048,80,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1049,81,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1050,82,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1051,83,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1052,84,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1053,85,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1054,86,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1055,87,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1056,88,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1057,89,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1058,90,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1059,91,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1060,92,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1061,93,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1062,94,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1063,95,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
PARBJEH1064,96,BNP PARIBAS SECURITIES SERVICES JERSEY BRANCH,ST. HELIER,(ST. HELIER)
